,Company,Job Type,Job_Description,Job_Url,Location,Salary,Title,Unnamed: 0
2190,    TES - The Employment Solution,business analyst,"Business Analyst for Application Development Processes:  full time, 6 month duration, based in Calgary This role provides ownership and oversight of all process development, improvement, and implementation of Software Process Improvement (SPI) based on the CMM framework.A key responsibility of this group is to monitor process metrics in order to identify either problem areas or identify opportunities for process improvement.They are responsible for staffing the SEPG team and providing direction in applying the Process Change Method (PCM) for the account and in training the delivery team.They train the delivery team, begins the implementation, acts as process owner for changes and updates, and plans and leads the IBM tasks of the Software Engineering Institute (SEI) CMM-based assessment.They also engage ADE to perform an effectiveness study when funded and appropriate.Capture business requirements, analysis of requirements, mapping of requirements (As is and To be processes)Particular focus on Windows 10 application Please send your resumes to Danielle Pelletier at daniellep@tes.net.",https://ca.indeed.com/viewjob?jk=f75510923f82b7df,"Calgary, AB",,Business Analyst,2190
2191,    Canfor,business analyst,"*PLEASE NOTE: PREFERENCE WILL BE GIVEN TO CANDIDATES WHO APPLY THROUGH CANFOR.COM/CAREERSCanfor TechnologyAt Canfor, our Information Technology professionals play an important role in the daily functioning of our operations. Consistently pushing the boundaries when it comes to innovation within the forestry and pulp and paper industries, our IT professionals support Canfor in achieving exceptional results.With a high caliber Information Technology leadership team, a clear vision, and significant growth and training opportunities, a career in IT at Canfor allows individuals to strengthen their competencies and grow within their respective roles. Working as an equal partner with our operations to achieve organizational objectives, you will be at the forefront of innovation.Who We Are: Canfor is one of the world’s largest and most respected integrated forest products companies. For more than 75 years, we have been delivering top-quality lumber, pulp and paper products to our valued customers worldwide. With operations in Western Canada and the Southern United States, and sales offices around the world, you can find Canfor products in every corner of the globe. We are leaders in sustainable forest management and in converting wood residuals into green energy.As we continue to grow our company and our markets, find out how you can grow your career with us.The OpportunityThe Data Analyst, Business Intelligence supports Canfor’s objectives by turning data into meaningful information that can be used to make sound business decisions. The Data Analyst will provide expertise in business intelligence to prepare and deliver data and information to internal customers and stakeholders through reports, dashboards and scorecards. It is essential that the Data Analyst build an understanding of the business at a level of detail that enables them to work with the business to deliver valuable information.Please Note:  This is a relocation opportunity in Vancouver, British Columbia. The successful applicant may be provided with relocation assistance.Main ResponsibilitiesRequirements Gathering:Engage with various business units to capture information needs, compare those needs with existing tools and identify gapsParticipate in business requirements workshopsWrite business requirements documents as required to elaborate needs, gain acceptanceDesign & Development:Architect tables and dataDesign dashboards, reports, drill-down analytics and data visualizationsDesign, configure and administer the metadata layerCreate system technical requirements for documentation and knowledge managementActively challenge and find solutions to optimize system performanceTesting, Validation, Release Management:Develop and implement testing strategiesValidate data accuracyDeploy and validate changes in production environmentTraining & Change Management:Support the development of training, documentation, and help desk capabilitiesRequired SkillsBachelor's degree in computer science, information systems, business management or specialized training/certificationExperience working with relational databases (Microsoft SQL Server, Oracle Database, MySQL, etc)Applied knowledge of SQL (T-SQL, PL/SQL, ANSI-SQL, etc)Applied understanding of data modelling and warehousing conceptsWorking knowledge of business intelligence tools such as Oracle Business IntelligenceWorking knowledge of ETL tools such as Oracle Data Integrator or InformaticaExperience mediating and clarifying sometimes ambiguous or conflicting end user requirementsEagerness to learn new concepts and technologies and keep-up-to-date with existing onesWillingness to go above and beyond to understand both the business and technical aspects of a problemHiring for this position is ongoing and will be filled as required. To be considered for this position, please apply today.In order to be eligible for this position, you must be legally entitled to work in Canada for our Company.There has never been a better time to join the Canfor Information Technology team and become a part of the modern forest industry. We have a wide range of rewarding and innovative careers in some of the best communities in North America, with plenty of room for advancement. We offer competitive compensation and benefits packages, and are committed to the professional development of our employees.*PLEASE NOTE: PREFERENCE WILL BE GIVEN TO CANDIDATES WHO APPLY THROUGH CANFOR.COM/CAREERSFollow us on LinkedIn , Twitter , and Facebook for Canfor news, career opportunities, and upcoming events!Vancouver, BCThe city of Vancouver is both a natural beauty and a progressive urban centre, a rare place on earth that is idyllic and electric all at once. With one of Canada’s mildest climates, Vancouver is ideally suited for those devoted to outdoor pursuits, health and wellness. Along with its endless supply of fresh air and clean water, Vancouver also boasts countless choices for culturally diverse, world-class cuisine and an inventory of arts and entertainment events. For more information, visit http://canfor.com/our-company/our-communities/vancouverJob Type: Full-timeEducation:High school or equivalent",https://ca.indeed.com/viewjob?jk=d21f82eb34266e49,"Calgary, AB",,Business Intelligence Analyst (Relocation Opportunity),2191
2192,    Canfor,business analyst,"Job Summary*PLEASE NOTE: PREFERENCE WILL BE GIVEN TO CANDIDATES WHO APPLY THROUGH CANFOR.COM/CAREERSCanfor TechnologyAt Canfor, our Information Technology professionals play an important role in the daily functioning of our operations. Consistently pushing the boundaries when it comes to innovation within the forestry and pulp and paper industries, our IT professionals support Canfor in achieving exceptional results.With a high caliber Information Technology leadership team, a clear vision, and significant growth and training opportunities, a career in IT at Canfor allows individuals to strengthen their competencies and grow within their respective roles. Working as an equal partner with our operations to achieve organizational objectives, you will be at the forefront of innovation.The OpportunityThe Business Analyst, (Payroll Support), supports the Payroll team by handling technical issues, implementing changes and assisting with maintenance of The Canfor payroll systems. This will include the SAP Payroll / EC Payroll (Cloud) environments and may involve interim support of Canfor’s VIP and Empath payroll systems.The Business Analyst, Payroll Support), IT will also support the time capture systems in use at Canfor. This individual will partner with internal and external resources to ensure proper payroll processing and problem resolution.Relocation packages to move you and your family to Vancouver, BC may be available for successful candidates.Key ResponsibilitiesSystem DevelopmentServe as a key resource on HR/Payroll/Timekeeping projects (SAP SuccessFactors)For feature enhancements and/or acquisition activities, participate in the project management process including; assessing business and application requirements, design specification development, change management, system configuration, identifying security requirements, developing test plans, coordinating test execution and implementationCapture and document non-functional requirements that are important to the user community (i.e. usability, learnability, reliability). Liaise with architecture to ensure other non-functional requirements are considered (i.e. security, compatibility, maintainability)Create necessary documentation and deliver knowledge transfer sessionsProvide SAP Payroll / EC Payroll (Cloud) and Timekeeping technical support and problem resolutionSupport maintenance of tax tables and setup to ensure compliance with federal, state, and local regulationsServe as an HR/Payroll team Business Intelligence (BI) resource/support, including coordination with the BI lead resource for requirements analysis, data modeling, testing, security, integration and query developmentPayroll SupportSupports the Payroll Manager(s) in payroll processing to ensure payroll deadlines are metRun ad hoc reports to extract payroll data as needed as approved by the Payroll Manager and/or Director Total Rewards & NA Payroll.Assist in establishing priorities and meeting project deadlinesMaintain accurate and sufficient testing documentationSafeguard and ensure confidentiality of HR and payroll dataRequired SkillsBachelor’s degree or equivalent experience.Minimum five (5) years’ experience in business operations or HR/Payroll Business Support.Experience in supporting a corporate payroll environmentExperience with time keeping solutions is requiredPayroll knowledge required; tax knowledge preferredExperience in configuring and implementing HCM modules in SAP (ECC, workflow and Business Warehouse), or a similar ERP system preferredExperience with testing and problem solving within the SAP Payroll / EC Payroll system preferredWork experience in an industrial / shift worker environment is considered an assetHiring for this position is ongoing and will be filled as required. To be considered for this position, please apply today.In order to be eligible for this position, you must be legally entitled to work in Canada for our Company.There has never been a better time to join the Canfor Information Technology team and become a part of the modern forest industry. We have a wide range of rewarding and innovative careers in some of the best communities in North America, with plenty of room for advancement. We offer competitive compensation and benefits packages, and are committed to the professional development of our employees.Follow us on LinkedIn , Twitter , and Facebook for Canfor news, career opportunities, and upcoming events!Vancouver, BCThe city of Vancouver is both a natural beauty and a progressive urban centre, a rare place on earth that is idyllic and electric all at once. With one of Canada’s mildest climates, Vancouver is ideally suited for those devoted to outdoor pursuits, health and wellness. Along with its endless supply of fresh air and clean water, Vancouver also boasts countless choices for culturally diverse, world-class cuisine and an inventory of arts and entertainment events. For more information, visit http://canfor.com/our-company/our-communities/vancouverJob Type: Full-timeEducation:High school or equivalent",https://ca.indeed.com/viewjob?jk=56bb0a038121da2c,"Calgary, AB",,Business Analyst (Payroll/IT) (Relocation Opportunity),2192
2193,    Inter Pipeline,business analyst,"Inter Pipeline is a major petroleum transportation, storage and natural gas liquids processing business that ranks among the largest energy infrastructure companies in Canada. We are proud to be named one of Alberta’s Top 70 Employers, which recognizes Alberta businesses that lead their industries by being exceptional places to work.  Located out of our Calgary office, the individual in the Senior Business Analyst role will report to the Supervisor, Finance Solutions Centre. The successful candidate will be responsible for the stewardship of finance master data and project support within SAP for Inter Pipeline, as well indirect leadership of the Business Analyst.  Key Activities and Responsibilities: Review and ongoing improvement of master data creation/change approval processes Leadership of the Business Analyst role, utilizing a team accountability approach for facilitating finance master data creation/changes Work with the business and SAP Competency Centre to develop Service Level Agreements (SLAs), key performance indicators (KPIs) and other metrics for SAP finance master data Act as a data steward bringing forward cross-functional data quality and process integration issues and working collaboratively to solve them, championing the collective management of data governance Serve as a central point of contact for finance data governance understanding and providing direction and training to data consumers and producers from the business in line with business rules Ensure the right stakeholders across the enterprise (e.g. operations, finance, supply chain, etc.) are brought into make business process improvements which mitigate data issues Bring best practices in master data management and propose opportunities for improvement Interaction with SAP Competency Center on future system enhancements, builds, testing, and roll-outs Assist with development and usage of SAP reports  Education, Skills and Experience: Undergraduate diploma or degree in business with 5+ years of progressive experience in financial system support, CPA (CA, CMA, CGA) designation is an asset Strong finance expertise on master data usage, configuration, and integrated data requirements/linkage points combined with prior oil and gas experience considered an asset In depth knowledge of SAP FI_CO and Business Warehouse, experience with S/4HANA and Fiori an asset Approaches work with a high level of curiosity and aptitude to identify and solve problems, takes initiative, is accountable, and works independently Change agent who can persuade and influence stakeholders to establish new processes, shift to automation, and provide innovative solutions Ability to manage internal and external relationships with well-developed interpersonal, team, customer service and communication skills (both written and verbal) Strong customer service skills in working with internal departments to achieve results through relationships with people and teams Able to work well in a fast-paced, growth environment, with strong attention to detail and accuracy Maintains strong initiative and possesses superior analytical skills",https://ca.indeed.com/viewjob?jk=5aed30f20557fec5,"Calgary, AB",,Senior Business Analyst,2193
2194,    City of Calgary,business analyst,"If you are committed to public service, enjoy collaborating with others, share our values and have a desire to learn and grow, join The City of Calgary. City employees deliver the services, run the programs and operate the facilities which make a difference in our community. We support work-life balance and offer competitive wages, pensions, and benefits. Together we make Calgary a great place to make a living, a great place to make a life.   As a Business Analyst you will analyze data from a wide range of data sources to generate key insights for Calgary Recreation, work with stakeholders to identify solutions to various issues, and monitor impacts to support customer focused service delivery. Primary duties include: Conduct analyses of primary and secondary data to inform facility planning and design, product and service development, customer service, and business optimization. Prepare reports and presentations that summarize results, identify key insights, and outline recommendations including an assessment of risk and reward. Work with stakeholders to promote data-driven decision making for ongoing improvements in recreation services delivered to citizens. Collaborate with others across the business unit and department in such areas as benchmarking and best practices, performance reporting, customer service improvement, data integration and data management, advanced analytics, and market research. Contribute to corporate and business unit business planning and policy projects.  Qualifications A degree in Business, Social Sciences or a related field with at least 4 years of relevant experience including data analysis and project management. Intermediate proficiency with Microsoft Office (Word, Excel, PowerPoint and Outlook). Possess working knowledge of statistical software programs (such as Statistical Product and Services Solutions [SPSS] and SAS), business intelligence tools (such as System, Application and Products (SAP) Business Objects, and geospatial analytical tools (such as ArcGIS) will be considered assets. Experience working with advanced analytics and geospatial analysis will also be considered assets. Demonstrate analytical and problem solving skills. Exceptional communication and interpersonal skills with the ability to build and maintain effective professional relationships with various levels of staff throughout the business unit and corporation. Equivalent combinations of experience and education may be considered. Pre-employment Requirements Successful applicants must provide proof of qualifications.  Union: Exempt   Business Unit: Calgary Recreation Position Type: 1 Permanent Location: 2808 Spiller Road S.E. Compensation: Level D $70,196 - 104,501 per annum Days of Work: This position typically works a 5 day work week, earning one day off in a 3 week cycle. Hours of work: Standard 35 hour work week Audience: Internal/External Apply By: May 28, 2018  Job ID #: 300793",https://ca.indeed.com/viewjob?jk=9d543ac1032ead40,"Calgary, AB",,Business Analyst,2194
2195,    ALBERTA SECURITIES COMMISSION,business analyst,"IT Business Analyst(Competition 2018.19)Our organization:The Alberta Securities Commission (ASC) is the industry-funded regulator responsible for administering the province's securities laws. It is entrusted with fostering a fair and efficient capital market in Alberta and with protecting investors. As a member of the Canadian Securities Administrators, the ASC works to improve, coordinate and harmonize the regulation of Canada's capital markets.The Information Technology (IT) team is responsible for making sure the ASC has the appropriate resources necessary to ensure the consistent, reliable and secure delivery of services to our internal and external customers.The opportunity: Reporting to the Manager, IT, the IT Business Analyst will use well-developed business relationship management, business analysis, and project management skills to deliver value by ensuring the right technology is deployed to meet business needs.Key responsibilities include: Developing an understanding of the processes, plans, objectives, drivers, policies, regulations, culture and issues related to IT’s business partners at the ASC.Acting as a primary liaison between the IT team, ASC divisions and business units with the goal of identifying and defining business requirements.Increasing business understanding about how IT can provide solutions and services to create business value.Working closely with the IT management team, coordinating, guiding and ensuring IT services are effective and meet or exceed value expectations.Collaborating with a range of highly knowledgeable stakeholders to elicit requirements, analyze processes, to produce detailed functional specifications.Effectively documenting current and desired business processes.Translating functional and non-functional requirements into technical specifications.Evaluating potential software solutions – internal and off-the-shelf – to ensure business requirements are addressed.Managing the delivery of IT projects using project management methodologies and best practices ensuring projects deliver results in scope and on time.Developing detailed work plans, project schedules, estimates, and resource plans.Successfully managing project changes, risks, issues and actions .Planning project roll-out and implementation activities, including organizational change management, user acceptance testing, stakeholder communications and project close-out activities.The ideal candidate will possess: A bachelor’s degree in Business, IT or equivalentA total of 10 to 15 years of IT experience with 5+ years directly handling various projects with increasing levels of complexity requiring business relationship management, business analysis, and project management skills.Strong and well tested analytical and problem-solving skills.Outstanding written and oral abilities, including effective communication with management and non-technical business users.The following would be an asset:Project Management Professional (PMP) certification, or equivalent.Certified Business Analysis Professional (CBAP) credentials or other recognized Business Analysis certification/accreditation.To apply: Visit our website to submit your resume, cover letter and salary expectations by June 8, 2018. More information about working at the ASC including our comprehensive Total Rewards package can be found on our website atwww.albertasecurities.com.You will be contacted if you are selected for an interview.Job Type: Full-time",https://ca.indeed.com/viewjob?jk=1fb1d02cd43618bd,"Calgary, AB",,IT Business Analyst,2195
2196,    Calgary Parking Authority,business analyst,"CALGARY PARKING AUTHORITY  BUSINESS ANALYST (ONE YEAR TEMPORARY POSITION)  Information Technology and Technical Services  We are looking for a Business Analyst (BA) that provides clear, concise context and analysis that can be referenced by many stakeholders (some of them business, some of them technical). The BA will be part of a fast paced, agile team that are developing solutions to delight our customers.  Responsibilities  · Working with a variety of stakeholders to deliver a clear mapping of business and non-functional requirements to development, and Quality Assurance (QA).  · Work with developers and QA to produce supporting technical artifacts as needed including Use Cases, Flow charts, Wireframes, Performance parameters, etc.  · Maintain service specific documentation from release to release (capture changes for each release).  · Provide analysis documentation that stands the test of time. Creating documentation that provides context for the analysis, explains the approach and succinctly articulates the results is essential.  Qualifications  · The successful candidate will have a Degree in Information Technology or related discipline and a minimum of 3 years of relevant experience  · 5-7 years of related business analysis experience is preferred  · 3+ years of experience in working with teams in Agile Software Development  · Excellent verbal and written communication; strong analytical abilities  · Possess a familiarity with multiple technologies, business analysis tools, and development methods.  · Possesses deep understanding of agile software development methodologies  · Understands complex business processes and is able to document them in a logical and comprehensible manner  · Must be very comfortable with two week sprints and two week release windows  · Must understand how to deliver on requirements in a fast pace working environment  Competencies: Technical/Professional Knowledge & Skills; Stress Tolerance; Contributing to Team Success; Innovation; Building Strategic Working Relationships.  Hours of Work This position works a 35 hour work week  Compensation Exempt Pay Band D (starting wage $63,700)  Notes  The Calgary Parking Authority is committed to Employment Equity and encourages applications from all who are qualified. Applicants are thanked in advance for their interest and advised that only individuals selected for interviews will be contacted. Applicants are advised that this position requires completion of a Police Information Check to determine eligibility for employment. Successful applicants must provide proof of qualifications.  Please apply online at https://calgaryparking.startdate.ca with cover letter and resume by 2018 May 27.",https://ca.indeed.com/viewjob?jk=b168920d65f27d36,"Calgary, AB",,Business Analyst,2196
2197,    Canadian Natural,business analyst,"The Business Systems Analyst performs a combination of three functions: business analysis, systems analysis, and project management. As a Business Systems Analyst you will be responsible for managing the customer relationship between IS, and one or more business areas, implementing new applications, as well as supporting and maintaining a portfolio of existing applications. A Business Systems Analyst may also provide guidance and direction to Systems Analysts and Developers. COMPETITIVE SALARY - STOCK OPTIONS - STOCK SAVINGS PLAN - ANNUAL BONUSES – BENEFITS! HOW WILL YOU MAKE YOUR MARK? Manage the customer relationship between IS and specific business areasSupport, maintain, enhance and/or upgrade a portfolio of custom and package applicationsAnalyze requests for new functionality, and document business cases to justify new application investmentsDevelop estimates of effort for design of new, and/or modification to existing, application componentsDesign application components to automate and streamline business processes and functionsBusiness area planning that includes scheduling and management of application projectsUnderstand the architecture of the applications within the groups portfolioPlan, assign and monitor daily work assignments for Systems Analysts, Developers and Developer AnalystsDevelop and maintain technical specifications and documentationTroubleshoot and repair problems that occur in the everyday use of an applicationDevelop cost estimates for the annual IS capital and sustainment budgets QUALIFICATIONS: Typically 8+ years’ experience as a Business Systems Analyst and Systems Analyst, preferably in Production Accounting, PAS/PRISM AND Field Data CollectionPost-secondary degree in Computer Sciences is preferredExcellent written and verbal communication skillsHighly developed analytical skillsDemonstrated proficiency in business modeling, process modeling, data modeling, and effort/cost modeling and estimatingDemonstrated proficiency in N-tier application analysis, design and development using the appropriate development environments and tools (Java Enterprise, Tomcat, MS VB.NET/ASP.Net, MS SSRS, and/or Oracle 11C&12C and PL/SQLGeneral proficiency with SQL and database query tools such as Microsoft Access and/or SQL+Strong multi-tasking and prioritizing abilitiesExceptional Project Management skills To see related Information Technology roles at CNRL, visit: http://www.cnrl-careers.com/jobs/Information-Technology ABOUT CANADIAN NATURAL At Canadian Natural, we strive to live through our mission statement: ""To develop people to work together to create value for the Company's shareholders by doing it right with fun and integrity."" As a leading oil and gas producer, our diverse combination of assets include light oil, heavy oil, in situ oil sands production, oil sands mining and upgrading facilities, and natural gas. At Canadian Natural, safety is a core value. We conduct all of our operations in a way that identifies, minimizes and mitigates harm to the health and safety of employees, contractors, the public and the environment. Canadian Natural Resources Limited - CNRL - is a publicly traded company on the TSX and NYSE as CNQ.",https://ca.indeed.com/viewjob?jk=15bac23ecc65c760,"Calgary, AB",,Business Systems Analyst,2197
2198,    HUSKY ENERGY INC,business analyst,"IS Business Analyst-00134914-20180427 Description One of Husky’s advantages is that we are an integrated oil and gas company. From exploration to development, production, refining and marketing, we’ve got it all! Combine this with a range of learning and development tools and an inclusive work environment, and you are well-positioned for a successful career at Husky.  We have training, mentoring and career development programs and resources to help you develop both personally and professionally – as an employee or a leader. We offer many internal leadership and business skills courses along with tuition reimbursement programs for qualified employees. Every year, a significant number of our employees are able to take on new roles within the company thanks to our strong focus on hands-on learning and development. Husky is currently looking for an IS Business Analyst for their Calgary, AB office. The IS Business Analyst works closely with the IS Program Managers to gather and assess project requirements. They possess a solid understanding of business specific processes and collaborate with relevant IS teams to develop Project Development & Execution Framework artefacts. The role is integral in evaluating the business value and benefits associated within the projects and programs. Specific responsibilities will include: Liaise with business teams to gather technical and non-technical business requirements on behalf of the Business Partners and IS Program Managers to create the Project artefacts for identified opportunities Utilize relevant business analysis techniques to perform solution analysis and design this could include but is not limited to: Requirements Management (requirements traceability, baselining, etc.) Enterprise Analysis (benchmark studies, feasibility analysis, SWOT, etc.) Requirements Analysis (process modeling, organization modeling, use cases, etc.) Solution Assessment and Validation (user acceptance testing, defect and issue reporting, etc.) Inform Business Partners and IS Program Managers of potential continuous improvement opportunities Conduct Requirements Management using relevant tools such as; requirements traceability matrices, base lining, prototyping, focus groups, etc. Perform Enterprise Analysis using relevant tools such as; benchmark studies, feasibility analysis, integration effectiveness, SWOT, etc. Conduct Process Analysis using relevant tools such as; process modeling, reverse engineering, organization modeling, use cases, etc. Participate and enhance the BA Community of Practice including tools, templates, etc. Qualifications Our ideal candidate will have the following qualifications: College diploma or university degree in business or information systems or equivalent experience or combination thereof The following would be an asset: Certified Business Analysis Professional (CBAP) Project Management Professional (PMP) ITIL Foundations Minimum of five years’ direct experience of contributing to the success of a range of small-to-medium initiatives with escalating levels of complexity and business criticality Experience in facilitating change, including collaboration with management stakeholders Minimum of 5 years’ experience working with information technology in an oil and gas domain is desirable Proficient with Microsoft Office Experience using the following is preferred: ARIS Microsoft Visio SAP At Husky, we respect diversity and embrace an inclusive culture. We value uniqueness and different perspectives as they play a critical role in our success. To achieve this, individuals are selected based on qualifications, merit, and abilities and we encourage applications from everyone including visible minorities, Aboriginal people, women, and persons with disabilities. Husky Energy is an integrated Canadian energy company. It is headquartered in Calgary, Alberta, and is publicly traded on the Toronto Stock Exchange under the symbol HSE. The Company operates Upstream and Downstream business segments, with operations in Canada, the United States, China and Indonesia.  Husky's balanced growth strategy focuses on consistent execution, disciplined financial management and safe and reliable operations. Interested candidates must apply online at: www.huskyenergy.com/careers. Only those candidates who apply via Husky's online application process can be considered. We thank all applicants for their interest in our organization; however, only short-listed applicants will be contacted. #LI-Post Job Business Analysis Primary Location CA-AB-Calgary",https://ca.indeed.com/viewjob?jk=9ad105cbcab6f4ed,"Calgary, AB",,IS Business Analyst,2198
2199,    SyLogix / City of Calgary,business analyst,"File#: 11-024-18-0037Project Title: Atlassian Implementation Business AnalystResource Type: Business AnalystDuration: 2018 June 4th to 2019 January 31Closing Date: May 22, 2018Essential Skills:Respondents must provide an introductory statement on the resume of the number of years of experience their candidate has in each of the Essential Skills. Only those candidates meeting or exceeding the identified Essential Skills will be eligible to move to the full evaluation process.A University Degree in Business or a Technical Field with more than 5 years of progressive experience, including more than 3 years of related technology implementation, business analysis, user acceptance testing and documentationProven experience in eliciting, analyzing and documenting requirements (both business and functional)Experience in analyzing data to draw business-relevant conclusions and recommendationsExperience with workflow mappingStrong problem solving and analysis skillsExcellent written and verbal communication skillsSolid organizational skills including attention to detail and multi-tasking skillsStrong working knowledge of Microsoft OfficeDesired Skills:Knowledge/Familiarity with The City’s processesExperience with Business Analysis Body of Knowledge (BABOK) and eliciting requirements to form project recommendations and approachExperience with agile project managementExperience working with AtlassianJob Type: ContractEducation:Bachelor'sLocation:Calgary, AB",https://ca.indeed.com/viewjob?jk=98f1f667ee9fa6db,"Calgary, AB",,Business Analyst,2199
