,Company,Job Type,Job_Description,Job_Url,Location,Salary,Title,Unnamed: 0
436,    Alberta Newsprint Company,electrical engineer,"The EI Reliability Engineer is responsible for the development and implementation of the Electrical and Instrumentation Maintenance Reliability Program to minimize downtime and enhance production capability. This person also provides electrical engineering expertise and support to the Electrical and Instrumentation, Mechanical, Engineering and Operations teams as required. This person reports to the ESI (Electrical, Systems and Instrumentation) Superintendent.ResponsibilitiesRespond to equipment breakdowns and malfunctions, identifying root causes including failure analysis reports and specifying actions for repairs and prevention including engineering analyses and design changes. Manage actions for completion.Develop, implement, audit and support preventative and routine maintenance programs by utilizing RCM concepts.Maintain asset references in CMMS.Work with EI Techs and Engineering on equipment design improvements. Implement changes to improve equipment reliability and reduce maintenance requirementsWork with purchasing department on spare part criticality and support for obsolesceWork with vendors for equipment design changesBuild library of drawings and parts lists in CMMSKey Competencies and SkillsTechnical expertise, Testing and Troubleshooting, Problem Solving/AnalysisHands on Electrical and Instrumentation experienceElectrical and Instrumentation Design and IntegrationElectrical and Instrumentation EngineeringPreventative Maintenance StrategiesRoot Cause Failure AnalysisEducation, Experience and knowledgeBachelor's degree in Electrical Engineering or other related engineering degreeMinimum of five (5) years relevant maintenance engineering experience in design, inspection, evaluation and rehabilitation of industrial electrical and instrumentation equipmentKnowledgeable and demonstrated use of RCM techniques including maintenance task analysis, critical spare parts analysis, maintenance procedures reliability and risk assessmentsKnowledge of quality assurance processes and quality control activities.Knowledge of electrical safety programs and electrical protection systemsQualified candidates are requested to forward their resumes complete with references by: May 31, 2018 to: Alberta Newsprint CompanyPostal Bag 9000Whitecourt, Alberta T7S 1P9Personnel Services CoordinatorFax: 780-778-7070Email: career_esi at albertanewsprint.comVisit our website: www.albertanewsprint.comAlberta Newsprint thanks all applicants in advance; only candidates selected for an interview will be contacted.Job Types: Full-time, PermanentExperience:maintenance engineering: 5 yearsEducation:Bachelor's",https://ca.indeed.com/viewjob?jk=5b7be95aae45617a,Alberta,,EI Reliability Engineer,436
437,    Pembina,electrical engineer,"Requisition Id: 15272 Department: Operations Group Summary of Responsibilities Pembina Pipeline Corporation has an immediate opening for an Operations Engineer in our Oil Sands Business Unit (OBU) to support the operations of its pipeline assets. You will be a direct contributor to the ongoing development of Pembina’s pipeline business. The ideal candidate would be stationed in Calgary, Alberta with frequent travel to the field offices. Responsibilities will include, but not be limited to: Visibly demonstrate commitment and personal accountability to Pembina’s “Zero by Choice” safety culture, as well as ensuring staff and contractors are fully aware and compliant with Pembina’s safety requirements; Work with multi-disciplinary teams to develop safe, efficient and cost effective operating philosophies and solutions for customers involving pipeline operations; Troubleshoot maintenance and processing problems, identify cost effective solutions and implement to completion using Pembina’s Management of Change (MOC) process; Monitor pipeline performance and identify opportunities to reduce cost, improve safety, increase reliability and increase throughput; Work closely with Operations team to optimize existing asset performance and efficiency; Support the coordination of projects and communication between Engineering, Operations, Commercial and Finance/Accounting functional groups; Co-ordinate and manage outside engineering consultants, specialty consultants and contractors, and internal subject matter experts for the execution of design, construction and commissioning of projects; and Build and maintain a network of service providers and technical representatives to create an effective and sustainable operations environment. Qualifications Candidates will be a Professional Engineer (Electrical, Mechanical or Chemical preferred) and be registered with APEGA with a minimum 5 years’ experience in a Project Engineering or other technical role; Demonstrated knowledge of safe work practices and protocols applied in the industry; Proven success in supporting field Operations and defining, implementing and executing technical solutions to operating problems; Pipeline and oilfield maintenance, construction and commissioning experience; Working knowledge of ASME, ABSA, AER, CSA and regulatory codes related to the operation of oil and gas facilities considered an asset; Excellent communication skills, both written and verbal, as well as presentation skills; Well-organized, detail-oriented, enthusiastic and confident, with excellent problem-solving skills and a roll-up-your-sleeves attitude toward work; Driven, results-oriented individual who naturally takes responsibility for setting the standard and achieving results; Self-directed and capable of working within a continuously changing environment; Ability to lead and work effectively in a team environment; Instills confidence and creates strong relationships quickly; and Ability to prioritize and meet reporting deadlines. No agency calls please. Pembina is an equal opportunity employer committed to diversity and inclusion. We are pleased to consider all qualified applicants for employment without regard to race, color, religion, sex, national origin, age, disability, protected veterans status or any other legally-protected factors. Accommodation for applicants with disabilities is available on request during the recruitment process. Pembina Pipeline Corporation has been serving the transportation and midstream service needs of North America's energy industry for over 60 years. We process, terminal and transport our customers' products safely - all while protecting the environment and delivering on our commitments to our shareholders and community stakeholders. When we build something, we do it right. Powering Pembina's growth are our smart, creative and energetic people who allow us to remain a disciplined and responsible energy transportation and service provider and a trusted member in our communities. Our expectations are high, and so are our rewards. We treat our people well – whether it’s through our total compensation package, our community engagement and volunteer opportunities, or our numerous fun social activities. Pembina is a proud recipient of the 2018 Canada’s Top 100 Employers and Alberta's Top 70 Employers (2014-2017). We are also a strong supporter of Skills Canada. >",https://ca.indeed.com/viewjob?jk=482897520230b3b3,"Calgary, AB",,"Engineer, Operations",437
438,    Airdyne R&D Inc.,electrical engineer,"Airdyne R&D; has immediate openings for at least one experienced engineer to provide long term design support to its recently developed core product line. This position will work closely with the design mechanical engineers, but also independently to solve customer specific requirements and to make general modifications as necessary. Engineers on this team will also have the opportunity to work on other unique contract specific issues in support of Airdyne's domestic and international business.You must have at least 5 years of relevant engineering experience.You must have at least a Bachelor's degree in engineering.You must be able to present evidence of 3D Electrical solid modeling skills (Solidworks, Catia, etc.)Appropriate Knowledge of Military, Government and Federal Aviation Authority (FAA) regulations and their impact on design and analysis (i.e., certification, qualification).Perform electrical systems analysis of systems.you must know harness design, electrical loads analysis, failure modes effects and criticality analysis, and electrical systems design and integration into existing aircraft systems.must also know aircraft EMI/EMC/RFI testing procedures and knowledge of associated MIL Standards and reporting methodologies.Independently develop technical solutions to a wide range of difficult problems with solutions that are imaginative, thorough, and practical and consistent with organization objectives.Experience with RF, EO/IR, Datalinks, C4ISR is a significant plus.Experience with the Lockheed Martin C-130/L-100, Leonardo C-27J, or similar is a plus.Airdyne is located in NW Calgary 40 minutes drive to Banff or Canmore. Typically your commute is against rush-hour traffic.Do not send a resume without a cover letter that reveals you have thought about Airdyne, the requirements and why you are particularly interested in the position.Airdyne provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Airdyne complies with applicable provincial and federal laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.Job Type: Full-timeRequired education: Bachelor'sRequired experience: Engineering: 5 yearsJob Type: Full-timeSalary: Based upon qualifications; please provide salary requirementsJob Type: Full-timeExperience:Electrical Engineering: 5 yearsEducation:Bachelor's",https://ca.indeed.com/viewjob?jk=5787ef5338e0732e,"Calgary, AB",,Aero Electrical Engineer,438
439,    Alberta Newsprint Company,electrical engineer,"The EI Process Control Engineer/Technologist is responsible for taking control and managing our Refiner Supervisory Control system. They will also be responsible for the development and implementation of the Electrical and Instrumentation process controls to minimize downtime and enhance production capability. This person also provides process control expertise and support to the Electrical and Instrumentation, Mechanical, Engineering and Operations teams as required. This person reports to the ESI (Electrical, Systems and Instrumentation) Superintendent.ResponsibilitiesManage and support our Refiner Supervisory controlsResponsible for facilitating the development of process control strategies, practices and procedures which facilitate a consistent approach to ensure reliability and reduce costs.To provide mentoring, leadership and support in the implementation and management of process control projectsWork with the EI Technicians and the Engineering Department to develop up to date documentationAssist in the implementation of Company policies/procedures and Regulatory standards whenever electrical / instrumentation or process control design changes are made in the millInvestigate and eliminate process upsets through tuning and the optimization of process control strategiesImplement and maintain the process monitoring system to optimize process stability and response through loop tuning and predictive valve/instrument failuresKey Competencies and SkillsTechnical expertise, Testing and Troubleshooting, Problem Solving/AnalysisHands on Process Control, Electrical and Instrumentation experienceProcess Control, Electrical and Instrumentation Design and IntegrationElectrical and Instrumentation process control strategiesloop tuning and optimizing process control strategiesEducation, Experience and knowledgeBachelor's degree in Process Control Engineering or other related engineering degree or Process Control TechnologistMinimum of five (5) years relevant process control experience in design, tuning, evaluation and re-engineering of industrial electrical and instrumentation equipment and controlsKnowledge of quality assurance processes and quality control activitiesKnowledge of loop tuning systems and techniquesQualified candidates are requested to forward their resumes complete with references by: May 31, 2018 to: Alberta Newsprint CompanyPostal Bag 9000Whitecourt, Alberta T7S 1P9Personnel Services CoordinatorFax: 780-778-7070Email: career_esi at albertanewsprint.comVisit our website: www.albertanewsprint.comAlberta Newsprint thanks all applicants in advance; only candidates selected for an interview will be contacted.Job Types: Full-time, PermanentExperience:process control: 5 years",https://ca.indeed.com/viewjob?jk=2c0898aede14c643,Alberta,,EI Process Control Engineer/Technologist,439
440,    Bluestar Engineering Ltd.,electrical engineer,"Bluestar Engineering Ltd. is a Calgary based EPCM company specializing in small to medium size oil and gas projects. We are a group of professionals who form a fully integrated, multi-disciplinary organization backed by many years of experience.We are currently seeking a Junior Electrical Engineer to join our team.The Junior Electrical Engineer shall undertake and complete electrical engineering assignments of limited scope and complexity, as determined by the Electrical Engineer in support of Bluestar’s projects and clients.Duties and Responsibilities: Prepare reports and technical documents under direction of Electrical Engineer, including:Electrical equipment and components selection, sizing, and specification.Cost estimates and project schedule (for I&C; component).Procurement and expediting, as assigned.Design documentation and correspondence.Prepare electrical engineering calculations and drawings under direction of Electrical Engineer, including:Electrical load list.Single line diagram.Area classification.Cable Schedule.Voltage Drop.Lighting Calculations.Control Schematics.Arc Flash Studies.Device Coordination.Prepare construction packages, operation manuals, data books, etc. for Electrical Engineer approval.Arrange all project related documentation in a professional manner to ensure timely retrieval and reference.Act as custodian of international codes, standards and technical specifications used by their team.Assist in the operation and maintenance of Bluestar's library by organizing and maintaining project related files, records, drawings and correspondence and complete suitable archiving and storage of all completed projects.Review work load on an on-going basis with Project Engineer or Project Manager, to assess assigned work, review project progress and give/receive feedback.Complete and file deliverables in an orderly fashion.Maintain engineering hours within established project budget.Complete efficient, operable and fit-for-purpose design.Requirements: Bachelor of Science (Engineering) – Electrical.0-3 years experience in an EPCM setting.Excellent English language reading and writing skills.Intermediate to advanced skill level in computer applications.Personable and able to work with a team in a multi-disciplinary environment.Ability to adjust to change and multitask in a fast-paced setting.Please be advised that Bluestar Engineering Ltd. is an equal opportunity employer and only applicants who are selected, will be contacted to schedule an interview.Job Type: Full-time",https://ca.indeed.com/viewjob?jk=44644b64c9b05983,"Calgary, AB",,Junior Electrical Engineer,440
441,    Phoenix Technology Services LP,electrical engineer,"Phoenix Technology Services is a progressive and innovative Calgary based directional drilling company. Driven by our client’s needs, we are committed to providing more efficient and cost-effective drilling operations.We have an opening for an Electrical Engineer based out of our SE Technical Centre. Reporting to the Electrical Engineering Manager (EEM), the Electrical Engineer (EE) will be a member of the Engineering department whose goal is to assure reliability, cost effectiveness and safety of proprietary technologies as well as supporting the needs of the Company. The incumbent will be responsible for a broad spectrum of initiatives involving the Engineering and Manufacturing, Reliability and Survey Domain teams as well as occasional tech support for field operations. Key areas of accountability will focus on providing analytical expertise and supporting surveying, directional drilling and calibration of MWD directional sensors.Responsibilities also include: Develop and maintain calibration infrastructure (hardware, firmware, software) relating to directional sensors and capture learnings (e.g., processes, methods, algorithms, etc.) in a knowledge base.Work with the Survey Domain team as an expert responder to inquiries and provide guidance and expertise on application of MSA (Multi-station Analysis) and research into continuous improvements.Develop work instructions, sensor verification, calibration techniques and processes associated with the fleet of directional sensors, in collaboration with Manufacturing and Service Technicians.Work with Reliability team to triage and troubleshoot directional sensor failures and document corrective actions.Analyze performance of vendor products, document findings and communicate with vendors on continuous improvements.Participate in hardware, firmware, peer design reviews, and general troubleshooting and triage activity.Prepare supplemental technical, design, specification, testing, training and procedural documentation as needed.Provide in-person training and support to groups within Phoenix as required.Provide occasional support for service and field operations.Maintain complete and comprehensive records of daily activities and report to the EEM on a weekly basis.Occasional travel may be required.The successful candidate will have a Bachelor’s degree in Electrical Engineering, or Engineering Physics from an accredited University or College and is a member of APEGA in good standing or eligible for licensing in Alberta. This individual will have experience with embedded firmware coding and debugging in C environment, version control systems, preferably Subversion, Altium Schematic Design and PCB layout, and demonstrated experience with Matlab and Labview tools. Knowledge in oilfield drilling operations, MWD surveying technology and applications and familiarity with Visual Studio, .net and C# language are assets. They will also have good working knowledge of electrical hardware and firmware design best practices, strong documentation skills for design, testing and reporting as well as demonstrated understanding of quality assurance methods and reliability of electronic systems. This candidate is a quick learner with strong work ethic, goal focused and attentive to detail and will also have exceptional interpersonal and written communication skills, strong troubleshooting skills, is deeply analytical, with a passion for applied mathematics (electromagnetics and kinematics).Job Type: Full-timeExperience:Electrical Engineering: 1 yearEducation:Bachelor's",https://ca.indeed.com/viewjob?jk=7df42a61accf3fa7,"Calgary, AB",,Electrical Engineer,441
442,    Autopro Automation,electrical engineer,"Position Profile  The Junior Electrical Engineer/Technologist will be part of a design team working on automation and low to medium voltage electrical engineering design projects. The project types will vary in size and complexity, and may include, but not be limited to DCS, PLC, HMI, SCADA and RTU systems.  Position Accountabilities  Electrical engineering and design work on all aspects of electrical design under supervision of the project lead.  Preparation and execution of electrical design documents and related calculations, such as voltage drop, cable tray loading, conduit fill calculations, overcurrent selection, motor starting calculations and overload selection, etc.  Staging and Testing – assist in the preparation of test plans and inspect/test hardware  Drawing package preparation – prepare various electrical drawings:  Layout drawings  Control panel drawings  Power distribution schematics  I/O schematics  Loop drawings  Junction box layout & termination drawings  Single line diagrams  Motor control schematics  Grounding diagrams  Lighting/Distribution panel drawings  System architecture drawings  Marshalling termination drawings  Installation detail drawings  Construction work package preparation – produce a construction scope of work document, construction specifications and supporting documentation.  Procurement – assist with the specification and procurement of equipment. Prepare bid specifications, bid comparisons and produce recommendations for purchase.  Narratives and documentation - produce as-build narratives and shutdown keys from existing PLC code. Prepare reports on various aspects of the project.  System Architecture drawings - as-build and additions to architecture drawings and block drawings.  Candidate Profile  Diploma in Electrical Engineering Technology or B.Sc. in Electrical Engineering from an accredited institution.  Registration with professional engineering association.  Canadian Citizen or Canadian Permanent Resident only.",https://ca.indeed.com/viewjob?jk=492c12ee3abde904,"Calgary, AB",,Junior Electrical Engineer/Technologist,442
443,    ATTAbotics Inc.,electrical engineer,"Testing Engineer (Electrical/Software) – Robotics Manufacturing AutomationAbout YouYou want to work for a small company that thinks big and dreams huge. You are driven, view work as more than just a job, and are never satisfied with a project left half-done. You have a strong sense of personal ownership and responsibility for completion of objectives on time.You want to figure out why things tick which makes you tick but very little ticks you off.You want to think outside of the box and continually challenge your own limits, as well as those around you. You have a mad scientist mentality where you want to be part of the robots building robots revolution.About ATTAboticsATTAbotics provides a robotic warehousing and fulfillment system that has is being noticed by industry experts including some of the top global automation companies in the world. ATTAbotics has a very disruptive technology that has the potential to redefine the eCommerce and warehousing fulfillment market. ATTAbotics has taken a different perspective on the technology. Instead of developing technology to speed the human workload, ATTAbotics is creating a robotic centric storage and retrieval system. A goods to person system that can be deployed in an extremely small space, for a lower entry level cost, providing industry leading throughput.Who you are and what we need: .Experience with creating test automation software in a manufacturing environmentAbility to design, document, implement, and maintain test automation hardware and softwareStrong software development skillsKnowledge and experience with C/C++, and experience with C# would be an assetExperience with software best practicesEmbedded Linux experienceKnowledge and experience with electronic hardware design. PCB design skills would be an assetMust be able to work in a fast paced environment and support unscheduled eventsAbility to prepare test procedures, documentation, and test reportsA Bachelor of Science in a related engineering discipline (i.e. Computer Science, Electrical Engineering, etc.)If this description describes you perfectly and the work environment you know you can thrive in, send us your resume as well as describe to us what you’re passionate about and we may just reach out to you.ATTAbotics is committed to employing the best people to do the best job possible within our environment. We hire based on merit and are strongly committed to cultivating diversity as a source of excellence. ATTAbotics firmly believes that a vast array of perspectives produces and promotes innovation and business success. Our corporate diversity encompasses differences in ethnicity, gender identity or expression, language, age, sexual orientation, religion, socio-economic status, physical and mental ability and education.Job Type: Full-timeExperience:C/C++: 3 yearscreating test automation software: 3 yearsdesign, document, implement, and maintain test automation ha: 3 yearsEducation:Bachelor'sLocation:Calgary, AB",https://ca.indeed.com/viewjob?jk=cf037629f47d6a86,"Calgary, AB",,Testing Engineer (Electrical/Software) – Robotics Manufactur...,443
444,    Airdyne R&D Inc.,electrical engineer,"Airdyne R&D; has immediate openings for at least one experienced engineer to provide long term design support to its recently developed core product line. This position will work closely with the design mechanical engineers, but also independently to solve customer specific requirements and to make general modifications as necessary. Engineers on this team will also have the opportunity to work on other unique contract specific issues in support of Airdyne's domestic and international business.You must have at least 5 years of relevant engineering experience.You must have at least a Bachelor's degree in engineering.You must be able to present evidence of 3D Electrical solid modeling skills (Solidworks, Catia, etc.)Appropriate Knowledge of Military, Government and Federal Aviation Authority (FAA) regulations and their impact on design and analysis (i.e., certification, qualification).Perform electrical systems analysis of systems.you must know harness design, electrical loads analysis, failure modes effects and criticality analysis, and electrical systems design and integration into existing aircraft systems.must also know aircraft EMI/EMC/RFI testing procedures and knowledge of associated MIL Standards and reporting methodologies.Independently develop technical solutions to a wide range of difficult problems with solutions that are imaginative, thorough, and practical and consistent with organization objectives.Experience with RF, EO/IR, Datalinks, C4ISR is a significant plus.Experience with the Lockheed Martin C-130/L-100, Leonardo C-27J, or similar is a plus.Airdyne is located in NW Calgary 40 minutes drive to Banff or Canmore. Typically your commute is against rush-hour traffic.Do not send a resume without a cover letter that reveals you have thought about Airdyne, the requirements and why you are particularly interested in the position.Airdyne provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Airdyne complies with applicable provincial and federal laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.Job Type: Full-timeRequired education: Bachelor'sRequired experience: Engineering: 5 yearsJob Type: Full-timeSalary: Based upon qualifications; please provide salary requirementsJob Type: Full-timeExperience:Electrical Engineering: 5 yearsEducation:Bachelor's",https://ca.indeed.com/viewjob?jk=5787ef5338e0732e,"Calgary, AB",,Aero Electrical Engineer,444
445,    GCM Consultants,electrical engineer,"Are you looking for an engineering consulting firm where you can fulfill your professional and personal goals? GCM is a workplace where you can meet challenges and surpass them, independently and as part of a team. We provide a work environment that respects the individual and their family life.With more than 300 professionals in our offices in Montreal, Varennes, Quebec, Regina, and Calgary, we are working in many industrial sectors across Canada. Are you a professional, who is passionate and creative? Take the opportunity to join our amazing team by, submitting your application for this position!You will execute the electrical system design mainly in industries:Distribution 120 V, 600 V, 4.16 kV, 25 kVPower supply for various motor loadsHeating cablesGeneratorsLightingGroundingRequirementsBachelor’s degree in Electrical EngineeringMember of APEGA3 to 10 years of experience in the fieldDescription of qualificationsGood knowledge of the Electrical CodeExperience in high voltage (asset)Revelant experience in consultant engineering firms and heavy industries (asset)Hability to communicate and work in teamsProficiency in English (spoken and written), knowledge of French an assetJob Types: Full-time, Permanent",https://ca.indeed.com/viewjob?jk=ecc27349f1743edb,"Calgary, AB",,Intermediate Engineer - Electrical,445
