,Company,Job Type,Job_Description,Job_Url,Location,Salary,Title,Unnamed: 0
0,    Solium Capital,software developer,"About Solium  Solium is fulfilling a vision of becoming the global leader in equity-based (stock) incentive and share purchase savings plan management. We specialize in the delivery of complete web-based services for the full lifecycle of equity-based incentive and savings plans. Through our technically advanced Solium Shareworks™ platform, Solium is setting the industry’s service standard for the administration and execution of all types of equity-based incentives and savings plans.  Why work at Solium  Solium is a fast growing company where every member of our team is important to our success. If you have an unfailing commitment to excellence, alignment to customer interests, and strong problem-solving skills, Solium would welcome your contribution to our enthusiastic team. We reward our people with a competitive compensation and benefits package. We currently have a full-time, permanent opportunity for:  Software Development Manager  Solium is looking for a helms-person to help pilot their financial services Death Star through more than $10,000,000,000 of transactions per year.  If you:  Are a leader who believes in leader-leader self-organizing teams and is willing to work on that evolution Are a coach who supports broad growth because you know that developers have careers and not just jobs Are a pragmatic problem solver who can identify process inefficiencies and find creative ways to eliminate them Are excited by the challenge of helping us evolve from a midsize SaaS application to a global enterprise platform Then we are looking for you!  We are big fans of Turn the Ship Around! by L. David Marquet, and are working to build and reinforce a culture of action and ownership. You will help foster leadership through all levels of the organization. You are not a master developer, but have a strong technical background and familiarity with patterns and practices. You know that agile is a description, not a dogma, and that continuous improvement is achievable.  Requirements:  Foster a team culture that encourages ownership, continual learning, and customer delight Provide hands-on coaching and mentoring to Software Developers for technical and soft skill growth Work with product owners and clients to contribute to strategic growth of the platform Remove barriers to keep product teams close to the client and product to find value in what we build Champion product ownership and spread leadership throughout the team Ruthlessly identify process weakness and build and use metrics to drive improvement Take a lead role in recruiting and hiring Software Developers Familiarity with the enterprise Java technology stack. While we are not dogmatic about what technologies we use, this is the one we are using right now. Help lead the team to balance commercial viability, scalability, security, and technical innovation to evolve the Shareworks platform Qualifications:  Bachelors of Science in Computer Science, or Equivalent experience Familiarity with development and deployment of enterprise applications Working knowledge of management techniques and strategies 8+ years’ experience as a developer or engineer 5+ years’ experience as a development or engineering team lead (or other technical management) If you've read this far and you're thinking ""I want to be a part of this"", we agree! Apply now!",https://ca.indeed.com/viewjob?jk=3142e354abacd87c,"Calgary, AB",,Software Development Manager,0
1,    Solium Capital,software developer,"About Solium  Solium aims to solve the problem of equity management and financial record keeping with our platform: Shareworks. Shareworks provides the ability for public and private companies to manage stock option plans, employee share purchase programs, and perform complex financial reporting. Shareworks also empowers employees of companies using the platform to access their equity through the transaction of their shares and holding. We actively trade on exchanges around the world including the NYSE, NSADAQ, LSE, and ASX.  Our Culture  Solium takes cultural characteristics from the industries we draw upon. We develop and maintain a sophisticated set of enterprise software products, so we embody the casual style but relentless focus that is often associated with the tech industry. But we are also a client service organization, offering support to both corporate clients and their employees. We also employ a wealth of “numbers” people, those with backgrounds in math, finance and economics. And because we are a global organization, you’ll routinely hear Spanish and French spoken in our offices. Solium offices are all about diversity. What unites us is a commitment to quality. We are all passionate people who bring our best in support of a singular focus, to be the global leader in our industry.  We think in terms of what-ifs. And we answer with:  Innovation: We create solutions and services that make the complex manageableFlexibility: We offer the choices that provide compliance and convenienceService: We demonstrate problem-solving, reliability and accuracy in everything we do for our customers We reward our people with a competitive compensation and benefits package and a fun, flexible working environment.  Recent Awards:  Deloitte’s Technology Fast 50™ - 2006 to 2010, 2012, 2014 Canada's 10 Most Admired Corporate Cultures - 2012 Branham’s Top 5 Canadian Software-as-a-Service Companies Top 20 Movers & Shakers – 2011 Top 25 Canadian Software Companies - 2011 We currently have several permanent full-time opportunities for a Web Operations Analysts  Highlights:  When a bystander walks past your computer do they ask you if you're looking at the Matrix? Have you ever made a Developer or QA team member cry tears of happiness and gratitude? Do people throughout the organization come to you because you get the job done? Have you ever tamed a wild RDBMS? Are you a high functioning individual in stressful situations? Are you obsessed with keeping the data on time and system up and running?  If you've answered yes to any of these questions, we want to talk to you!  Overall Responsibility:  Solium’s production application support team is responsible for supporting our internal and customer-facing web application in order to fulfill our required service standards. The team interacts with multiple business teams within Solium including software developers, customer support, operations, and quality assurance and provides hands-on technical assistance as needed. The team is dedicated to ensuring a quick response to urgent customer needs and special requests as they arise.  At this time the Production Application Support Team (aka the LIVE team) is undergoing a transformation into a service driven arm of the organization with the following aims:  Keeping the data on time: SQL and Scripting are our main tools to make sure the data is correct and the equity is managed the way our customers need. We use Oracle and in addition to SQL skills the ability to administer Oracle is preferred.  Keeping the system and all its components operational: Shareworks makes Equity Management easy for our clients. That means it's on us to keep it running and bring the creations of our developers to life. It's a complex system and working on it is both interesting and exciting. Software systems knowledge combined with strong debugging skills are required.  Monitoring and measurement: Knowing how the system is doing over time and how things are trending. We simply have to know what is going on in the system. We use a series of metrics to drive a dedicated process of ongoing improvement. We are not complacent and are always looking for ways to make our system better. Step one is measuring everything. Step two is understanding the story our data is telling us.  Automation and Tooling: We're not keen on repetitive tasks and seek to apply automation where it makes sense.  Skills that we require:  Linux Administration (ubuntu, centos and RHEL) Programming Skills: Java, JSP, Ruby, SQL Scripting (bash, perl, ruby)· Experience with composed systems (many individual systems combined to provide the end service to the user) Technical Debugging capability Soft Skills:  Communication: you'll be working with every arm of the business you must be fluent in technical and business and be able to switch between the two Discipline: you follow a prudent course of action regardless of the situation (during an outage or just writing a script) Trustworthiness: each member of the team is responsible for how they execute their work and how they work with others Commitment to Excellence: we all aim to achieve excellence in our skills and knowledge and actively combat complacency through the pursuit of continuous improvement Teamwork: the team is above any individual, we all rely on each other and our ability to solve problems  Qualifications:  BS degree preferred in Computer Science, Engineering or related fields (or the equivalent tenacity and wherewithal to have obtained a degree or technical diploma) Ability to interface with diverse technical and non-technical groups spanning the all organizations levels Experience running/maintaining large scale complex technology stacks Solid experience with time series data collection and analysis Outstanding verbal and written communication skills Understanding of WebOps principles and familiarity with WebOps tools",https://ca.indeed.com/viewjob?jk=d8e5198e46a3118f,"Calgary, AB",,Web Operations Analyst,1
2,    Charger Industries Ltd.,software developer,"Charger Industries is an ISO 9001 certified custom battery pack manufacturing company, specializing in high reliability battery packs for a wide variety of applications and industries. We have over 20 years of experience producing custom battery packs for some of the most extreme environments in the world. We bring innovation and experience to every phase of a battery project, including: engineering design (both mechanical and electrical), testing, integration, training, and technical support. All of our expertise is coupled with competitive pricing and a level of customer service that is unmatched in our industry.We have an exciting new opportunity for a Junior Software Developer, responsible for aiding in the development of our Windows Applications as well as the development, configuration and calibrating of our Embedded platform. This is an entry-level contract position with the potential to become full-time. (Contract duration is an estimated 9-month period). The successful candidate will be a recent graduate or someone who is looking to build on their experience.Required Skills: Proficient in C, C++, Python.Proficient in using Spreadsheets and Word processors for data collection and presentationExperience in using GIT and or other Source Control SystemsSelf-starter and fast-learner – willing and able to quickly learn new technologies and skillsOther Desired Skills: Embedded ProgrammingSerial CommunicationEmbedded Protocols (Can, I2C, SPI)Command Line InterfacesDatabasesWindows ProgrammingResponsibilities: Aiding in development of our Windows ApplicationsAiding in development of our Embedded platformConfiguring and calibrating our embedded platformAutomating tasks with C and PythonParticipate in Code ReviewsJob Types: Full-time, ContractSalary: $60,000.00 to $70,000.00 /year",https://ca.indeed.com/viewjob?jk=502fd8d5ecbe4559,"Calgary, AB",,"Junior Software Developer (Windows, Embedded) Contract",2
3,    Cultivated Code Inc,software developer,"Cultivated Code is a software service firm specializing in web, mobile and blockchain application development. We are looking for a motivated, self-directed individual to join our team. We develop products in complex domains using the latest technologies. Your role will be a mix of building new products from conception to deployment and expanding existing products.Design, implement, test, maintain, and improve our Ruby on Rails backend APIsConsistently develop and deliver high quality features on scheduleStrong independent work ethic and comfortable collaborating remotelyMinimum qualifications:Ruby on RailsStrong knowledge of data structures, algorithms and problem solvingSQL or NoSQL persistence technologiesKnowledge of web service technologies such as REST, JSON and message busesExcellent communication both verbal and writtenComfortable with GitBSc Computer Science or similar technical degreePreferred qualifications:Experience with React.js and ReduxJavaScript, HTML and CSSEthereum or Hyperledger experiencePrior experience with AWS, Docker and AnsibleMicroservice-architecture experienceExperience in bioinformaticsLocation:Remote working is available. We have staff in Kelowna and CalgaryMust be a Canadian residentJob Types: Full-time, ContractExperience:Web Development: 2 yearsEducation:Bachelor'sLanguage:English",https://ca.indeed.com/viewjob?jk=807dd606a2ee2697,"Calgary, AB",,Web Software Developer,3
4,    Dissolve,software developer,"Calgary-based Dissolve, a stock footage and photography company, is looking for a full stack software developer. Who do we want to hire? An actual ninja. Who do we have the budget for? A Ruby dev with the same dedication to getting the job done. The ideal candidate will have between 3-5 years of experience honing their skills in a web development environment. Plus, you’re deadly smart, with a B.Sc. in computer science, engineering, or the equivalent, to back that up.Duties and responsibilities: Design, build, and maintain efficient, reusable, and reliable Ruby codeIntegration of user-facing elements with server side logicIdentify bottlenecks and bugs, and devise solutions to these problemsHelp maintain code quality, organization and automatizationRequired skills: 3+ years developing a production Ruby applicationProficiency with automated testing using Rspec, Test::Unit, MiniTest, or another automated testing frameworkExperience with building and consuming APIsFamiliarity with cloud services such as Amazon Web Services and DigitalOcean,A profound love for writing beautiful, maintainable codeExperience with Ruby on Rails, Sidekiq, Redis and PostgreSQLGood understanding of server-side CSS preprocessors, such as SassTerrific understanding of front-end technologies: JavaScript, jQuery, HTML5, and CSS3Reasonable understanding of Git and GitHubSuperb ability at separating markup, logic and stylingAbility to integrate multiple data sources and databases into one systemUnderstanding of fundamental design principles behind a scalable applicationAble to create database schemas that represent and support business processesPlay well with others in architecting, writing and reviewing codeBonus points if you’re an expert at one or more of these: DevOps, particularly with ChefCapistranoElasticsearch, Solr, or LuceneApply with resume and cover letter.Job Types: Full-time, ContractEducation:Bachelor'sLocation:Calgary, AB",https://ca.indeed.com/viewjob?jk=f73b7db7f0ccf7e9,"Calgary, AB",,Full stack software developer,4
5,    Canadian Tire Corporation,software developer,"Interested in being a part of a team that is leading the evolution of retail in Canada?  Embracing and driving change is critical to our success. The complexity and rate at which the retail industry is transforming has increased exponentially in recent years and we are committed to being a leader in the industry. As such we are relentlessly focused on innovating at every level of our business, investing in new technologies and products, and doubling down on the best talent to drive the company forward. It is an especially exciting time to join the Canadian Tire Family of Companies.  Our Technology team plays a critical role in our evolution, specifically as we transition to an omni-retailer where digital complements the physical. Our commitment to being a world-class digital organization is evident in how we are using cutting-edge technologies to bring our digital strategy to life in-store, online and on your mobile devices, ultimately improving customer experiences, driving traffic, and boosting loyalty.  The Enterprise Data team is responsible to serve Canadian Tire’s data management and analytics services to meet business service levels. We work in a fast paced Agile environment, that provides opportunities to learn every day. This includes:  Day to day identification and triaging of issues that are identified from customers, enterprise support desk or business partners  24/7 support for the reporting environment  Monitoring of the applications and their infrastructure  Updating and implementation of tools and techniques to improve monitoring and system health  Develop, document and update procedures to improve support processes  Work with IT and Business Partners to ensure the reporting systems are performing as optimally as possible  What you’ll do: As a member of the Enterprise Data team the DevOps Support Analyst plays a BI DevOps role that provides production support, enhancements and maintenance of CTC reporting and analytical applications.  As the DevOps Support Analyst, you will be responsible for the following:  Initial triage and documentation of production issues as they are identified  Creating and managing tickets for each issue to resolution  Working with developers and other IT partners to find root cause of issues  Communicating with team management regarding issue status and progress  Documenting issue resolutions and ensure relevant teams are informed  Suggesting and documenting improvements to support processes and procedures  Working with development teams focus on the best practices and scalability  Who you are: We are looking for high performing individuals who are: Agile and innovative individuals, who are able to manage in an environment of change and ambiguity to help us take bold and strategic moves in this rapidly evolving retail environment  Creative thinkers who take initiative and are capable of building, launching and managing projects/programs that drive results for our customers  Problem solvers with the ability to analyze and prioritize to meet business objectives  Collaborative team players with superior influencing skills, who build relationships easily across various stakeholder groups to move initiatives forward  If you’re curious, ready to take on new challenges and open to doing things differently to help us evolve rapidly, then Canadian Tire is definitely the place to be.  What you’ve done: Post-secondary education in Computer Science, Software Engineering, or related discipline (or equivalent experience)  Experience with BI tools like MicroStrategy, Cognos and Crystal Reports etc  Knowledge on Hadoop and related programs and it's key architecture technologies: Nifi, Kafka, Hive, Sqoop, Pig, Flume, MapReduce and NoSQL  Expert knowledge and experience with Data Warehousing, ETL or Hadoop  Provide application support for Production systems  SQL programing skills (Intermediate or higher)  Data Analysis and Modeling  Excellent verbal and communication skills  Proficiency in written English and good documentation skills  Willingness to provide off-hours support on a rotation basis  Why us: Canadian Tire is one of Canada’s most iconic and diversified companies. Our culture and values uphold our pledge to sustainable practices, and commitment to our local communities through Jumpstart cannot be beat.  To learn more about this team and the Canadian Tire Family of Companies follow us on LinkedIn.  AODA/D&I; statement  Canadian Tire is an equal opportunity employer. We are committed to a diverse and inclusive workplace for all. We recognize that our future success depends on the perspectives and contributions of all our employees -- their diverse backgrounds, abilities and experiences make our business stronger. If you are contacted for a job opportunity, please advise us of any accommodations needed to ensure fair and equitable access throughout the recruitment and selection process. All accommodation information provided will be treated as confidential and used only for the purpose of providing an accessible candidate experience.  FGL Corporate  Alberta-Calgary  Permanent  Full-time  Job Posting  :  May 17, 2018, 10:41:43 AM",https://ca.indeed.com/viewjob?jk=10c9926dd3047c15,"Calgary, AB",,DevOps Support Analyst,5
6,    Canadian Tire Corporation,software developer,"The successful candidate will be accountable for working with the Data Technology & Integration project teams to help provide quality products for our business.  They will also work with Project Managers, QA Analysts, Business Analysts, Developers, Architects, Vendors, and Business Stakeholders. The successful candidate in this role will ensure a high caliber of testing through execution of the testing plans and strategies.  Finally, they will support the QA leaders in reporting the status of testing across all stakeholders within the CTC, FGL & Marks organizations. If this sounds like the role for you, you must have a passion for Quality Assurance & Software Testing, be excited by learning and exploration of applications, and be willing to have fun with an enthusiastic QA Team.  Responsibilities  Define the testing strategy and approach for all integration and BigData projects in a complex & multisystem environments (including Hadoop platform)  Manage & perform the testing activities for data integrations in alignment with the testing strategy and expectations for the quality of the project  Create liaisons between different teams and contribute to the smooth communication between teams  Design, implement and execute tests for ETL and Data Integration scenarios  Perform Functional, Integration, Regression and End to End testing on all Data Technology projects  Identify and assist in the resolution of testing issues, defects and Issues & risks in Jira Agile board  Help coordinate project deliverables and resolve issues, identify dependencies and roadblocks  Provide non-production and production environment support assistance when required  Represent QA in different status meetings which may include project team members, business members, external vendors, leadership teams and stakeholders as required  Provide coaching, mentoring and training to other team members on Data Technology QA framework  Keep up to date of the latest emerging trends in the testing industry through personal research and by being an active member within the industry  In collaboration with the QA Manager, help define ongoing quality improvement practices for CTC/FGL  Required Skills and Experience  Minimum 5 years of experience in a software development environment including 3+ years in integration/ ETL testing (in Big Data platform)  Demonstrated knowledge of integration testing methodologies and practices  Experience testing in a Unix/Linux environment  Experience working with integration tools like Tibco, Data stage, MQ, Change  Experience working on Agile based team collaborative tools like JIRA, Bitbucket and Jenkins  Experience developing tests in functional programming languages such as Python  Experience testing of ETL and message queue workflows and workloads, including such tools as Apache Kafka, Nifi  Experience testing distributed systems, including testing on the Hadoop platform and user-level Hadoop configuration and light administration skills  Strong Hive – SQL knowledge including writing and executing queries to analyze data integrity  Experience working in a highly integrated, multi-project environment  Experience working with XML, jSON and EDI data formats  Experience working with databases, including SQL Server, Oracle, Netezza and MariaDB  Experience in planning, developing and executing Test Plans and Test Procedures and coordinating the collection of test results  Detailed oriented personality complimented with strong analytical and problem solving skills  Ability to communicate clearly in written and verbal communications  Ability to work independently and as part of a team  Excellent organizational and planning skills  Ability to work well under pressure in a fast-paced team environment,working on multiple deliverables at the same time  Knowledge of Retail, POS, Warehousing/Inventory, Supply Chain, or Finance industries an asset  About You  Builds Trust and Credibility by consistently adhering to the organization’s business principles and values. Is seen as direct, truthful, and trustworthy by co-workers, vendors, and customers  Committed to results by taking personal responsibility for achieving mutually agreed upon individual/team objectives  Demonstrates a desire to help and serve internal/external customers to meet their needs. Is proactive, responsive, and focused on discovering, anticipating, and exceeding the customer’s needs  Works collaboratively and cooperatively with others to achieve shared goals and objectives.  Considers the wider team, function, banner or the organization and takes action or makes decisions which support the success of those groups  Recovers quickly after change, disruptions, or mistakes and can remain productive and focused.  Is adaptable and can apply lessons learned in one situation to another situation  Academic / Educational requirements  BS in Computer Science, Engineering, Information Systems, or a Minimum of 5 years’ experience in the IT industry, specifically, as part of a team responsible for delivering software quality assurance and testing to IT projects  Information Technology  Alberta-Calgary  Permanent  Full-time  Job Posting  :  May 15, 2018, 3:09:18 PM",https://ca.indeed.com/viewjob?jk=e156a754f7d24fc1,"Calgary, AB",,QA Analyst,6
7,    ClinicSense,software developer,"About usClinicSense is a small, profitable company that is growing quickly, and we’re looking to add another developer to our team. Officially, we’re based in Toronto, but each of us work remotely.Our clinic management software helps reduce paperwork for small wellness clinics. This includes online scheduling, treatment notes, intake forms, invoicing, and integrated marketing tools. We are known for taking an approach to clinic management that includes a high degree of automation (which ultimately saves our customers plenty of time from administrative tasks so they have more time to spend with their clients).About the positionThis is a full-time position as a Full Stack Developer. You will work remotely from anywhere you like. Requirements:Eligible to work in Canada1+ years of React/Redux experience2+ years of CSS experience3+ years of Python/Django experienceDay-to-dayAs a small team, we each play a role in the creative process and decision making. You will typically kick off a project with a product designer who will guide you through the design and ask for your feedback. You will also have the opportunity to bring new ideas to the table (whether that’s new features or ideas on internal processes). One of the benefits of our small team is you get to work on a variety of tasks - building new features, improving existing features, working on mobile, 3rd party integrations, etc.Our philosophy on work & productivityOur goal for ourselves and for you is to not be over-worked or stressed. We find that a flexible schedule and ample vacation/holiday time allows us and maintain a positive work-life balance and take care of personal tasks without feeling pressure to be on the clock.We evaluate our performance based on output, not input - meaning that we care more about quality work and being productive (rather than how many hours we worked this week). Ultimately, this gives us the freedom to choose the hours we work and work when we feel the most productive (on average our work weeks are 35-40 hours) . We schedule some overlap hours and use JIRA and Slack to stay connected.CompensationSalary: $60,000 - $70,000Vacation: Stat Holidays + 4 weeks vacationApplyingPlease include a cover letter. We'd like to hear specifically about past projects you've worked on using Python/Django and React. If you are working on any personal projects or are making contributions to open source, we'd love to hear about that too. Thanks!Job Type: Full-timeSalary: $60,000.00 to $70,000.00 /year",https://ca.indeed.com/viewjob?jk=0d4018a3a63878b6,"Calgary, AB",,Full Stack Developer (Remote),7
8,    Symend Inc,software developer,"Agile DeveloperAbout SymendOur mission is to reduce the incidence of debt delinquency while creating a positive experience for everyone involved in the debt collections process.""SYM"" refers to the symmetrical, fair, and transparent approach we take to bridging the gap between creditors and debtors. ""MEND"" is the result of repairing and restoring the relationship while mending outstanding delinquent debt.Symend is lead by a passionate FinTech Team and built on the values of respect, knowledge, fairness, and innovation. We believe we can make a profound positive impact on the delinquent debt industry by changing the tools, technology, and tactics used to promote and incentivize debtors to repay outstanding debts.The Role: Are you up for the challenge?At Symend, we’re expanding and looking for a Agile Developer to join our talented and results oriented team. What do we mean by results oriented? You'll work closely with clients to understand not only what they want but what they need and help them solve some big and interesting problems.Who you areYou are someone who likes solving interesting problems with a team. You love to get at the root of a problem and work with others to create great outcomes and have a strong desire to learn. In fact, you’re the first to rattle off which Rails video or Blog would help your co-worker.You can speak to language best practices, understand that starting is as important as finishing, know the difference between simple and easy, have a strong understanding of classes and mix-ins, and know the advantages and trade-offs between closure/blocks and delegates. You’re also diligent about meeting allocated budgets and can work within time constraints, but you will never sacrifice quality.On top of this, you are comfortable working in cross-functional teams and can share insights and expectations with stakeholders, clients, team members and various levels of management.Key Responsibilities- Design, program and test software- Maintain relevant documentation for developers, clients and users- Develop and refine prototypes to confirm requirements- Program according to project plans (versions, sprints)- Release activities, such as support, versioning and maintenance- Collaborate with our designers to create interfaces- Peer review other team members’ code, and learn and adapt from peer review of your own codeBasic Qualifications- 3+ of delivering software with preference given to those who have a degree in Computer Science, Computer Engineering or equivalent- Working knowledge with C#, .NET, Azure, SQLServer- Working knowledge with NoSQL and serverless architectures a plus- Experience with DevOps would be an asset- Experience breaking down user problems into stories and solutioning- Experience working on iterative projects with continuous delivery pipelines- Experience with test driven developmentPreferred Qualifications- Ability to communicate effectively with both technical and non-technical audiences- Exceptional interpersonal and relationship management skills- Demonstrated effectiveness working across multiple business units to achieve results- Hands on development experience or full understanding of mobile and service development pipeline and process- Track record for being detail-oriented with a demonstrated ability to self-motivate and follow-through on projects- Strong problem-solving skills; the ability to analyze problems and develop actionable and appropriate tactical plans quickly- Ability to succeed in a fast-paced, innovative, and rapidly evolving industry and business organizationTo apply for this position, please e-mail your resume and cover letter to: with the Subject Line: “Agile Developer”. Apply early as position may be filled prior to deadline.No phone calls please, only those candidates selected to move forward will be contacted.Job Type: Full-time",https://ca.indeed.com/viewjob?jk=8b5f5b7531dd8dc3,"Calgary, AB",,Agile Developer,8
9,    HUSKY ENERGY INC,software developer,"Co-op Student, Information Services - Web Developer-15661 Description Job Title: Co-op Student, Information Services - Web Developer  Location: Calgary, AB  Start Date: September 4, 2018  Length of Term: 4, 8, or 12 months  Business Unit: Information Services  Application Deadline: May 30, 2018 or once the position has been filled   Opportunity Details:  Reporting to the InformationServices (IS) Planning & Controls Team Lead, the IS Web Developer Co-opStudent is responsible for the coding, innovative design and support of Husky intranetsites and web tools. The IS Communications Co-op Student will work with the ISCommunications team to ensure that intranet sites are kept up to date andfurther enhanced to meet stakeholder communication needs in accordance withcorporate branding and graphic guidelines.  Key Responsibilities include: Write well-designed, efficient codefor web applications and tools using software development best practices.Create website layouts and userinterfaces using a variety of front-end tools and languages including HTML, CSSand JavaScript.Design and create relationaldatabase schemas using MySQL, requesting data from various back-end servicesusing Ajax and C# service calls.Maintain development and productionserver environments.Create/maintain documentation andprovide research/analytics as required.Develop specific web-basedcommunications collateral to support communication campaigns.Prepare routine (and ad hoc)communications to build awareness of initiatives across the Company and the ISorganization.   Qualifications Qualifications: Must be currentlyenrolled in a post-secondary Co-op or Internship programStrongAcademic background in Web Development, Multimedia Development, or ComputerScience Preferencegiven to studies in their 3rd or 4th years Must be proficient with multiplefront-end languages including HTML5 / CSS3 / JavaScript / jQuery Must be proficient with back-endlanguages including ASP.NET (C#) and PHPMust have experience with AdobeCreative Suite: Dreamweaver, Photoshop, IllustratorPrevious experience with SharePointOnline development would be considered an asset Previous experience with MySQL orMSSQL databases would be considered an assetPrevious experience in webdevelopment or multimedia development such as Flash or video would beconsidered an assetAbility to work and thrive in afast-paced team environment, learn rapidly and master new web technologies  Benefits of a Husky StudentPosition: Opportunities to:take part in impactful businessprojectsnetwork with experiencedprofessionalsengage in a strong student networkgain valuable exposure in the Oiland Gas industryRelevant experience in your field ofstudyRelocation assistanceCompetitive wages  Submission:  Please submit a resume andtranscript with application. Applicationswithout recent transcripts will not be considered.  Please note: A portfolio of recent designwork will be required at the interview stage. Relocation:  Studentsmoving for their work term may be eligible to receive a lump sum payment toassist with relocation expenses.  Additional Information:  New graduates are not eligible forstudent opportunities.  Please note that only those selectedfor an interview will be contacted.  At Husky, we respect diversityand embrace an inclusive culture. We value uniqueness and differentperspectives as they play a critical role in our success. To achieve this,individuals are selected based on qualifications, merit, and abilities and weencourage applications from everyone including visible minorities, Aboriginalpeople, women, and persons with disabilities.  About Husky: One of Husky’s advantages is that weare an integrated oil and gas company. From exploration to development,production, refining and marketing, we’ve got it all! Combine this with a rangeof learning and development tools and an inclusive work environment, and youare well-positioned for a successful career at Husky.  We have training, mentoring andcareer development programs and resources to help you develop both personallyand professionally – as an employee or a leader. We offer many internalleadership and business skills courses along with tuition reimbursementprograms for qualified employees. Every year, a significant number of ouremployees are able to take on new roles within the company thanks to our strongfocus on hands-on learning and development.  #LI-DNP  Job Student Primary Location CA-AB-Calgary",https://ca.indeed.com/viewjob?jk=f7d7eac05e4419ad,"Calgary, AB",,"Co-op Student, Information Services - Web Developer",9
