,Unnamed: 0,Job Type,Title,Location,Company,Job_Url,Job_Description
601,601,business development manager,Investment Sales Representative,"Calgary, AB",    R2 Investments,https://ca.indeed.com/viewjob?jk=5867ec0c499d9e8e,"Overview of CompanyR2 is a fast-growing private equity firm that deals with high net worth investors both locally and globally. Using the power of technology, we connect both retail and institutional investors to high yield commercial real estate deals. Our principals have decades of experience working with BMO, RBC, CIBC and Jones Lang LaSalle’s corporate finance areas and we now utilize our relationships to offer these well underwritten commercial real estate opportunities to our client base. R2 has grown to a family of 20 employees now and we are adding highly driven and motivated individuals to our firm. We offer a diverse and fun environment to work with lots of autonomy to do entrepreneurial things within the company. Our leadership is very open minded towards new ideas. So, come join us and grow with us!Overview of PositionThe Manager – Investment Sales is a licensed Dealing Representative role. It is a business development and client management role with a primary purpose to proactively grow and retain business from a select group of investors.The Manager – Investment Sales is primarily responsible for client service by managing existing relationships, building new relationships through strategic initiatives, and ensuring the investment process is handled with care and professionalism. The Dealing Representative is expected to be knowledgeable about R2 product offerings, the investor subscription process, the EMD (“Exempt Market Dealer”) compliance regulations and requirements, and must have the ability to effectively assess investor suitability. The Associate, Private Capital Markets must exhibit a willingness to learn.ResponsibilitiesPrimary duty is to sell private real estate securities with an expected origination volume of $3,000,000 in investment sales per year.Build and maintain strong relationships with prospective and current investors with a focus on client serviceDevelop and implement strategies to increase the investor network, and scope of service for existing and potential investorsHave overview discussions with new and prospective investors to explain investment process, structuring, returns, risk and other relevant factorsMaintain a deep understanding and technical knowledge of offerings in order to provide the best solutions for InvestorsClearly communicate R2 offerings and assist investors in understanding all subscription documentation, funding requirements, and post-close activities.Maintain up to date investor files and information on the appropriate systems and CRM softwareQualificationsMinimum 4-6 years financial services or real estate investment sales experience, in a client facing capacity.Must have an established book of clients.Proficient in Microsoft Office SuiteAttributesEffective verbal and written communications skills: ability to explain development offering details, and handle client concerns in a professional and appropriate mannerResults oriented with ability to complete objectivesTrack record of meeting and exceeding personal targetsHighly organized and hard workingJob Type: Full-time, COMMISSION BASED POSITION.Job Type: CommissionExperience:Finance: 3 yearsEducation:Bachelor'sLicence:Exempt Market ProductCanadian Securities CourseLanguage:English (Fluently)"
602,602,business development manager,Business Development Manager,"Calgary, AB",    IAPAM (Intl Assoc of Physicians is Aesthetic Medicine),https://ca.indeed.com/viewjob?jk=5b9394d98e7c3b51,"Job Brief: We are looking for a high-performing Sales and Business Development Representative. If you match the description below, we want to meet you!Who We Are…Since 2006, the International Association for Physicians in Aesthetic Medicine (IAPAM) has been fulfilling our purpose of “helping practices succeed.” We’ve accomplished this by providing hands-on aesthetic medicine and medically supervised weight loss training programs to over 5,000 physicians from around the world.What We Are Looking For…The purpose of this role is to help our members grow their businesses. We are looking for someone who is intuitive, empathetic, compassionate, and loves to provide value to others. You must also be a self-starter who loves learning, educating and helping others achieve their goals and dreams.As the Business Development Manager, you will be: Our members “coach,” helping them grow their practices with the right mix of products and services. Our core services are: weight loss patient information packages physicians give to their patients, monthly marketing program, monthly business coaching program, advanced live-training programs.You are up to date on the latest trends, technologies and best practices on how to grow a business.Energized by helping others and being part of a team.What Success Looks Like In this Role: To be successful in this role, you will need a combination of excellent communication skills, marketing automation experience, a positive attitude and exceptional follow-up skills. You will prepare and beat your sales goals and KPI’s.PerksVirtual/remote environment:  You have the freedom to work from wherever you want. The only requirements we have are that you have access to internet, a cell phone, and a laptop.Competitive Compensation:  Also includes: technology and health/lifestyle allowance.Here’s What You Will Be DoingResponsible for following up and helping our members improve the profitability of their practice, by educating them on the products and services we provide.Coaching members and prospective members through calls, video conferencing, e-newsletters, email campaigns, webinars and social media pages.Assist with the creation, development, and management of email marketing automation (Infusionsoft) lead funnels.Participating at our live events, including public speaking.Finding new sponsors for our live event programs.Is this you?+3 years of experience in consultative sales and/or customer-relationship role.Bachelor’s degree preferred.You get things done, you will not hesitate to make a call, answer the phone, and respond to an email or online chat request.You have a natural ability to communicate in a conversational manner and have the knack of matching your customers’ needs to your products and services.Technical aptitude for quickly learning and using the latest software (Asana, Slack, Zoom.us, webinars, skype, email newsletters, LinkedIn, Facebook, etc.).You love making a positive difference in people’s lives; you live to help others succeed.Our Purpose: “We Help Practices Succeed”Our Culture: If you are looking for a j-o-b or a paycheck, this role isn’t for you; we are looking for someone who is passionate about helping others and gets satisfaction from seeing others succeed. We are a fast-growing, high-energy team of self-starters and doers, with a high level of passion and pride in our purpose. We are on an accelerated growth curve, and you need to be able to embrace change and striving to do better.Want to see our vision of the future? Check out the IAPAM’s Vivid Vision (https://iapam.com/iapams-vivid-vision-2021)Our Values: Integrity – in all that you doAccountability – in all that you sayService – for othersGrowth – for both you and our membersJob Type: Full-timeExperience:Sales: 3 yearsEducation:Bachelor's"
603,603,business development manager,Samsung Regional B2B Sales Account Manager-Wireless,"Calgary, AB",    Premium Retail Services,https://ca.indeed.com/viewjob?jk=cd1b17404fa2cc70,"OVERVIEW: This position will have a thorough understanding of the territory, customer base and opportunities and will manage relationships and drive sales. This includes developing and planning account and product strategies, introducing new products, making sales presentations.The Regional Account rep will be responsible for driving and generating distinct revenue within assigned accounts in channels. (B2C and B2B). To meet this objective, the Regional Account manager will be required to develop and maintain Customer relationships. Regular meetings with Customers will serve to establish the Regional manager as a trusted advisor who can effectively communicate Samsung’s vision. A particular emphasis will be placed on knowledge of and the effective communication of the Mobile Communications industry trends in relation to Samsung’s product portfolio. Success in this role will be measured on attainment of revenue and overall creation of sales demand.POSITION DESCRIPTION: Proactively planning SKU listings, targets, budgets, advertising, promotions, etc. to maximize sales and ROI.Reviewing plans monthly and revising plan on a forward rolling rotationProviding pre-sale support with respect to solutions that enable wireless access to corporate intranets, messaging systems and custom back office applications.Have overall responsibility and accountability for all the business sales segments with this Carrier Channel and ability to work with SECA’s Technical Sales Manager and Convergence team when needed to maximize Samsung sales.Manage the assigned territory in a profitable fashion, through the collection and communication of ideas and Information relating to competition and promotions.Work closely with the regional account Carrier and Channel partner corporate sales manager to develop sales opportunities.Identify strategies as they relate to the customer’s software development, application functionality, and systems architectureBuild strong customer awareness of all Samsung products and services.Attain all objectives assigned to account opportunities to meet or exceed sales targets.Provide technical support and training to the sales teams as required to identify and qualify new accounts.Deliver webinars and/or lunch-and-learn sessions to direct sales channels on new technologies and products.Perform product presentations, both new product introductions and present product offerings to Customers and prospects as prescribed by the Company sales guidelines.Acquire and report marketing information available in the assigned territory Responsible for creating and delivering compelling sales presentations by leveraging exemplary written and verbal communication skills.Manage the funnel development for the specific carrier with focus on the carrier B2B commercial and enterprise reps.Develop partnership between the company and accounts through the coordination of sales, contracts, technical support.teams, and internal sales on specific accounts to increase Samsung advocates including SLT and regional management terms.Perform long range planning to increase account penetration, customer satisfaction and sales growth for long term results and achievement of assigned quota.Roll-up all activity and provide assessment of quarterly projections of revenue and units on a weekly basis.Accountable for assigned geographic territory, sellers and strategic partners.Work independently and/or travel 75% of the time.Controlling territory sales expenses in accordance with Company guidelines.Work closely with Samsung marketing to maximize sales within each National Account.Maintain records and files necessary for the proper management of the sales territory.MINIMUM QUALIFICATIONS & EXPERIENCE: Bi-Lingual (French & English).Bachelor’s Degree preferred.3-5 years in Sales preferred.Experience within the Mobile Industry an assetProven selling ability.Must possess a strong knowledge of industry products.Strong interpersonal skills, able to interact comfortably with a wide range of levels in organizations: from senior executives to support staff within and outside of the company.Strong presentation skills.Excellent organizational and planning skills.Strong verbal and written communication skills.Must be highly self-motivated and capable of self-directed work given only broad objectives and limited direct supervision.Must be capable of planning, organizing and prioritizing multiple and simultaneous projects and assignments.BENEFITS: Premium offers a competitive salary along with a full benefits package including health, dental, vision, life insurance, long-term disability, and paid time off. All supplementary benefits and employment practices are in compliance with all Canadian employment laws.Job Type: Full-timeExperience:Management: 5 yearsWireless: 5 yearsB2B: 5 yearsSales: 5 yearsBusiness Development: 5 yearsEducation:Bachelor'sLocation:Calgary, ABLanguage:French"
604,604,business development manager,Rope Access Training Manager,"Calgary, AB",    RAC Group Inc.,https://ca.indeed.com/viewjob?jk=57733aeb10c4be27,"RAC Group Inc. (www.rac-int.com, RAC Group business address 3011 23 St. NE, Calgary, AB, T4E 7A4) is expanding and looking for dynamic members to join our team. We are looking for hard working individuals that are team players and driven by success. This is an exciting opportunity to be a part of a very quickly growing company in rope access. We recently moved our office up to Fort McMurray to be a part of the exciting oil industry. With companies now being drawn to innovation, we have acquired contracts with Suncor, Syncrude, and CNRL. This creates a high job demand, and gives us the ability to offer long-term, stable employment in the industry.We are currently looking for a Rope Access Training Manager, offering the following: Job start date: As soon as possibleWage: $85,000 per annum, plus bonus at the discretion of managementExperience: Minimum of 5 years training experience is mandatoryHours: 40+ hours per week. Overtime work may be required with no additional compensation.Terms of employment: Permanent, Full-timeBenefits: benefit package after the probationary period 3 months fully paid by RAC. The benefit package includes Disability insurance, Dental Insurance and Extended medical insurance. Vacation is 6% of gross salary. After 6 months, you may be eligible to join our Group Registered Retirement Savings Plan. You will be able to contribute up to 2% (3% after 18 months and 4% after 66 months) of your gross pay and RAC Group will match your contribution.Work location: Calgary, AB, CANADA. Travel and accommodations are not provided. Must be local to Calgary or willing to relocate.As a Rope Access raining Manager, you liaison between the field employees and RAC Group office and senior management. Your duties will include, but are not limited to: Resolve any specific training program problems/gaps and tailor/modify training programs as necessaryWork with management to obtain knowledge of products, processes and regulatory complianceOn-going monitoring of industry requirements and company policiesAssist in the design, development and delivery of training programs for all R.A.C. operationsMonitor and evaluate training program’s effective and report to supervisorImplement new training programs, while ensuring that it is properly communicated andunderstood by all R.A.C. employees and contractors as it relates to their positions within the organizationTrain field staff to R.A.C. safety standards and ensure complianceUnderstand and report on IRATA & SPRAT complianceSupervision of all trainers and assistant trainees.The Training Manager position is a mix between an on-site position and an in office position. The amount of time required on site will vary from week to week and greatly depends on both the client and employee needs on a given week.You are required to know, understand and follow all RAC policies and procedures and ensure that field staff are also adhering to said policies and procedures. In addition, you are expected to be the face of RAC, representing professionalism, integrity and safety. You are a main point of contact for both clients and field staff and are therefore expected to represent the company in a positive image and bring problems to senior management with solutions and suggestions for improvement where needed.Requirements for the position: IRATA L3 CertificationSPRAT CertificationManagement experience is an assetMinimum 5 years experience in the rope access training industryThis is a long term contract and we are looking for individuals who bring not only experience, but who also want to be a part of our team and to share our success with us. If you’re a hard working individual, looking for solid, long term employment, please send us your resume and cover letter to info @ rac-groups.com. Please highlight in your cover letter if you are local to Calgary, or if you are willing to relocate.We look forward to hearing from you!Job Type: Full-timeSalary: $85,000.00 /yearExperience:Rope Access Training: 5 yearsLocation:Calgary, ABLicence:SPRAT L3IRATA L3"
605,605,business development manager,"Manager, People Analytics","Calgary, AB",    WestJet,https://ca.indeed.com/viewjob?jk=eb49c1e1810d3d66,"Posting Open Date: 05/11/2018 Posting Close Date: 05/27/2018 (Please note the posting will close at 11:59pm)  WestJet (TSX: WJA) is an iconic Canadian brand. The country’s 2nd largest airline is continually recognized as one of the top employers in the country and one of Canada’s most admired corporate cultures. Founded in Calgary, Canada in 1996 as a regional, low-cost carrier with three aircraft and 220 employees, WestJet has experienced momentous growth. Today, WestJet is a thriving international airline operated by 12,000 employees, collectively known as WestJetters. Through scheduled flights across an expanding network, WestJet also operates WestJet Vacations, providing air, hotel, car and excursion packages, and WestJet Encore, a regional airline operating in Canada and the United States. WestJet continues to grow into new territory, and open access to new markets (i.e. Asia) with the recent orders of Boeing 787-9 Dreamliner aircraft. Further corporate information is available here: https://www.westjet.com/en-ca/about-us/index  What will you do? As the Manager, People Analytics, you will be a trusted advisor and business partner for People & Culture insights, ensuring that WestJet continues to be a remarkable place to work. In this newly created role, you will lead the design, development, and implementation of our People & Culture analytics function. You will work collaboratively with our People & Culture team, IT, Finance, Research and Insights, Corporate Development, and other teams across our business to provide relevant People & Culture insights to inform and enable our five-year strategy. Think you’re a fit? You have fun using data to drive new insights and have an exceptional ability to tell a compelling story with data, whether you are building dashboards, doing competitor research, or digging into an analytical project. You enjoy complex problems, have demonstrated analytical and business acumen, and are intellectually curious. You know how to deliver superior results, while not taking yourself too seriously. Our team likes to laugh, so a sense of humour is recommended!  Collaborative partner across our business Become a trusted source for People & Culture insights, by proactively working with the People & Culture team, other centres of excellence, and our business leaders to provide reporting and analytical support  Reporting, research, and analytics Build and deploy effective, easy-to-understand reporting solutions (e.g., dashboards), in collaboration with our People & Culture, HRIS, IT, Finance, and Business Intelligence teams Manipulate and analyze People & Culture data to create actionable insights Support departmental and enterprise-wide projects where People reporting and analytics are critical (e.g. business review, operational effectiveness) Prepare Board-level reports on key People & Culture metrics and current/historical trends, to provide insight and support decision-making to address organizational health, opportunities, and challenges Act as a strategic partner to our Financial Planning & Analysis, Project Management Office, and Corporate Development teams to inform budgeting, project management, and investment planning Complete various benchmarking surveys and government filings (e.g., Annual Federal Employment Equity Report, employer awards, etc.)  Strategic workforce planning Translate our corporate strategy and financial plans into talent requirements, both for today and the future Prepare medium and long-term workforce plans, including supply/demand analysis, scenario planning, trend analysis, competitor research, risk assessments and mitigation strategies Support our People Relations team as our subject matter expert in organizational design, through preparing needs assessment, spans and layers analyses, benchmarking research, and transition plans Prepare Executive-level communications to inform leaders of the current and potential future impact of the external and internal workforce environment Make recommendations to improve organizational efficiency and effectiveness Regularly monitor and measure impact of strategic workforce planning on business outcomes  Data quality and process improvement Continuously improve our reports and process, driving towards real-time, user-friendly, efficiency and business impact Implement ways to automate data and analytics solutions, developing easy-to-access/understand/use dashboards and reports Identify, communicate and fix data integrity and system issues as necessary  Experiences and qualifications Degree in business, economics, statistics, computer science, finance or related field required. 5+ years of relevant experience in consulting, strategy, data analysis and reporting, and/or business intelligence required Understanding of HR systems (e.g., SuccessFactors, JD Edwards) and experience in workforce planning is an asset Prior experience leading, coaching, and mentoring direct reports  Skills and accomplishments Compelling storyteller, with the ability to present data and analytics in a manner that provokes thought and new insights Demonstrated business acumen and problem solving ability Experience working with large data sets, multiple data sources, and various quantitative and qualitative analytical strategies Strong analytics background working with multiple data sources to generate insights from analyses and ideally, with knowledge in statistical methods (i.e. regression analysis, forecasting & modeling, etc.) Strong action orientation, ability to make quick, quality decisions and deliver superior results Agile work style, open to iteration and flexible to change approach/direction Able to manage multiple projects simultaneously, resolve conflicting priorities and deliver on tight timelines Independent and self-motivated; comfortable with change, feedback, and ambiguity Hands-on experience developing dashboards and user friendly reports with business intelligence tools (e.g., Power BI, Cognos, Tableau)  Program knowledge Expertise in Excel and PowerPoint; experience using SAP SuccessFactors, JD Edwards, or other HRIS applications Experience with MS Power BI, Tableau, Cognos and/or other data analytics/visualization tools considered an asset Experience troubleshooting and problem solving technical aspects of these systems (e.g. setting up tables, developing and running queries/reports, assessing integrations, etc.)   We would like to thank all applicants in advance for their interest in WestJet. We believe in enriching the lives of everyone in WestJet's world and encourage applications from all qualified individuals. Our ongoing efforts toward evolving total diversity will continue to be the way we do business every day. As owners, we believe in celebrating everyone’s unique skills, perspectives and experiences. WestJet is committed to inclusiveness, equity and accessibility. We encourage all qualified candidates to apply. At WestJet, the safety and security of our people and our guests is a core value and at the heart of what we do. As safety and security is a shared responsibility, it is expected that you will utilize safe work practices to ensure your well-being and the safety of others."
606,606,business development manager,Western Canada Sales Director,"Calgary, AB",    Up Cannabis,https://ca.indeed.com/viewjob?jk=910d39478a37e954,"Executive Summary:Responsible for maximizing volume and share and to enhance the company’s position for future growth through the direction and motivation of the sales teams. The Director of Sales will be responsible for achievement of profits, sales volume and market share against budget. Critical to the success of the role is the management and development of relationships with the provincial governments responsible for Cannabis distribution as well as retailers across all Western provinces (Manitoba through to BC) to ensure corporate objectives are achieved.The Director will report directly to the VP Sales.Basic Functions:Develop long term relationships with Cannabis board personnel and store personnel.Improve sales performance techniques and effectiveness through training, direction and standardization of selling methodology.Recruit, train and develop sales force as required.Direct and motivate staff through meetings, work-with time in the field and through written communications to ensure focus on corporate priorities.Set performance standards and benchmarks and measure effectiveness of field selling activities.Develop and implement tools for managing the sales reporting process.Develop, administer and monitor KPI’s and incentive programs for field sales staff.Analyze business opportunities or issues in the field and take corrective action.Participate and contribute to HO and sales meetings pertaining to general, strategic issues or brand issues.Plan and participate in Cannabis board and key account meetings as required.Plan and coordinate market visits from key company personnel.Recommend, plan and manage trade show participation in the province.Work with territory and key account managers to establish sales, share and profit targets for each region.Liaise with the demand planner to assist with inventory management and create useful and meaningful reporting for the sales teams.Build a useful understanding of each market’s nuances and the competitive set within them, reporting back to the commercial and marketing team.Responsible to VP Sales for activities and results in the region through efforts of the sales team.Works closely with Sales – Demand Planning – Marketing – Customers - Consumers.Job Functions:Implement and direct all sales activities in the region and report all resultsRecruit staffDetail personnel training, coaching, disciplinary and merit recommendationsField calls with the sales team, visiting retailers and cannabis board retail outletsMonitor and track performance to objectivesPrepare and submit a monthly report to management summarizing results against objectivesGather, analyze and validate dataReview competitive activity and salesReport on cannabis board information as applicableUpdate on staffing as requiredAnalyze sales activities, market conditions and competitive pricingReview available competitive data and utilize to company advantageAttend trade shows, industry events etcMake decisions and formulate sales strategies to improve company positionCreate territory sales plans to achieve regional objectivesSet territories by analyzing geographical locations of approved retailers and align to best-suited key account managersSet priorities and objectives by territoryReview performance with the team and ensure targets are achievable and measurableBudget and manage overhead and promotional expenses for the regionWork with marketing team to ensure best practices are utilized and all engagement activities are within company guidelinesReview regional P&L; and advise on variancesKey Results:A Western Canada Director that can motivate and direct a sales team to achieve our corporate objectives while working effectively with cannabis boards and provincial retailers.Improved relationships among sales, demand planning and supply chain, marketing and finance, which will lead to effective knowledge sharing and an optimal consensus on how best to direct our sales resources.Refined systems and methods to continually improve our position in each market.Execute with excellence. Lead the team to success through implementation of effective sales strategies and informed and accurate tracking with an eye on the competitive set and the market as a whole.Required Education / Experience / Specific Job-related SkillsYears of Experience:A minimum of 5 years of leadership experience in the industry with preference given to those from heavily regulated industries like beverage alcohol, tobacco and pharma.Education/Training:University – Commerce, Business or MarketingLicenses/Certificates:Drivers license required.Other:Demonstrated proficiency in building and managing relationships through multiple communication mediums. A strong background in sales and presentation creation and execution is fundamental.Experienced with other software packages including Windows, and Microsoft Office. This position requires strong analytical, organizational, decision making, and presentation skills. Strong interpersonal skills are also essential to effectively interact with all teams, areas and levels of business affecting the forecast process.Job Type: Full-timeExperience:Sales: 10 yearsleadership: 10 yearsEducation:Bachelor'sLocation:Calgary, AB"
607,607,business development manager,"Business Development Manager, Alberta","Calgary, AB",    Futurpreneur Canada,https://ca.indeed.com/viewjob?jk=1b6fcbe70b072717,"Business Development Manager, Alberta (12-month contract)  Are you a natural business developer who would be excited to support young entrepreneurs to start their business?  Do you have a passion for the entrepreneurship community in Alberta?  Do you walk into a room and immediately see 50 potential friends, business associates and peers?  If you answered yes to these questions, then you might just be the person we are looking for!  Our Organization: Futurpreneur Canada, (“Futurpreneur”) has been fueling the entrepreneurial passions of Canada’s young entrepreneurs for nearly two decades. We’re the only national, not-for-profit organization that provides financing, mentorship programs, business tools, and continual support to aspiring business owners aged 18-39. Our internationally recognized mentoring program matches young entrepreneurs with business experts from a network of more than 2,800 volunteer mentors.  Futurpreneur Canada is a founding member of the G20 Young Entrepreneurs’ Alliance, the Canadian member of The Prince’s Youth Business International, and the Canadian host of Global Entrepreneurship Week  Job Overview: Working as part of the Alberta team, you will report to the Regional Director for BC, Alberta and Yukon. You will support business development activity in Alberta to increase the growth of Futurpreneur Canada’s regional sales, marketing and community relationship efforts.  This is a 12-month contract position is based primarily in Calgary, with frequent travel across Alberta, mainly Southern Alberta.  Key Areas of Accountability and Duties:  Receive and respond to entrepreneur, mentor and community partner inquiries; Support entrepreneur progress to application stage; Attend and coordinate events that provide opportunities to engage perspective and current entrepreneurs, mentors and community partners; Be a resource and support Client Relationship Manager activities to bring files to the loan approval stage; Create connections to Futurpreneur Canada for post care resources and other regional resources available to support small business success; Provide mentor registration application support; Be a resource and support for mentor matching activities performed by the Client Relationship team; Create connections to Futurpreneur Canada mentor care resources and other regional resources available to support mentoring success; Identify regional marketing vehicles and potential target markets; Recruit mentors and encourage them to register with Futurpreneur Canada to support our entrepreneurs  Why you will succeed? You bring with you:  Post-secondary education in business administration, community economic development, management & leadership or communications; 3-5 years of business development experience; Entrepreneurship experience is considered a strong asset for this role; Excellent interpersonal and communications skills with the ability to influence; Strong leadership skills to retain community partners, volunteers, and mentors; Confident, proactive and self-motivated, able to work with minimal supervision; Team Oriented; Excellent organizational skills; Strong customer focus with the ability to work with volunteers; Comfort with public speaking Ability to develop and facilitate program presentations and workshops; Knowledge of trends surrounding like-minded organizations, communities and schools; General administration experience including budget management, report writing, etc.; Event planning and execution experience is considered an asset; Management and volunteer management is considered an asset; Knowledge of basic Futurpreneur programs is considered an asset; 40% of this role includes local and provincial travel; Must have a valid driver’s license and access to a vehicle French is considered an asset but not required;  Our Team  Futurpreneur is built on the foundation of supporting others, and our culture is a reflection of that. We are a group of diverse individuals with experiences across sectors but who are like minded and passionate about the work we do. Though our team members are located throughout Canada, our collaborative work environment ensures that we work, grow, and learn together. The service we provide to our clients leaves us with a deep sense of accomplishment, which spreads an energetic and positive atmosphere throughout the organization.  In addition to salary, Futurpreneur offers a comprehensive benefits package, health spending account, RRSP matching plan, learning and development program, parental leave top-up plan, and 3 weeks starting vacation.  How to Apply  Please submit your application with your resume and cover letter, outlining salary expectations online by 11:59pm EDT on May 25, 2018.  Futurpreneur Canada is an equal opportunity employer and is committed to providing employment accommodation in accordance with the Ontario Human Rights Code and the Accessibility for Ontarians with Disabilities Act. If contacted for an employment opportunity, please advise Human Resources if you require accommodation.  We thank all applicants for their interest, but only candidates receiving serious consideration will be contacted. No phone calls or agencies please."
608,608,business development manager,"Director, Business Development","Calgary, AB",    Cansel,https://ca.indeed.com/viewjob?jk=215d06de6c9cf774,"Term: Permanent  Main Location: Candidate ideally willing to relocate to Montreal or Toronto  Starting Date: As soon as possible  Effigis, a leader in the Canadian geospatial industry, employs more than 170 people. Effigis multidisciplinary personnel are primarily made up of GIS specialists, IT specialists, professional land surveyors, engineers, geographers, cartographers, managers and geologists.  For more than 20 years, our team has been involved in supporting Ontario and Quebec organizations with their asset management through geospatial technology. We specialize in large infrastructure inventories, geospatial databases, and aerial and underground network inspection. We are now looking to accelerate our growth in the rest of Canada.  Reporting to the Vice-President, the incumbent will be mainly responsible for identifying and developing business opportunities and implementing strategies in line with the vision of the executive management to achieve the sales growth objectives of the company. The incumbent must be a born hunter with strong prospecting skills and interest in acquiring new clients.  Main Duties  Identify potential clients with large infrastructure inventories, geospatial databases, and aerial and underground networks in Canadian markets outside of Quebec Develop new clients who are in line with the corporate sales and growth objectives Navigate large complex organizations in order to solicit potential clients to generate client meetings aimed at understanding their needs and expectations Play a leading role with technical team to discover opportunities, then prepare and present clients with added-value business solutions Oversee the process of developing service proposals with clients, along with the in-house sales team Present proposals to clients, and participate in negotiating contracts Exceed sales objectives, calls and monthly appointments Build and maintain strong client relationships and serve clients at all times in a way to meet their needs and ensure their satisfaction Produce sales reports based on the company’s needs Regularly update client data in the CRM Contribute to the development of sales projections Participate in the development of new services or improve current services, which will help increase corporate sales.  Job Requirements  Ten years experience in the industry with a proven experience in business development, sales of services and solutions in the field of telecommunications or public services Experience in engineering, infrastructure network deployment and asset management, an asset Able to thoroughly understand the needs of clients and present business solutions to decision makers and business groups Strong personality, leadership, go-getter mentality, and autonomous. In-depth MS Office skills Knowledge of SAP (CRM) is an asset Bilingualism English and French, spoken and written is important Ability to travel across the country.  If you are dynamic and passionate, have a proven track record of success, and want to be part of a growing team, we would like to talk to you!  For more information about Effigis, please visit http://www.effigis.com/en/  We would like to thank all our candidates for their interest in this job. However, only those selected will be contacted. We are an equal opportunity employer."
609,609,business development manager,Business Development Manager,"Calgary, AB",    Bluestar Engineering Ltd.,https://ca.indeed.com/viewjob?jk=88f5f291da85e126,"Bluestar Engineering Ltd. is a Calgary based EPCM company specializing in small to medium size oil and gas projects. We are a group of professionals who form a fully integrated, multi-disciplinary organization backed by many years of experience.We are currently seeking a Business Development Manager to join our team.Duties & Responsibilities: Develop and execute a business development strategy while proactively identifying and pursuing new opportunities.Utilize network and conduct cold calls to initiate prospective opportunities.Act as a strong ambassador and represent Bluestar Engineering at meetings and events to promote services and overall brand awareness.Maintain and develop strong relationships with existing clients and potential clients by understanding their business and needs.Effectively develop progress reports and communicate details to internal stakeholders.Manage key performance indicators of the RFQ/RFP process including follow-ups and lessons learned.Maintain current knowledge of the industry and market through personal network, industry reports, professional societies, educational workshops, etc.Recommend and develop appropriate marketing tools.Anticipate future needs of clients and devise strategies to build successful ongoing business relationships.Requirements: 8+ years of experience in sales or business development with a proven track record (preferably in an EPCM setting).Bachelor’s degree or technical diploma in a related field is considered an asset.Entrepreneurial, energetic and sales oriented.Compliant with professional rules and regulations.Highly motivated, self-directed individual who can work independently as well as in a team.Demonstrate social confidence, effective communication skills and emotional resilience.Ability to effectively create and deliver presentations.Excellent English language reading and writing skills.Demonstrate an elevated level of integrity, confidentiality, and accountability.Existing network established within the Oil and Gas Industry.Please be advised that Bluestar Engineering Ltd. is an equal opportunity employer and only applicants who are selected, will be contacted to schedule an interview.Job Type: Full-time"
610,610,business development manager,B2B Business Development Manager,"Calgary, AB",    Doit LED & Solar,https://ca.indeed.com/viewjob?jk=bac0e4c0302c6969,"Job SummaryThis is a 100% commission compensated position for driven sales professionals who are not afraid to make $.Doit LED & Solar is a leader in bringing innovative energy efficient solutions to Canada. We are a fast growth company. We provide a full line of high quality LED lighting, solar, wind and other products at a wholesale price to serve industrial, commercial, and residential markets. Not only we would like to protect our planet through energy efficient products, we are also developing strategies for our clients to justify the investment in order to reduce their power bill in the long term.As a B2B Door to Door Business Development Manager, you will provide potential customers with expertise and education on energy efficient products, helping business owners and Managing Partners to become smart energy consumers. This role is full-time and offers some of the best commissions ever seen with potential as high as you choose it to be, and has great opportunities for personal and professional growth. We offer an exceptional commission package where the right individual can far exceed the listed salary range. Commission is uncapped and increases based on performance.Responsibilities and DutiesPrimary Responsibilities: Generate business by working an assigned accounts selling/consulting businesses on their needs to reduce energy consumption by adopting LED lightings, and other solutions.You will meet with business owner and managers through appointments, walk-in, cold call, networking events, etc., to communicate the values of energy efficiency products, and how we can help them earn more profits from LED retrofits without upfront costs.Cold calling and marketing campaign to generate more qualified leads.Qualifications and SkillsRequired Skills: Strong communication and interpersonal skills (friendly, personable, positive personality)Highly motivated to sell with a desire to succeedCustomer focused, results oriented * Time management skillsProfessional Education, Experience and Requirements: * The level of education will depend upon the applicant, as all applicants will be interviewed by myself.Position requires the candidate have their own vehicle, smart phone and computerPhysical Demands: While performing the duties of this job, the employee must be able to work outdoors daily with exposure to an outside environment, which includes inclement weather. The employee is regularly required to drive, sit and walk.As your business grows you can choose to either work from home or in our Edmonton office to work splits between your follow up time on the phone or in person and that will be at your discretion when the time comes.Preferences for qualified candidates: 3 year experience in either electrical field, lighting or business to business sales experience.Less experience will be considered for junior positions.Great passion to protect our planet & environment, capability to think big, and dedication to follow our sales process, then this is the right job for you!Benefits1. We will provide full training, personal development opportunities, and promotion opportunities to be regional managers.2. Performance Bonus.3. Opportunities to be mentored by senior managers.4. International travel opportunities to trade shows and manufacturers.Job Type: Full-timeSalary: $80,000.00 to $200,000.00 /yearExperience:sales: 3 yearsEducation:High school or equivalentLocation:Calgary, ABLicence:Driver LicenseLanguage:English"
