,Unnamed: 0,Job Type,Title,Location,Company,Job_Url,Job_Description
1772,1772,cybersecurity expert,Senior Cisco Network and Cybersecurity Specialist - 254104,"Calgary, AB",    Procom,https://ca.indeed.com/viewjob?jk=c25f3a6c63929996,"Senior Cisco Network and Cybersecurity Specialist On Behalf of our client in Calgary Alberta, Procom is looking for a Senior Cisco Network and Cybersecurity Specialist,to develop network cybersecurity plans. Senior Cisco Network and Cybersecurity Specialist Job Details -Improve cybersecurity through implementation of stronger authentication controls (Limited two- factor authentication) Improve cybersecurity and operational efficiencies through significant enhancement of user access controls (Plan and expand TrustSec deployment)Improve cybersecurity and operational efficiencies through development and deployment of secure standard configurations for network equipment (Implement CIS Benchmark configuration standards)Improve cybersecurity through development and deployment of additional security functionality on existing infrastructure (Implement Firepower security intelligence)Improve cybersecurity through extension of existing network connectivity access controls (Expand Network Access Control to additional network infrastructure)Evaluate and potentially improve cybersecurity through deployment of mobile device security solution (Explore deployment of Cisco AMP to iPhones)Support business priorities through architecting and deployment of secure network services by external partiesImprove cybersecurity through migration of successful pilot monitoring system into production (LogRhythm NetMon)Enhance business capability, efficiency and flexibility through architecting and deployment of secure Bring Your Own Device network capabilitiesImprove cybersecurity through continued development of vulnerability management program (Rapid7 Nexpose);Address additional tasks and business priorities as required Senior Cisco Network and Cybersecurity Specialist Must Have Skills Diploma or Bachelor’s degree in Network Engineering or related field.Minimum of 8 years’ experience related to the investigation, evaluation, testing, implementation and support of network cybersecurity solutions addressing a variety of challenges in a large-scale enterprise organization.Training in Cisco products, as well as industry training on standards and best-practice frameworks.Cisco Certified Network Professional (CCNP Security) or Cisco Certified Internetwork Expert (CCIE Security)ITIL or COBIT certificationsPrevious experience and/or certification in architecting, implementing and troubleshooting the following technologies:RSA SecurIDCisco ISE (particularly strong skills required)Cisco Wireless LAN ControllersCisco Routing and SwitchingCisco ASA and Sourcefire systemsCisco AMPLogRhythm SIEM and LogRhythm NetMonRapid 7 NexposeExperience in Cybersecurity analysis and implementationExcellent verbal and written communication and presentation skillsExcellent technical documentation skills Senior Cisco Network and Cybersecurity Specialist Contract Length 6 months Senior Cisco Network and Cybersecurity Specialist Start Date 1st June 2018"
1773,1773,cybersecurity expert,GRC Consultant,"Calgary, AB",    Standard Model Partners,https://ca.indeed.com/viewjob?jk=e1a540ab9edfa21f,"OverviewWe are looking for a qualified Consultant to help our clients reform their operations and support their business by providing intuitive guidance. You will be an important ally to every organization who wants to invest in change and improvement and needs help as to where and how. You will also undertake projects on behalf of the client’s business when it lacks resources or motive to perform them in-house. The consultant will provide advice on incorporating or integrating information technology systems to increase commercial efficiency and improve processes, service delivery, customer relationships, capital expenditure and above all, profitability and shareholder value.The GRC Consultant will be a member of the consulting services team responsible for all GRC Programs as they relate to Enablon Enterprise Platform planning, design, some configuration, and some transition to operations services to Standard Model’s large multinational customers. The GRC Consultant works closely with the GRC Subject Matter Experts (SMEs), and supports various governance, risk, and compliance programs. These may include Enterprise or Operational Risk Management, Regulatory Compliance, Cybersecurity, Internal Control, Internal Audit, Business Continuity, Insurance, Environment, Health and Safety or other similar GRC programsThe Consultant plays a critical part in analyzing business processes, requirements gathering, designing solutions, understanding complex relationships, managing stakeholder expectations, communicating with customers, determining issues and solving problems. The GRC Consultant may either choose to grow into a GRC SME role, or a GRC Systems SME role, and may be required to configure part of the GRC Systems to enable the business processes and activities that they design, before handing it over to the technical team.Responsibilities Include (but are not limited to): Organize and execute assigned business projects on behalf of clients according to client’s requirementsMeet with assigned clients when needed and perform an initial assessment of a problematic situationCollect information about the client’s business through a variety of methods (shadowing, interviews, surveys, reading reports etc.)Analyze and interpret data to unearth weaknesses and problems, and comprehend the causesFormulate recommendations and solutions with attention to a client’s wishes, capabilities and limitations forming concise reportsPresent findings and suggestions to clients with ample justification and practical adviceDevelop detailed plans to drive small or radical changesPrepare specifications on I.T. requirements and monitor system implementation, completing the necessary documentation and supervising clients through the full technology life cycleAssist the client in implementing the plan and technology and resolve any occasional discrepanciesProvide guidance for any occurring problems and issuesLiaise with the client to keep them informed of progress and to make relevant decisionsLead those within the team supporting the client (including third party vendors)Requirements: Familiarity of any Governance, Risk and Compliance (GRC) practices or processes. These may include Enterprise Risk Management (ERM), Operational Risk Management, Environment, Health and Safety Management (EHS) Internal Controls Management and Sarbanes Oxley Compliance (SOX), Regulatory Compliance, Audits and Self-Assessments, Business Continuity Management (BCM), Disaster Recovery, Cybersecurity and Physical Security, Supply Chain Management or other comparable areas.Proven experience as consultant or equivalent, in a client facing roleKnowledge of diverse business matters such as IT, Marketing, HR etc.Strong analytical, problem solving skills and communication skillsWillingness to acquire additional GRC domain experience, skills, and formal certifications to enable the GRC Consultant in their daily consulting job.Outstanding communication and interpersonal skillsAbility to work independently and work within a multi stakeholder team environmentApply initiative to evaluate situations and recommend solutions to customersExperience working with customers in an enterprise software solutions project, either as a consultant, analyst, developer or application administratorBSc/BA in business administration or relevant field; MSc/MA in a specialized business field will be an advantageNice to Have: Second language proficiency (Spanish or French preferred)Prior experience with a software or IT consulting companyExperience configuring or supporting a vendor software tool/platformRelational database knowledgeExperience of Web Design Technologies to include Java Scripting, XML, HTML, CSSExperience with SQL / (REST) APICertified Management Consultant is a plusFamiliarity of any Governance, Risk & Compliance practice or processExperience in Financial Services, High Tech & Telecoms, Energy & Utilities, and/or Mining & Resources preferredExperience working with any GRC related applications, such as: Enablon (preferred), MetricStream, EMC/RSA Archer, Nasdaq BWise, Cura, Thomson Reuters Accelus, IBM OpenPages, Walters Kluwer TeamMate, ServiceNow IT GRC, Crowe Horwath Model Risk Manager, SAP GRC SolutionsIf you’re interested in joining a collaborative team in an exciting fast paced environment, please apply here and someone from our talent acquisition team will be in touch with you shortly.Job Type: Full-timeEducation:Bachelor'sLocation:Calgary, AB"
1774,1774,cybersecurity expert,"Manager, Identity and Access Management","Calgary, AB",    PwC,https://ca.indeed.com/viewjob?jk=00a8ea20bc229871,"Collaborate with industry leaders, diverse teams and innovative minds.  Our Consulting & Deals practice: Our extensive selection of services provides businesses with the value they’re looking for. Through expert advice and assistance based on our financial, analytical and business process skills, we enhance the performance of companies of all sizes. Our clients value our ability to draw on our national and international network of professionals to deliver fast, proven results.  The Opportunity: Manager, Identity and Access Management  This role provides an opportunity to streamline, standardize and create lifecycle management processes, implement and customize Identity and Access Management (IAM) solutions based on client needs, define, build and manage the team that is responsible for executing the roadmap. Our engagements vary from short pieces of strategy, assessment, testing to multi-year complex implementations in major organizations, delivering customized version of industry-leading IAM vendor products.  Requirements:  Project delivery, as required by the scope of specific engagements, which might include the full gamut of IAM knowledge areas, solutions, and products. Engagement management, including project planning, budget management, and resource management. Business development activities throughout the entire opportunity lifecycle, including lead generation, opportunity tracking, pre-sales presentations, technical demos, client & engagement risk assessments, bid management, proposal writing, and contract management. Practice development, including work on delivery methodology, training, and sales & marketing materials. Personal professional development as an IAM subject-matter specialist, including continuous vendor and industry trainings, attending conferences, specific products & solutions self-study. Multi-tasking on multiple projects and tasks with competing priorities in fast-paced environment. Working with other Cybersecurity & Privacy teams on non-IAM projects as required. Helping new and/or more junior team members to become an integral part of IAM team, Cybersecurity & Privacy Consulting practice, and PwC family.  Education/Certification: Degree in Computer Science or Engineering Management Information Systems (MIS) Preferred certifications: CISSP or similar security certification CCSP or similar cloud certification PMP or similar project management certification  Qualifications/Experience (Mandatory):  5+ years in Information Security 3+ years in IAM with at least 3 full-cycle IAM projects Extensive SME knowledge of at least one (1) of the IAM products from a major vendor (i.e. Microsoft, Ping, ForgeRock, SailPoint, Oracle, CyberArk, IBM, CA) Expertise in four (4) or more IAM knowledge areas: o Identity Management (Provisioning, Enrolment) o Access Management – Authentication, Authorization, Role Based Access Control (RBAC) o Identity Governance – Attestation, Re-certification o Identity Federation, Single Sign-On (Desktop SSO, Web SSO, eSSO), Social Login o Privileged Access/User Management (PAM/PUM) o Directory Services (Meta-Directory, Virtual Directory, Unified Directory, Active Directory) o Identity as a Service (IDaaS), Cloud Identity o Identity Analytics, Identity Trust Frameworks o Blockchain/Distributed Ledger (specifically for Identity)  Qualifications/Experience (Preferred): Technical skills o Expertise in one or more of the following IAM standards/technologies: LDAP, SAML, OAuth, OIDC, FIDO, SCIM, IWA, etc. o Practical knowledge of Windows and Linux (basic system administration, scripting, etc.) o Familiarity with cloud platforms (Azure, AWS, GCP) o Basic database management and SQL knowledge o Hands-on Java development o Hands-on web service development (SOAP XML and/or RESTful web services) Solution/architecture experience o ArchiMate/UML/TOGAF/SABSA sequence/state/component diagrams, conceptual, logical & physical architecture, data modeling, etc. o Knowledge of security-by-design and privacy-by-design concepts Consulting experience o Business development – structured formal opportunity pursuit framework, CRM management of accounts, contacts, leads, and opportunities, responding to RFx, writing SOWs o Vendor/partner management – managing NDAs, joint business relationships, engaging independent contractors and delivery/implementation partners Project management experience o Overall PMLC and SDLC, including Secure SDLC, Waterfall SDLC, Agile, Scrum, etc. o Resource forecasting and actuals reconciliation o PMO and PM CoE processes, program/portfolio management o Scope/budget/schedule management (with PM tools such as Microsoft Project)  Why Work for PwC  We know there’s no “one-size-fits-all” concept when it comes to flexibility. Everyone defines flexibility differently depending on your career and personal goals and stage in life. As part of our PwC culture, we know that to be at your best, you need time to rest, refresh and recharge. Our myLife flexibility programmes provide you with the opportunities to meet both your family and career needs.  PwC is committed to building a diverse workforce representative of the communities we serve. We encourage and are pleased to consider all qualified candidates, without regard to ethnicity, colour, religion, sex, sexual orientation, gender identity, aboriginal status, age, disability or persons who may require an accommodation, to apply.  PwC: the Opportunity of a Lifetime"
1775,1775,cybersecurity expert,Manager – Threat and Vulnerability Management,"Calgary, AB",    PwC,https://ca.indeed.com/viewjob?jk=d2bb56ad49f174b2,"Achieve your full potential in an environment where there is flexibility to cultivate your personal brand and knowledge base.  Our Consulting & Deals practice: Our extensive selection of services provides businesses with the value they’re looking for. Through expert advice and assistance based on our financial, analytical and business process skills, we enhance the performance of companies of all sizes. Our clients value our ability to draw on our national and international network of professionals to deliver fast, proven results.  The Opportunity: Manager – Threat and Vulnerability Management As companies pivot toward a digital business model, the amount of data generated and shared among organizations, partners and customers is growing at an exponential rate. This digital information has become the lifeblood of today’s interconnected business ecosystem and is increasingly valuable to organizations—and to skilled threat actors. Business digitization has also exposed companies to new digital vulnerabilities, making effective cybersecurity and privacy more important than ever.  Responsibilities & Tasks  Your Role as a Manager – Threat and Vulnerability Management, you will join our growing Incident and Threat Management (ITM) practice to meet our clients’ demand for high quality, independent advice and delivery capability focusing on Threat and Vulnerability Management (TVM) within our broader portfolio of Incident and Threat Management capabilities.  In return, we will surround you with the best people in the business, the environment in which to challenge yourself and learn, and clients who appreciate their need for excellence and change.  The primary responsibilities are to: Establish credibility with prospective clients by demonstrating knowledge of Threat and Vulnerability Management (TVM) and identify opportunities for assistance. Lead the delivery of penetration testing, red teaming and vulnerability management services on all clients serviced by the ITM team, providing technical leadership and delivery support in the following areas: o Design and delivery of vulnerability management programs (build scanning processes, facilitate tool selection, recommend technology placement and configuration, develop remediation processes, etc.) o Conduct threat modelling, design and delivery of red teaming scenarios o Network infrastructure vulnerability assessments and penetration tests o Application vulnerability assessments and penetration tests o Wireless network testing o Design and oversee social engineering campaigns o Secure source code reviews  Provide thought leadership and direction for the ITM practice. Manage the end to end delivery (including scheduling) of multiple projects spanning multiple resources and teams. Assist with / lead the development of the support processes and systems that create the foundation for a project. Acting as a technical reference point for your specialist discipline.  Mentoring and developing junior staff as required.  Support the sales function by generating opportunities, responding to proposals, develop statements of work, etc. Maintain a project plan and overview of all ongoing, past and future work.  Contribute to the Intellectual Property of the firm by driving the development of toolkits, methodologies, accelerators and training  This position may require some travel and will be based out of our Toronto Office. Other locations in Canada may be available.  Requirements:  General Requirements: Demonstrable ability in the following areas is required for this position: Bachelor or Masters degree in Information Security, Computer Science, Engineering or Business. Technical credentials such as OSCP, CEH, ECSA, ELPT, GPEN, GWAPT will be considered an advantage. Minimum of 5 years of experience in vulnerability assessments and penetration testing with a preference on those who have consulting experience in a Big 4 or have delivered / participated in vulnerability management programs in large organizations. Solid mix of business and technical capabilities, and the ability to communicate complex technical and risk management issues to senior executives within the context of their business. Clear, articulate and confident written and verbal communication skills. Strong project management, facilitation and delivery skills. The ability to manage engagement financials and risk. The ability to manage a number of projects, meet deadlines and manage stakeholder expectations.  Technical Requirements: Threat and Vulnerability Management Strong understanding and familiarity with vulnerability assessment and penetration testing methodologies Red team tools, tactics, procedures Database commands (Oracle, MS-SQL, DB2, MySQL) Execution of vulnerability assessments and penetration testing (application, networks and infrastructure) Wireless and Cellular penetration testing (802.11 x, 3G) Proven experience with execution and management of the entire vulnerability assessment and penetration testing engagement lifecycle Experience, at minimum with the following tools, suites and frameworks: Qualys, Nessus, Kali Linux, Metasploit, IBM Rational AppScan (including AppScan Source) or equivalent source code analysis tools, web application proxies (e.g. Burp Suite), and Cobalt Strike.  Why Work for PwC  We know there’s no “one-size-fits-all” concept when it comes to flexibility. Everyone defines flexibility differently depending on your career and personal goals and stage in life. As part of our PwC culture, we know that to be at your best, you need time to rest, refresh and recharge. Our myLife flexibility programmes provide you with the opportunities to meet both your family and career needs.   PwC is committed to building a diverse workforce representative of the communities we serve. We encourage and are pleased to consider all qualified candidates, without regard to ethnicity, colour, religion, sex, sexual orientation, gender identity, aboriginal status, age, disability or persons who may require an accommodation, to apply.  PwC: the Opportunity of a Lifetime"
1776,1776,cybersecurity expert,"Manager, Cybersecurity","Calgary, AB",    PwC,https://ca.indeed.com/viewjob?jk=67c9e9e55f00dbaf,"Collaborate with industry leaders, diverse teams and innovative minds.  Our Risk Assurance Practice: In our Risk Assurance practice, you’ll work with people who have a broad range of skills and expertise. It’s a great way to learn and build on a variety of business skills that will serve you throughout your career. You’ll work with people who have deep subject matter expertise across a variety of industries, including mining, energy, public sector and financial services. Working with our professional’s means you’ll get the coaching and training you need to develop your career, and have responsibility for leading and growing others.  PwC has one of the largest cybersecurity and IT risk practices globally. The firm has a long history of innovations in this space and continues to be a significant presence with pragmatic solutions. PwC is ideally suited for organizations that want to view IT risk from practical and holistic views and take them from assessment through to implementation. PwC’s strength is to connect these capabilities, based on its vast expertise in this space.  Our services combine strategy, governance, technical and risk management expertise and fall broadly within the following client issues:  Cybersecurity strategy & governance Risk Management & resilience Identity and Access Management Threat Intelligence & Vulnerability Management Data Leakage Prevention Cybersecurity Risk Assessments  The Opportunity: Manager, Cybersecurity (Identity Management) As a Manager of Cybersecurity, you will join our growing practice to meet our clients’ demand for high quality, independent advice and delivery capability focusing on strategy, governance and risk management. We are looking for dynamic personalities with a passion for security and privacy who understands what it means to be change agents in transforming businesses.  Responsibilities: Demonstrate advanced understanding of business processes, internal control risk management, IT controls and related standards Identify and evaluate complex business and technology risks, internal controls which mitigate risks, and related opportunities for internal control improvement Understand complex business and IT management processes Lead clients through facilitated sessions to identify, define and refine solutions customized to the client business needs. Provide real life use cases to support case for change / transformation using one or more Identity & Access Management products such as Sailpoint, CyberArk, etc. Communicate to clients and partners aspects of both the product and the implementation at the technical and functional level appropriate for the situation. Provide post-pursuit requirements gathering, analysis and documentation. Manage project scope, schedule, status and documentation. Demonstrate a general knowledge of market trends, competitor activities and PwC products and service lines Actively participate in decision making with engagement management and seek to understand the broader impact of current decisions Facilitate use of technology-based tools or methodologies to review, design and/or implement products and services Identify opportunities to improve engagement profitability. Mentoring and developing junior staff as required including supplying formal evaluation and feedback. Maintain a credential set that establishes technical expertise. Help recruit, retain and develop the team by bringing superior leadership skills. Requirements: Bachelor or Master’s degree in Information Security, Computer Science, Engineering or Business. Technical designations such as CISSP, CISA, CISM, CRISC, ITIL or TOGAF A minimum of 5+ years’ experience in cyber security roles Solid mix of business and technical capabilities, and the ability to communicate complex technical and risk management issues to senior executives within the context of their business. Ability to develop and manage senior-level relationships, identify IAM opportunities with clients and propose solutions that meet the clients’ needs. Strong project management, facilitation and delivery skills. The ability to manage engagement financials and risk. The ability to manage a number of concurrent and complex IAM projects, meet deadlines and manage stakeholder expectations. Strong leadership qualities when working in a team and the ability to be recognized as the subject matter expert in a given field when our client requires. The ability to be seen as a role model for junior members of the team and provide guidance and coaching to the team. Clear, articulate and confident written and verbal communication skills. Strong analytical and problem solving capabilities. Prior consulting or leading system integrator experience is a plus. Open to travel requirements.  Why Work for PwC Our employees make an impact with their dedication to client service, creativity, and high performance. Whatever your passion is, the opportunities available to you at PwC will help you realize your career aspirations.  PwC is committed to building a diverse workforce representative of the communities we serve. We encourage and are pleased to consider all qualified candidates, without regard to race, colour, citizenship, religion, sex, marital / family status, sexual orientation, gender identity, aboriginal status, age, disability or persons who may require an accommodation, to apply.  PwC: the Opportunity of a Lifetime"
1777,1777,cybersecurity expert,Senior Cisco Network and Cybersecurity Specialist,"Calgary, AB",    TekStaff IT Solutions,https://ca.indeed.com/viewjob?jk=5fb22e05cb268240,"Our organization is looking for a Senior Cisco Network and Cybersecurity Specialist in Calgary. The successful candidate will be required to develop network cybersecurity plans, coordinate and implement security programs in the cybersecurity project. You will be supporting existing environments, design, evaluate and implement plans to improve our cybersecurity.Primary Duties and Responsibilities· Improve cybersecurity through implementation of stronger authentication controls (Limited two- factor authentication)· Improve cybersecurity and operational efficiencies through significant enhancement of user access controls (Plan and expand TrustSec deployment)· Improve cybersecurity and operational efficiencies through development and deployment of secure standard configurations for network equipment (Implement CIS Benchmark configuration standards)· Improve cybersecurity through development and deployment of additional security functionality on existing infrastructure (Implement Firepower security intelligence)· Improve cybersecurity through extension of existing network connectivity access controls (Expand Network Access Control to additional network infrastructure)· Evaluate and potentially improve cybersecurity through deployment of mobile device security solution (Explore deployment of Cisco AMP to iPhones)· Support business priorities through architecting and deployment of secure network services by external parties· Improve cybersecurity through migration of successful pilot monitoring system into production (LogRhythm NetMon)· Enhance business capability, efficiency and flexibility through architecting and deployment of secure Bring Your Own Device network capabilities· Improve cybersecurity through continued development of vulnerability management program (Rapid7 Nexpose);· Address additional tasks and business priorities as requiredRequired Qualifications· Diploma or Bachelor’s degree in Network Engineering or related field.· Minimum of 8 years’ experience related to the investigation, evaluation, testing, implementation and support of network cybersecurity solutions addressing a variety of challenges in a large-scale enterprise organization.· Training in Cisco products, as well as industry training on standards and best-practice frameworks.o Cisco Certified Network Professional (CCNP Security) or Cisco Certified Internetwork Expert (CCIE Security)o ITIL or COBIT certifications· Previous experience and/or certification in architecting, implementing and troubleshooting the following technologies:o RSA SecurIDo Cisco ISE (particularly strong skills required)o Cisco Wireless LAN Controllerso Cisco Routing and Switchingo Cisco ASA and Sourcefire systemso Cisco AMPo LogRhythm SIEM and LogRhythm NetMono Rapid 7 Nexpose· Experience in Cybersecurity analysis and implementation· Excellent verbal and written communication and presentation skills· Excellent technical documentation skillsJob Type: ContractSalary: $90.00 to $95.00 /hourExperience:CISCO ISE: 3 yearsCCNP / CCIE: 1 yearCyber Security: 8 years"
1778,1778,cybersecurity expert,"Senior IT Advisor, Internal Controls","Calgary, AB","    Recruitment Partners, Inc.",https://ca.indeed.com/viewjob?jk=710d2c6220b97f47,"Our client is looking for a Senior IT Audit Advisor with a strong background in IT and Finance and will support the development of maintenance as well as internal controls. The candidate will be required to provide oversight and support to the management of finance and perform accounting functions. If you are looking to further your role in IT / Audit and management, this is the role for you!  Your success will be defined by your ability to:  Ensure completion of standard documentation with business operations, process documentation, fraud assessments and controls Evaluate deficiencies to the business Resolve internal control issues and provide recommendations to business operations Provide mentorship and coaching Coordinate testing with business operations Monitor remediation plans and provide clarity Support the CEO and CFO when it comes to fulfilling regulatory requirements Assist the Office of the Chief Information Officer (OCIO), the Chief Information Security Officer (CISO) and Business Technology Managers (BTM) when it comes to developing appropriate IT processes and controls. Provide advice regarding interpretation of policies and procedures for controls and IT operations Assess safeguards for the protection of IT assets such as the reviews of automated controls, vulnerability assessments, access reviews, etc.  Your strengths include:  7 10 years of experience in Enterprise Resource Planning (ERP) systems (Oracle), IT/cybersecurity SOX or CSOX (52-109) design, testing and implementation of controls for IT applications. Knowledge of IT security and business processes including cybersecurity and cloud computing technologies for large enterprise resource planning systems Strong analytical skills Excellent verbal and written communication skills Ability to problem solve Knowledge of C-SOX or SOX Leading by example  To apply, please email your resume to careers@rpinc.ca attention to Jennifer Drvaric and Candice Rookes. Please visit our website, www.recruitmentpartners.ca, for additional career opportunities today!  Recruitment Partners Inc. is an Alberta-based, Alberta-focused recruitment firm. We are dedicated to building long-term relationships while securing top talent for Albertas best employers. At the heart of our efforts is a collaborative, consultative approach. We are proud of our team of consultants, who come with practical business experience, a strong network of professional contacts, and are focused on what is best for both clients and candidates. We will facilitate the best fit between client and candidate. This means reduced turnover, enhanced employee engagement, increased productivity and customer satisfaction, and more. Recruitment Partners Inc. is a relationship driven and service oriented organization with experts specializing in: Accounting Finance - Sales Operations - Engineering - Supply Chain - Human Resources - Office Support - Technology  Contact us today - Your Search Partner - to learn more!"
1779,1779,cybersecurity expert,Senior Cisco Network and Cybersecurity Specialist - 254104,"Calgary, AB",    Procom,https://ca.indeed.com/viewjob?jk=c25f3a6c63929996,"Senior Cisco Network and Cybersecurity Specialist On Behalf of our client in Calgary Alberta, Procom is looking for a Senior Cisco Network and Cybersecurity Specialist,to develop network cybersecurity plans. Senior Cisco Network and Cybersecurity Specialist Job Details -Improve cybersecurity through implementation of stronger authentication controls (Limited two- factor authentication) Improve cybersecurity and operational efficiencies through significant enhancement of user access controls (Plan and expand TrustSec deployment)Improve cybersecurity and operational efficiencies through development and deployment of secure standard configurations for network equipment (Implement CIS Benchmark configuration standards)Improve cybersecurity through development and deployment of additional security functionality on existing infrastructure (Implement Firepower security intelligence)Improve cybersecurity through extension of existing network connectivity access controls (Expand Network Access Control to additional network infrastructure)Evaluate and potentially improve cybersecurity through deployment of mobile device security solution (Explore deployment of Cisco AMP to iPhones)Support business priorities through architecting and deployment of secure network services by external partiesImprove cybersecurity through migration of successful pilot monitoring system into production (LogRhythm NetMon)Enhance business capability, efficiency and flexibility through architecting and deployment of secure Bring Your Own Device network capabilitiesImprove cybersecurity through continued development of vulnerability management program (Rapid7 Nexpose);Address additional tasks and business priorities as required Senior Cisco Network and Cybersecurity Specialist Must Have Skills Diploma or Bachelor’s degree in Network Engineering or related field.Minimum of 8 years’ experience related to the investigation, evaluation, testing, implementation and support of network cybersecurity solutions addressing a variety of challenges in a large-scale enterprise organization.Training in Cisco products, as well as industry training on standards and best-practice frameworks.Cisco Certified Network Professional (CCNP Security) or Cisco Certified Internetwork Expert (CCIE Security)ITIL or COBIT certificationsPrevious experience and/or certification in architecting, implementing and troubleshooting the following technologies:RSA SecurIDCisco ISE (particularly strong skills required)Cisco Wireless LAN ControllersCisco Routing and SwitchingCisco ASA and Sourcefire systemsCisco AMPLogRhythm SIEM and LogRhythm NetMonRapid 7 NexposeExperience in Cybersecurity analysis and implementationExcellent verbal and written communication and presentation skillsExcellent technical documentation skills Senior Cisco Network and Cybersecurity Specialist Contract Length 6 months Senior Cisco Network and Cybersecurity Specialist Start Date 1st June 2018"
1780,1780,cybersecurity expert,Server Architect (Cybersecurity),"Calgary, AB",    Orignix IT,https://ca.indeed.com/viewjob?jk=bfe657be9f374764,"This position will serve as a Microsoft Windows technologies and standards Subject Matter Expert, concentrating on overall technical and operational effectiveness of secure solutions. The successful  candidate will have the following expertise:  Designing, planning and implementing:  o Sever virtualization strategies o Networks and storage for virtualization o Virtual machines o Virtualization administration solutions o Server monitoring solutions o High availability for file services and applications o High availability infrastructure using failover clustering o Business continuity strategy o Public Key infrastructure o Data access for users and devices o Active Directory Domain Services sites and replication o Active Directory Certificate Services o Network load balancing o Failover clustering o Group Policy infrastructure for managing end devices o Network Access Protection o Windows Server 2012 o GPO to secure Windows Servers and end devices o Advance PowerShell scripts o Security hardening strategies  Specific responsibilities will include:  Technical requirements gathering, designing and hands-­on implementation. Develop Active Directory best practice configuration, group policies, roles and responsibilities  based on ISA, Vendor best practices (Microsoft, Honeywell, Emerson, Rockwell, OSII, ABB). Harden all Active Directory and workgroup environments and reduce number of domain  administrator accounts where applicable, including: o Enforce a password policy in AD and workgroup environments which does not allow the use of the same passwords.  o Harden Terminal Server environments using AD Group Policies and Whitelisting. o Disable RDP connections to workstations by utilizing AD at each site location.  o Disable removable media (USB ports, smartcards, flash drives, CD/DVD drives) and network ports on workstations and servers by utilizing AD.   Provide training, mentoring, and hands on help to raise the talent/skill level of the team. Maintain a working knowledge of relevant hardware and software applications, including  emerging technologies;;  Understand client’s business environment and lead the development of simple-­to-­complex  technical solutions to meet client requirements.  Provide technical writing assistance during proposal development. Create and update documentation as projects evolve. Develop and maintain client relationships. Perform other duties as assigned.  Ideal Skills, Competencies, and Personal Characteristics:  5-­10 years of design and implementation experience in the following:  o Active Directory o PowerShell Scripting o VMware o Hyper-­V o WSUS o Terminal Server Services o MS Excel o McAfee management solution o Symantec management solution o Lab and testing experience   Knowledge of Honeywell, Emerson, ABB, Schneider SCADA/DCS administrative skills Two or more of the following certifications:  o Microsoft Certified Solution Expert: Server Infrastructure o Microsoft Certified Technology Specialist: Windows Server 2008 Active Directory o VMware Certified Professional   Can-­do and professional attitude. Excellent communication and interpersonal skills. Ability to manage a number of projects, meet deadlines and manage stakeholder expectations. Communicates effectively with internal clients to identify needs and evaluate alternative business  solutions with company management.  Demonstrated ability to prioritize and multitask in high paced work environments. Willingness to learn new technologies and maintain industry knowledge.  Interested in applying for this position? Please send your resume to careers@orignix.com. We thank all candidates for their interest, however, only those selected for interviews will be contacted."
3012,137,cybersecurity expert,Front End Developer for Canada's fastest growing ticketing company,Calgary,Showpass,https://stackoverflow.com//jobs/164767/front-end-developer-for-canadas-fastest-growing-showpass,"About this job Compensation: EquityJob type: Full-timeExperience level: Mid-Level, SeniorRole: Frontend DeveloperIndustry: Entertainment, Software Development, TicketingCompany size: 11-50 peopleCompany type: VC FundedTechnologies angularjs, angular-material, sass, angular-ui-bootstrap, ionic-framework Job description THE ROLE: Front End Developer (full-time permanent role) THE LOCATION: Calgary, Alberta THE PERKS:  A unique and fun place to work – flexible hours and vacation policy, in-house chef, fully stocked snack and fresh pressed juice bar, gym membership, dog-friendly office Competitive compensation and benefits package  THE RESPONSIBILITIES:  Work closely with the UX/UI designers and development team to effectively convey product vision and release new features Create, improve and use wireframes, prototypes, style guides, user flows, and efficiently develop UI components for new features Create and improve strategic design and user experience for new and existing features Work closely with clients to create and improve client websites through integrating the Showpass SDK and Wordpress plugin Identify and resolve design/ui/ux problems or inconsistencies Keep up to date with the latest changes in the industry’s standards Take a user-centered design approach and promptly test and iterate your designs Collaborate with other team members and stakeholders  THE QUALIFICATIONS:  Post-secondary education in a Computer/Engineering/Media/Design related field Minimum 5 years work experience with front end development Must have experience working with the following technologies:  AngularJS, Angular Material, Javascript, jQuery, SCSS, Bootstrap, Ionic  Experience working with the following technologies would be an asset:  Python, Django, Swift or similar (Flask, Rails, Node.js, Go)  Experience creating prototypes, storyboards, user flows, etc. Strong problem solving, testing and debugging skills Analytical thinker with the ability to problem solve in a fast-paced work environment Must have a clear understanding of the importance of user-centered design Be passionate about all things UI/UX and other areas of development and innovation Research and showcase knowledge in the industry’s latest trends and technologies Exude confidence when collaborating and communicating closely with teams and other stakeholders to regularly deliver design solutions for approval Be willing to learn from and share knowledge/experience with the rest of the team Ability to champion new ideas and develop creative approaches Must have the hustle and drive to take initiative and make things happen!  NOTE: We will only contact qualified candidates of interest "
