,Unnamed: 0,Job Type,Title,Location,Company,Job_Url,Job_Description
1291,1291,data scientist,Data Scientist,"Calgary, AB",    Blackline Safety,https://ca.indeed.com/viewjob?jk=29e29becc8d51773,"Data Scientist Blackline Safety - Calgary, ABBlackline Safety is looking for a Data Scientist to build and drive our Blackline Analytics platform. We have a world class connected safety system and we are building an analytics platform to match.Who are you?You believe big data helps businesses solve real-world problems. You like to explore datasets to find insights that nobody else sees. You know when to use a Pareto chart. You think machine learning is cool. You aren’t bound to a framework or tool and feel comfortable picking up something new if it’s right for the job. You are self-motivated and want to own the delivery of a major component of our offering.What will you do?You will have a high level of ownership of the Blackline Analytics platform. You will be responsible for driving the platform for our customers as well as internal questions and discovery. Your job will include everything from producing reports for customers, garnering insights to reduce quality issues in the field and generating ad-hoc reports to help drive sales. You will own the product from idea all the way to a solution as independently as possible. Your insights will help us evolve our products and services by leveraging large and diverse datasets generated by customers from around the world.About BlacklineBlackline Safety is a world leader in the development and manufacturing of wirelessly connected safety products — we offer the broadest and most complete portfolio in the industry. We monitor personnel working alone in populated areas, indoors within complex facilities, and employees operating in the most remote reaches of our planet. Our products are used to keep people safe in the event of falls, missed check-ins, man-downs and exposure to explosive or toxic gas. Our products save lives. Our design, marketing, customer care, sales and production are all performed in-house at our headquarters in Calgary, AB. Blackline Safety is a publicly-traded company (TSXV: BLN).Requirements: Post-secondary degree (Computer Science, Mathematics, Statistics, Analytics, Information Technology or related)Comfortable with SQL, scripting languages, data shaping and modelingPreviously built and deployed visuals with a major visualization tool such as PowerBI, Tableau, Qlik or SportfireStrong communication skills and experience working with technical teamsComfort troubleshooting and fixing performance issues related to databases and visualization deliveryOptional: Experience with mathematical tools such as Matlab, Minitab or Mathcad would be considered an assetBlackline Safety offers: An exciting high-growth environmentAn experienced, dynamic and motivated teamSupportive, challenging and collaborative workCompetitive salary and vacationMedical, dental and drug benefitsCompany stock purchase plan with matching contributionsOur clients depend on Blackline Safety to monitor their wellbeing of the employees at work — you can help to make a difference. Come work with Blackline Safety in an exciting, fast-paced work environment.This position is located in Calgary, AB and reports into the Product Management team.Job Type: Full-timeEducation:Bachelor'sLocation:Calgary, AB"
1292,1292,data scientist,Data Scientist,"High River, AB",    Western Financial Group,https://ca.indeed.com/viewjob?jk=09c126e6a156c794,"Our Guiding Principles - Truthfulness, Fairness, Value, and Loyalty - have not changed since the day Western Financial Group was formed. The decisions we make, every day, are based on these Guiding Principles. What does an Data Visualization / Business Intelligence (BI) Analyst look like at Western? Reporting to the Manager, Application Management, Business Systems & Technology, our Business Intelligence Analyst will support our network of retail branches across western Canada. Everyone at each location has a direct influence on our brand in the communities they serve, through the excellent service and support they provide. The success of you and your team stems from your ability to provide superior analytical support and guidance to your internal clients. You have the opportunity to be part of a collaborative and motivated team who all contribute to the achievement of business goals and targets. Provide an expertise of the techniques in modern data science as the pertain to the business and its deliverables Write complex SQL queries to extract and integrate data from multiple database sources (structured and unstructured data) Apply an understanding of the business, our data and workflows, systems, applications and tools to deliver meaningful information and support strategic business decisions Work in multiple data sources and data models to develop advanced reporting and business intelligence analytics Develop clear and concise data visualizations and written interpretations for communication of results to Senior Leadership Document, review and identify opportunities to improve processes and procedures  What does Western offer you? Opportunities to train and develop Extended health and dental benefits (50% Company paid premium) Three weeks vacation plus paid personal days Company-matched investment and saving programs Competitive salary   What we are looking for:  Being successful in this role requires that you have prior Business Intelligence experience so that you can work with other departments to establish best practices in reporting and provide excellent customer service to all your clients. Together with your team, you will contribute to a positive work environment while demonstrating Westerns Guiding Principles. BSc/M.S. in a statistical, mathematical, or technical field (ie computer science) or equivalient experience 1+ years of experience in developing and implementing data science techniques (descriptive, predictive, prescriptive) Proficient in using one more more statistical programming languages (Python/R/SAS) for data science Working experience with one or more multiple data visualization tools like: SpotFire, Tibco, Tableau, Qlikeview, Cognos Analystics Experience in architecting BI & Dashboards solutions using one of the above tools Experience applying Business Intelligence skills to data mining and verification, and analysis of complex data in a professional environment Proven ability in defining, designing, developing and documenting KPI’s for presentation of results to leadership Prior experience recommending solutions to create revenue growth, maximize profits and reduce loss Insurance brokerage industry experience is an asset  Specifics: High River, Alberta Full Time – 37.5 hours/week Monday - Friday schedule"
1293,1293,data scientist,Catalyst Specialist (Relocation to Saudi Arabia),Canada,    Saudi Aramco,https://ca.indeed.com/viewjob?jk=5005200c6966932b,"Req Number: 15602BR  Position Description: We are seeking a Catalyst Specialist to join Chemical division of the Research and Development Center.  The Catalyst Specialist will assess technical and business opportunity and identify potential areas for research and development, and establish strategy and tactics to achieve technical and business goals. Also, you will lead technology development projects including ideas generation, projects planning, catalysts design and synthesis, data evaluation, and presentation; interacting with project scientists and technicians as well as management, proponents and other stakeholders  Minimum Requirements: As the successful candidate, you will hold a bachelor degree in engineering. An advanced degree (Ph.D.) in Chemistry or Chemical Engineering is preferred. You should have minimum of 10 years professional experience relevant to the area of catalyst synthesis, petrochemicals, refinery fields, or other related areas. You should have a strong and proven background in catalyst chemistry and experimental design, and scaling-up of new process, related to petrochemical area. Experience in employing high throughput experimentation for rapid heterogeneous catalyst design and optimization. Solid hands on experience and knowledge in designing, synthesizing, characterizing, and evaluating heterogeneous catalysts for petrochemical application. Ability to identify technical challenges and business opportunities in the petrochemical area. Proven record for proposing patentable ideas and integrating ideas into business. Hands-on experience and knowledge in lab operations and operating/assessing/optimizing catalytic reactors. Good experience and knowledge in scaling-up petrochemical processes and catalysts from lab to demonstration scale. Ability to clearly present information, including experimental data and results, orally and in technical written documentation. Good interpersonal and communication skills. Good team building and management skills. Ability to lead, manage, and work well with different groups and teams.  Duties & Responsibilities:You will be required to perform the following: Lead and efficiently manage research and development projects related to the petrochemical area, to meet objectives, timelines, and budgets. Develop and manage technologies from concept to production within a short time span, and oversee catalyst development using a high throughput research workflow. Supervise and provide technical leadership to a team of scientists and engineers, and be responsible for their training and development. Perform economic evaluation and rigorous financial modeling/analysis, to identify value creation opportunities that align with the company’s strategic objectives. Organize and lead teams for specific projects, and task, manage, and handle discussions with internal and external project reviews. Contribute technically to other projects and provide help and support to other teams. Author technical reports, papers, and generate patent applications as appropriate."
1294,1294,data scientist,Data Scientist: Advanced Analytics (Calgary),"Calgary, AB",    IBM,https://ca.indeed.com/viewjob?jk=e869c302bc663a15,"Job Description IBM Global Business Services helps top-tier clients solve their most complex business and technical issues. As a Data Scientist, you will deliver innovative business consulting, business process design, and application design and management to leading sector organizations in 17 industries worldwide. With access to resources that only a global leader can provide, you will learn valuable skills, gain access to a vast and diverse network of talented professionals, and enjoy unparalleled career, training, and educational opportunities.  Visit http://www.ibm.com/ca / for more information  The Data Scientist will be familiar with key internal and external data sources and how they are gathered and retrieved; experience with manipulation large volumes of data and open source technologies is essential. The incumbent will be experienced with various languages and tools and able to select a suitable tool for the analytics solution or working with data. In addition to broad and deep data and analytics skills, the data scientist has strong business acumen, coupled with the ability to communicate findings to both business and IT leaders in a way that can influence how an organization approaches a business challenge. Incumbents also advise on and select the business problems that have the most value for the organization. A successful candidate must have hands-on experience working with Advanced Analytics (SPSS, SAS, R) with an understanding of data mining and business problem definition (experience with CRISP DM or similar methodology) analytical and quantitative concepts machine learning techniques demonstrated ability to learn new tools and solutions quickly  Required Technical and Professional Expertise  Degree Computer Engineering/Science, Statistics, Machine Learning, Applied Math 5+ years experience using machine learning tools and algorithms Proficiency with Python or R Enhanced reliable security clearance is preferred  Preferred Tech and Prof Experience  10+ years experience using machine learning tools and algorithms Masters preferred Enhanced reliable security clearance is preferred  EO Statement IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
1295,1295,data scientist,Data Scientist/Quantitative Trader (internship),"Calgary, AB",    CWP Energy,https://ca.indeed.com/viewjob?jk=7e69c13136aa187e,"Job Description  Do you want to work in a fast-growing company with many opportunities for advancement? Are you interested in finance and the business community? Are you curious and do you like to be challenged? Do you have a desire to work in a start-up company? If so, join our team! We are currently recruiting a Data scientist to support our traders in their quantitative analysis. This is a unique opportunity to work in a cool and dynamic environment and to draw upon new knowledge. Qualifications  If… You want to work on the collecting, storing, processing, and analyzing of huge sets of raw data at scale (including writing scripts, web scraping, calling APIs, write SQL queries, etc.) You have demonstrated experience in working with large datasets using SQL, Python and R; You have Strong knowledge of and experience with statistics and data mining; You have proven track record in generating P&L with algorithmic trading or machine learning techniques; You have knowledge of the American physical, Virtuals and financial Power Markets is an asset; You have knowledge of financial natural gas Markets is an asset; Then, you are the person we’re looking for! Additional Information  null"
1296,1296,data scientist,Oil Sands Monitoring Cumulative Effects Scientist,"Calgary, AB",    Government of Alberta,https://ca.indeed.com/viewjob?jk=f0a5916cc5171702,"Are you are an environmental scientist with a strong interest in the theory, design and management of complex systems? If so, the Environmental Monitoring and Science Division of Environment and Parks has an exciting opportunity for you!  The Oil Sands Monitoring Cumulative Effects Scientist is responsible for the transition to an integrated, adaptive cumulative effects monitoring system in the Alberta Oil Sands. You will analyze changes in environmental condition to inform reporting and adaptation in monitoring design and to evaluate change relative to predicted trajectories.  To be successful in this role you will have:  Expert knowledge and experience of the application of an adaptive systems approach to monitoring design. Expert understanding and experience of the study design and statistical tools and techniques that support the detection of environmental change Broad familiarity with the diverse scientific disciplines that are engaged in oil sands monitoring.  You will work with EMSD leadership, EMSD staff and scientists, and oil sands monitoring scientists to ensure that monitoring is integrated across media and disciplines according to clearly articulated environmental response pathways and is designed to detect ecologically and culturally relevant change. You must effectively communicate complex scientific issues, concepts and results to a wide range of expert and non-expert audiences to ensure government, industry, and communities can understand and apply the information generated by oil sands monitoring programs.  Your Work Environment: You will primarily be working in an office setting located in Calgary. You will have frequent contact with EMSD staff and scientists in Calgary and Edmonton, other government departments, external stakeholders and communities, and research teams working within and across post-secondary institutions, the Federal Government, scientific organizations, aboriginal communities and industry. Some travel will be required.  Qualifications  The position requires: A Ph.D. in environmental science and 2 years of experience in scientific study design, adaptive monitoring systems design, cumulative effects evaluation, environmental effects monitoring or advanced numerical analysis of large environmental data sets. Equivalencies such as M.Sc. and 4 years of experience as described will be considered.  Assets:  Strong communication and interpersonal skills to build and develop collaborative relationships and deliver information to EMSD leadership, the scientific community and key stakeholders; Ability to influence and lead change processes including conflict resolution and mediation skills; A record of publication in peer-reviewed scientific journals commensurate with established peers with a similar level of experience; Familiarity with the Canadian Oil Sands industry; Familiarity with relevant environmental legislation, regulation, and policy.  Competencies Competencies are behaviours that are essential to reach our goals in serving Albertans. We encourage you to have an in depth understanding of the competencies that are required for this opportunity and to be prepared to demonstrate them during the recruitment process. The links below will assist you with understanding competencies: http://www.psc.alberta.ca/Practitioners/?file=learning/apscompetencies/titlepage&cf=9  http://www.psc.alberta.ca/learning/apscompetencies/apscomp-self-assessment-questionnaire.pdf  Your competencies: Agility - Ability to identify, anticipate, and analyze complex issues and to adapt concepts to novel applications; ability to adapt to new information and constraints. Drive for Results - Ability to successfully manage multiple projects, meet timelines and work under pressure. Build Collaborative Environments - Ability to bridge professional disagreement and to identify common ground. Develop Networks - Build capacity by collaborating with colleagues within and outside of government and in the community. Systems Thinking - Ability to identify critical pathways within complex relationships between environmental pressures and environmental outcomes; ability to apply a systems approach to extract actionable information from environmental monitoring. Creative Problem Solving - Apply systems and approaches developed in other disciplines (e.g. social sciences, engineering) to evaluate environmental change and to manage the monitoring system.  Salary $2,963.75 to $3,904.80 bi-weekly ($77,353 to $101,915 annually)  Notes This is a temporary position for 3 years. This position may be used to fill future vacancies across the Government of Alberta, at equal or lower classification and salary.  What we offer: Comprehensive benefits plan: http://www.psc.alberta.ca/Employees/DocList122.cfm  Pension plan: http://www.pspp.ca/members/publications/PSPP_Member_Handbook.pdf  Health Spending Account: http://www.psc.alberta.ca/Practitioners/?file=benefits/healthspendingacct/overview&cf=2  Leadership and mentorship programs  Professional learning and development  Positive workplace culture and work-life balance  How to Apply Online applications are preferred. Applicants are advised to provide information that clearly and concisely demonstrates how their qualifications meet the advertised requirements, including education, experience and relevant examples of required competencies. Note: As only one file can be uploaded, please ensure your cover letter, resume and any other related documents are submitted in one file. Please ensure that this document is saved using the naming convention of your last then first name (Smith,Joe_Resume). Applicants who apply online will be able to track the status of this competition.  To apply online, for first time users you will be required to create a Careers Account. https://jobs.alberta.ca/applying/how.html Applicants frequently asked questions: https://jobs.alberta.ca/applying/faqs.html Tips for applicants: https://jobs.alberta.ca/applying/tips.html  Please address your cover letter to Human Resources.  If you are unable to apply online, please contact Human Resources at 780-422-7757.  It is recommended that applicants who have obtained educational credentials from outside of Canada and have not had them previously assessed, obtain an evaluation of their credentials from the International Qualifications Assessment Service (IQAS) - http://work.alberta.ca/iqas It is recommended that applicants include the assessment certificate from IQAS or any other educational assessment service as part of their application.  Position Profile Please see the attached position description for a detailed list of the job responsibilities:  http://www.psc.alberta.ca/jobs/positionprofile/pp1048888.htm  Closing Statement We thank all applicants for their interest. All applications will be reviewed to determine which candidates' qualifications most closely match the advertised requirements. Only individuals selected for interviews will be contacted.  If you require any further information on this job posting, please contact Human Resources at 780-422-7757. If this competition is closed as per the closing date noted above, please continue to check http://www.jobs.alberta.ca for a listing of current career opportunities with the Government of Alberta."
1297,1297,data scientist,Data Scientist,"Calgary, AB",    Blackline Safety,https://ca.indeed.com/viewjob?jk=29e29becc8d51773,"Data Scientist Blackline Safety - Calgary, ABBlackline Safety is looking for a Data Scientist to build and drive our Blackline Analytics platform. We have a world class connected safety system and we are building an analytics platform to match.Who are you?You believe big data helps businesses solve real-world problems. You like to explore datasets to find insights that nobody else sees. You know when to use a Pareto chart. You think machine learning is cool. You aren’t bound to a framework or tool and feel comfortable picking up something new if it’s right for the job. You are self-motivated and want to own the delivery of a major component of our offering.What will you do?You will have a high level of ownership of the Blackline Analytics platform. You will be responsible for driving the platform for our customers as well as internal questions and discovery. Your job will include everything from producing reports for customers, garnering insights to reduce quality issues in the field and generating ad-hoc reports to help drive sales. You will own the product from idea all the way to a solution as independently as possible. Your insights will help us evolve our products and services by leveraging large and diverse datasets generated by customers from around the world.About BlacklineBlackline Safety is a world leader in the development and manufacturing of wirelessly connected safety products — we offer the broadest and most complete portfolio in the industry. We monitor personnel working alone in populated areas, indoors within complex facilities, and employees operating in the most remote reaches of our planet. Our products are used to keep people safe in the event of falls, missed check-ins, man-downs and exposure to explosive or toxic gas. Our products save lives. Our design, marketing, customer care, sales and production are all performed in-house at our headquarters in Calgary, AB. Blackline Safety is a publicly-traded company (TSXV: BLN).Requirements: Post-secondary degree (Computer Science, Mathematics, Statistics, Analytics, Information Technology or related)Comfortable with SQL, scripting languages, data shaping and modelingPreviously built and deployed visuals with a major visualization tool such as PowerBI, Tableau, Qlik or SportfireStrong communication skills and experience working with technical teamsComfort troubleshooting and fixing performance issues related to databases and visualization deliveryOptional: Experience with mathematical tools such as Matlab, Minitab or Mathcad would be considered an assetBlackline Safety offers: An exciting high-growth environmentAn experienced, dynamic and motivated teamSupportive, challenging and collaborative workCompetitive salary and vacationMedical, dental and drug benefitsCompany stock purchase plan with matching contributionsOur clients depend on Blackline Safety to monitor their wellbeing of the employees at work — you can help to make a difference. Come work with Blackline Safety in an exciting, fast-paced work environment.This position is located in Calgary, AB and reports into the Product Management team.Job Type: Full-timeEducation:Bachelor'sLocation:Calgary, AB"
1298,1298,data scientist,Spatial Data Analyst (GIS),"Calgary, AB",    Associated Engineering,https://ca.indeed.com/viewjob?jk=80056266403cef78,"Responsibilities include the following: Generating new business opportunities and maintaining client relationships. Delivering figure generation. Performing data cleaning and management. Conducting database design. Performing spatial and data analysis, including building hydraulic models. Working alongside CAD staff on an array of activities. Contributing to and leading multi-disciplinary and complex projects. Working cross-functionally with a dynamic team of environmental scientists and engineers. what you will bring to the table  You should have the following qualifications: Graduate degree in relevant pure or applied science from an accredited post-secondary institution. Minimum 2 years of post-graduation experience in consulting. Progressive knowledge of ESRI and Manifold products; programming, preferably in SQL, Python, VB.NET, VB, and Statistics. Excellent written and verbal communication skills. Ability to work well under pressure and meet deadlines within a team environment. Excellent organization skills and attention to detail."
1299,1299,data scientist,"Research Associate, Senior Analytics Specialist","Calgary, AB",    SAIT,https://ca.indeed.com/viewjob?jk=09e56d75a2ee2d67,"At the Southern Alberta Institute of Technology (SAIT), we are the shapers. The makers. The originals, driven by a passion for excellence and impact. We offer action-based learning, solution-focused research and enterprising collaborations with partners from around the world. We are a global leader in applied education, an Alberta Top Employer and a destination workplace for people empowered to make a difference in the lives of students. Now is an exciting time to join this one-of-a-kind place…SAIT. Applied Research and Innovation Services (ARIS) is SAIT’s exciting gateway to innovation and applied research projects for students, faculty and industry partners. ARIS has 40 full-time researchers and staff, and averages 120 applied-research projects a year. Core research areas include pre-commercialization support in green building, clean energy, sports and wellness and RFID-enabled technology development. Support and services offered include: project evaluation and development; technology design, fabrication, prototyping, testing and validation; and access to grant funding.  We are seeking an experienced Senior Analytics Specialist to be a lead part of an industry focused applied research, development and commercialization program, in association with researchers and engineers at the University of Calgary, SAIT and Industry. This opportunity is directly related to the recently award Canada First Research Excellence Fund (CFREF) Grant and the recently announced Carbon Commercialization Centre. This is a full-time permanent position that reports to the Director of ARIS and works in collaboration with our Centre for Innovation in Information Technology (CIITS).  Job Description  As the Senior Analytics Specialist, you are responsible for developing information driven insights to help identify trends and opportunities and provide solutions based on these insights. You will work closely with the Enterprise Information Services (EIS) team to extract meaning from complex data relationships in order to enhance our ability to better serve our members. You will provide in-depth analysis of Data using Data Mining and Profiling techniques to help us understanding client problems/opportunities and predict future trends. As an Expert in Big Data relationships, you will have the background in trend analysis and predictive modelling required to develop both proposals and reports that enable clients to understand their data and how it can be used to benefit their business. Possessing strong abilities in data and report presentation, the successful candidate will also have the ability to effectively communicate information to ARIS/SAIT staff in a way that is clear and easily understood by end users.  A key role for the position is the continual development of know-how and intellectual property that is ultimately directed at lowering the carbon footprint of Alberta's oil and gas industry. As the Senior Analytics Specialist, you will develop and scale up unique intellectual property and use your requisite knowledge, originality and creativity to enhance processes that have been proven at lab bench scale and are now required to be advanced to second level prototypes and even pilot scale operations.  Duties and Responsibilities Plan, evaluate and oversee new projects, consulting with others as necessary Prepare proposals (government and industry) and budgets, analyze labor costs, write reports, and perform other managerial tasks Understand, analyze and manipulate complex, high-volume data from varying sources using a variety of tools and data analysis techniques. Perform data analysis to identify and interpret trends or patterns in complex data sets Develop predictive modelling and trend analysis tools that anticipate client needs and provide real time solutions to meet those needs Evaluate technical specifications and economic factors relating to the design objectives of processes or product Engage with stakeholders to create unique and/or textbook solutions to scale up issues and solutions for implementation Work regularly and successfully with computers, sensors and other data acquisitions tools Supervise the work of technologists, technicians, and other engineers and scientists. Recruit and performance manage staff with a strong understanding of policies, procedures and collective agreement(s) Participate in project planning committees Qualifications  Must have a minimum of a Master’s degree in Engineering or Computing Science. PhD is preferred Minimum of 7 years’ experience primarily in industry, plus in an academic environment focusing on applied research and commercialization of technologies at TRL5 or greater. Working with other Scientists, Entrepreneurs and Multi-national companies is required Possess a valid driver's license and clean driver’s abstract satisfactory to SAIT Possess a valid passport with the ability and willingness to travel in Alberta and potentially out of Canada occasionally Maintain membership in professional or technical organizations Strong data analysis, data verification and problem-solving abilities Advanced level proficiency with Microsoft Office (Word, Excel, PowerPoint) Strong business acumen and interpersonal skills Strong financial and statistical analysis skills Strong technical knowledge in data mining, reporting tools Good knowledge of databases and data warehouse structures Excellent ability to understand the organization’s goals and objectives Experience using machine learning and/or artificial intelligence frameworks would be a benefit Why Work at SAIT Enjoy a stimulating work environment, a beautiful campus overlooking downtown Calgary and a great benefits package including: comprehensive health and dental coverage, a defined benefit pension plan, professional development programs, generous paid time off, free access to our Wellness Centre, transit subsidies and more. Employee Benefits and Perks To Apply Please continue with the online application process by clicking the Apply Now button or use your Linkedin Profile. All applications should be made through our online system.  If you have any questions about the role please contact working@sait.ca. Please do not apply to this email address; all applications should be made through our online system. All applications must be received by: June 5, 2018 at 4:59PM MST / 5:59PM MDT. Notes SAIT is committed to equity and diversity within its community and invites applications from all qualified applicants. For information on the collection and use of your personal information, please see our Privacy Policy. Click on AD 1.1.1. Personal Information – General Guidelines. SAIT’s vision is to be a global leader in applied education"
1300,1300,data scientist,Manager – Data Scientist,"Calgary, AB",    EY,https://ca.indeed.com/viewjob?jk=b410dd79e7f5f91d,"EY's people in more than 150 countries are committed to operating with integrity, quality and professionalism in the provision of audit, tax and transaction advisory services. We strive to help all of our people achieve their professional and personal goals through an inclusive environment that values everyone's contributions, appreciates diversity of thought, fosters growth, and provides continuous opportunities for development. Recognized as one of Canada's top employers, EY continually strives to be a great place to work.  We are seeking passionate, entrepreneurial individuals to join us on an exciting journey of evolving our next generation Data Science and Big Data platform and building an expanding set of Managed Data Science Services across multiple industries.  The role will be responsible for proactively identifying AI and Machine Learning opportunities within Client portfolios, building, and validating, deploying and monitoring advanced descriptive, predictive and prescriptive machine learning models, including Risk Management, Customer Experience and Journey analytics, Digital Analytics, Customer Segmentation, Customer Acquisition, Churn Management, Next Best Action and many others. Responsibilities:  Effectively partner with Clients to understand and anticipate their needs and guide them towards building AI and Machine Learning solutions delivering both short-term wins and identifying long-term opportunities for managed data science services Build, validate, deploy, monitor and provide DevOps support for a set of AI/Machine Learning models and services for both internal POCs and Client production initiatives, including Risk Management, Customer Experience and Journey analytics, Digital Analytics, Customer Segmentation, Customer Acquisition, Churn Management, Next Best Action and many others. Leverage commercial and open source AI, Machine Learning, Big Data ecosystem tools, BI, Visualization and Discovery tool to deliver advanced models and other Data Science solutions. Specific tools will include (but not limited to), full SAS stack, R, Python, Scala, Java, Spark SQL/ML/MLLib/GraphX, Data Science Notebooks and Workbenches, Azure Machine Learning, Tableau, Datameer, and other tools Proactively monitor and tune AI / Machine Learning model performance, manage champion/challenger models to ensure optimal performance and resource utilization. Ensure all AI/Machine Learning models are properly packaged and documented for deployment. Participate in client training and knowledge transfer as required. Ensure all solutions comply with the highest levels of security, privacy and data governance requirements as outlined by EY and Client legal and information security guidelines, law enforcement, and privacy legislation, including data anonymization, encryption, and security in transit and at rest and others as applicable Effectively leverage continuous integration, continuous development and continuous deployment agile and DevOps tools and processes to deliver and support advanced Data Science and Big Data solutions and services, including Git, Jira, Jenkins and others as required Acts as a Subject Matter Expert and a Thought Leader, continuously following industry trends, the latest competitive developments, and delivering papers and presentations at major industry conferences and events.  Qualification/Requirements  A degree in AI, Machine Learning, Statistics, Economics/Econometrics, Computer Science, Engineering or equivalent Data Scientist certification, including Hadoop, Spark or equivalent production experience Proficiency and an in-depth understanding of the Predictive Modeling Lifecycle and best practices for feature engineering, model development and tuning (hyper-parameter, ensemble modeling techniques, deep learning), model validation, model deployment packaging, model management and performance monitoring 7+ years of extensive experience building Predictive Machine Learning and AI models for Customer Experience, Customer Journey analytics, Customer Segmentation, Churn modeling, Lookalike Modeling or equivalent use cases 5+ years of experience with Text Mining, NLP and Sentiment Analysist 5+ years of production experience with SAS platform, including, Base, Stat, ETS and other core packages, client tools – Enterprise Guide (EG), Enterprise Miner (EM), Visual Analytics (VA), Visual Statistics (VS), SAS Studio Experience running SAS 9.4 on Hadoop – SAS/Access or in-database SAS HPA Experience with SAS Risk and Finance modeling modules and workbenches would be an asset Experience with SAS Decision Manager would be an asset Experience with SAS Text Mining and Sentiment Analysis (SA) would be an asset Experience with Open source AI / Machine Learning / Data Science tools – R, Python, Spark. Including experience working with Notebooks (Zeppelin, Jupyter) and Data Science Workbenches (Azure, DSX) Experience with Spark-based machine learning, including Spark SQL, ML, MlLib, GraphX Experience with Deep Learning on CPUs and GPUs, including ANN, CNN, RNN frameworks like TensorFlow/Keras, MXNet or equivalent would be an asset. Experience with Azure Machine Learning would be an asset  EY is committed to inclusiveness, equity and accessibility. We encourage all qualified candidates to apply."
