,Unnamed: 0,Job Type,Title,Location,Company,Job_Url,Job_Description
1781,1781,project manager,Project Manager,"Calgary, AB",    AWI (Anthratech Western Inc.),https://ca.indeed.com/viewjob?jk=d567c7f0bbf74a1c,"AWI’s Project Manager is responsible for planning and executing water filtration related projects. They actively participate in a design team consisting of AWI’s Technical Advisors, other Project Managers and Draftsperson/Designer.At Anthratech Western Inc. (AWI) we provide water treatment solutions for industrialand municipal water and wastewater treatment plants across Canada and in select international markets. AWI is privately owned, with the head office and research and development facility located in Calgary, Alberta.Responsibilities and Duties: Defining the site-specific project scope and schedule.Procurement of components and coordination of delivery logistics.Travelling to work sites to attend meetings and complete inspections.Monitoring project process and communicating status updates to internal and external stakeholders.Scheduling and monitoring AWI’s on-site responsibilities, including equipment installation, performance testing and commissioning.Collaborate with AWI’s Document Specialist to develop project related documentation.Ensuring all aspects of the project meet company and worksite safety standards.Managing unexpected tasks that may arise, including troubleshooting requests, onsite services/repairs and small-parts orders.Supporting coworkers through collaboration, cross training and information sharing.Candidate RequirementsOur ideal candidate will have:A diploma in Engineering Technology or equivalent technical education/background.At least five-years of project management experience in a related field. Experience in a construction, engineering or similar work environment a strong asset.Project Management Professional certification an asset.A valid Alberta driver’s license (class 5) and a clean driver’s abstract.Personal and professional skills desired:Demonstrated ability to take initiative, work independently and use critical thinking to problem-solve.Ability to analyze and interpret technical information and engineering drawings.Strong communication skills (both verbal and written). Bilingual (Eng/Fre) language proficiency a strong asset.Customer service focus, with the ability to develop and maintain positive working relationships with internal and external stakeholders.Hours of WorkCore office hours are Monday to Friday 8:00 a.m. to 4:30 p.m. Occasional travel is required.CompensationCompensation will take into account the background, range of skills, knowledge and experience that the successful candidate brings to the opportunity. Following the probationary period, AWI employees are eligible for a comprehensive employee health insurance program with a health care spending account. After one year of service, AWI employees may be eligible for the AWI RRSP matching contribution plan.By submitting your resume, personal information and references to Anthratech Western Inc. you acknowledge and consent to AWI contacting your references and verifying education in order to determine your suitability for this employment opportunity.Candidates being considered for this position must pass AWI’s standard background check and screening process.The position will remain open until a suitable candidate is found. We thank all applicants for their interest, however, only those selected for further consideration will be contacted. No telephone, walk-in or agency inquiries.Job Type: Full-timeExperience:project management: 5 years"
1782,1782,project manager,Project Manager,"Calgary, AB",    LW Survey Canada,https://ca.indeed.com/viewjob?jk=a5a0d59a13af2aa3,"LW Survey Canada is an industry leading Geomatics provider to the energy industry. Our committed and innovative approach to using and developing new technologies enables us to provide superior quality assured and cost-effective solutions to meet our clients needs.As we expand our operations in Western Canada, we are currently looking for a Project Manager with construction and civil surveying experience. This truly unique opportunity will enable the committed individual to expand their career potential alongside the growth and enthusiasm of LW Survey Canada.Our ideal candidate will have above average technical, organizational and communication skills.ResponsibilitiesCommunicate effectively with Field Supervisors and Clients with daily project requirementsResponsible for field data review, quality control and autocad plan preparationCommunicate effectively with supervisors, project managers and clients on a daily basisThorough understanding of conventional survey practices, GPS and geospatial dataAble to understand a safe work environment and be able to perform all job task in a safe mannerEducation and ExperienceGeomatics/Survey Engineering DegreeAlberta Land Surveying designation added bonusMinimum five years relevant Project Management experienceSoftware experience: Trimble Business Center, Trimble RealWorks, Autocad Civil 3D, ArcGIS and Pix4DEmployment EnvironmentPosition is located in LW Survey head office in downtown Calgary, ABLW Survey offers a full benefit package and wage will be commensurate to applicable experience.Job Type: Full-time"
1783,1783,project manager,Senior Project Coordinator,"Calgary, AB",    Icon West Construction Corp.,https://ca.indeed.com/viewjob?jk=b85479b955d335ef,"About usWith significant projects completed in Canada including Fairmont Pacific Rim and Shangri-La Toronto, as well as several innovative and engaging developments underway such as Vancouver House and TELUS Sky, ICON is a multi-disciplined construction company dedicated to the art of city building and producing state-of-the-art developments with careful consideration to sustainability.Our team is comprised of talented individuals who are leaders in their industry. We have succeeded in creating some of the most important community developments. Our impressive project portfolio not only enforces our drive to partner with the best developers in North America, but our strong professional standards ensure that we are one of the best construction companies in Canada.About the roleWe have an exciting opportunity for a Senior Project Coordinator to join the experienced team working on the highly anticipated TELUS Sky building in Downtown Calgary.As Senior Project Coordinator, you will be responsible for coordinating activities and resources by working closely with the project team members and decision makers to identify and support project delivery. This includes;Assisting the Project Manager to ensure the project meets budget and scheduleMaintains project file management systemsDevelops and maintains excellent relationship with sub-trades and clientsTakes full ownership of the change order process, including proving, negotiating, processing and assessing cost and schedule impact prior to reviewing with Project ManagerTrack project deliverables and provide reporting on project progress and action itemsAssist the Project Manager with issuing subcontracts and monitors their progressEnforces contractual responsibilities with subcontractorsInvolved in all facets of project closeout, including archiving documents, execution and strategy through innovation thinkingEnsure adherence to company policies and proceduresAd-hoc tasks as required by the Project teamAbout youWe are looking for a passionate and forward thinking Senior Project Coordinator with the following attributes;Experience in High-rise Construction projects preferredStrong experience in Change Order Management essentialKnowledge of Procore software advantageousHigh attention to detail and organisation skillsKnowledge of Alberta building code and regulationsIntermediate skills in Microsoft office suiteConfident negotiator and conflict resolution skillsEffective communication skills at all levelIf you want to be on this journey with us, please click apply now!Job Types: Full-time, Contract, Permanent"
1784,1784,project manager,Project Manager - Calgary,"Calgary, AB",    Harvard Property Management Inc.,https://ca.indeed.com/viewjob?jk=26da3d0fa5b8801e,"Harvard Property Management Inc. has an immediate opening for a Project Manager to join its team. Harvard is a full service real estate management company based in Western Canada that is recognized for its reputation in leadership, flexibility, quality and performance. The company oversees 8.8 million square feet of commercial properties with regional offices in Regina, Calgary, Edmonton and Winnipeg.This position will report to the Senior Project Manager and will be part of a Project Management team providing capital project management to external and internal clients. The Project Manager is responsible for the coordination, contract administration and successful delivery of a variety of leasing construction and capital projects throughout Harvard’s managed portfolio. The ideal candidate will possess the ability to maintain positive, mutually beneficial working relationships with both internal and external stakeholders. The Project Manager will also assist the Technical Services team in achieving its goals and objectives. This high level of commitment to service requires the employee to be flexible in their work hours which includes after-hours coordination & available for response 24 hours each day, except during excused absence.Pre-construction and planning responsibilities include accurate cost estimating, budgeting, preliminary scheduling and design consultation; along with development of RFP’s for design and engineering services, construction tendering documents, evaluation and interpretation of contract documents, and award verification with the owner. Upon award, duties include project scheduling, stakeholder coordination, communication, on-site quality control, cost control, contract administration and post construction wrap up.What you will bring to the job: - 5 or more years’ experience within a commercial construction environment, ideally within occupied buildings;- The completion of a PMP designation is an asset;- Familiarity with local regulatory, consulting and construction industry participants, practices and permitting;- Strong communication, collaboration and conflict resolution skills that enable positive and beneficial relationships;- Demonstrated organizational, analytical and problem solving abilities to consistently meet deadlines;- The ability to work independently using personal initiative and sound judgment;- Advanced technological skills in a Microsoft Office workplace environment;- Availability to work outside regular business hours as required to supervise work in progress; and- Willingness to travel and assist in project management opportunities wherever Harvard conducts business.What you will receive: - Flexible scheduling of work hours in a performance driven and merit based work environment;- Competitive salary, incentive pay and benefits, health plan, retirement savings plan & group RRSP;- Additional benefits including children’s scholarship and a wellness program;- Comprehensive orientation, training and support; and- Encouragement of lifelong learning through education and training opportunities.Harvard is committed to providing challenging and rewarding employment opportunities. If you feel you are the person we are looking for in this position, please apply with your resume in confidence through the Careers tab at　www.hillcompanies.com.Job Type: Full-time"
1785,1785,project manager,Project Management Consultant,"Calgary, AB",    City of Calgary,https://ca.indeed.com/viewjob?jk=2c383a5cee60d0ee,"If you are committed to public service, enjoy collaborating with others, share our values and have a desire to learn and grow, join The City of Calgary. City employees deliver the services, run the programs and operate the facilities which make a difference in our community. We support work-life balance and offer competitive wages, pensions, and benefits. Together we make Calgary a great place to make a living, a great place to make a life.   The Corporate Project Management Center's (CPMC) purpose is to support the advancement of project management excellence across The City of Calgary. As a member of the CPMC team, you will work closely with senior management, project managers and diverse project teams across the corporation to support effective project prioritization, planning and delivery through the implementation of project management principles and practices. This will be accomplished through consultations with stakeholders to determine their needs and to work collaboratively with them on solutions that address those needs. Primary duties include:  Consult with stakeholders to develop strategies to implement proven project management practices. Help project managers and project teams with the development of plans and delivery strategies to ensure project success. Apply a variety of tools and techniques to projects across a number of different business areas including infrastructure construction projects, policy development, business planning and information technology. Consult with stakeholders to develop and implement appropriate Project Management Maturity Models and Assessment Methodologies. Apply Quality Management concepts and approaches to the project management process that will enable continuous improvement.   Qualifications Degree in Business, Public Administration, Political Science or a related field plus a minimum of 4 years of progressive project management experience. Experience with Project Management Maturity Models would be considered an asset. Experience with Quality Management techniques would be considered an asset. A Project Management Professional (PMP) certificate would be considered to be an asset. Experience in a municipal government or other public sector environment is also an asset. Excellent communication, process management, change management and research skills along with a strong sense of political sensitivity. Equivalent combinations of experience and education may be considered. Pre-employment Requirements Successful applicants must provide proof of qualifications.  Union: Exempt (Jurisdiction Under Review)   Business Unit : Corporate Analytics & Innovation Position Type : Permanent Location : 800 Macleod Trail S.E. Compensation : Level E $77,891 – 117,609 per annum (Under Review) Days of Work : This position works a 5 day work week with one day off in a 3 week cycle. Hours of work: Standard 35 hour work week Audience : Internal/External Apply By : May 30, 2018  Job ID # : 300855"
1786,1786,project manager,Project Manager - Level 1,"Calgary, AB",    Government of Canada,https://ca.indeed.com/viewjob?jk=a8480049f8b10b55,"Public Services and Procurement Canada - Project Management  Calgary (Alberta), Edmonton (Alberta), Winnipeg (Manitoba), Regina (Saskatchewan)  EN-ENG-04  $90,395 to $105,427 For further information on the organization, please visit Public Services and Procurement Canada Closing date: N/A Who can apply: Persons residing in Canada and Canadian citizens residing abroad. Apply online Important messages When you apply to this selection process, you are not applying for a specific job, but to an inventory for future vacancies. As positions become available, applicants who meet the qualifications may be contacted for further assessment. **VERY IMPORTANT NOTE.In addition to a resume, you must answer all screening questions demonstrating how you meet the education and experience requirements as well as the asset qualifications.Please describe in detail using concrete examples, how you meet the experience and education required. It is not sufficient to only state that the requirement is met or to provide a listing of current responsibilities. FAILURE TO PROVIDE SUFFICIENT AND APPROPRIATE INFORMATION MAY RESULT IN ELIMINATION FROM THE PROCESS. Work environment As an organization, PWGSC strives to give all its employees opportunities to achieve organizational, professional and personal goals in a respectful and inclusive workplace, mobilized and supported by leadership at all levels. For more information on PWGSC's People Management Philosophy and Our Commitments please see the following link:http://www.tpsgc-pwgsc.gc.ca/apropos-about/pe-pc-eng.html  Public Works and Government Services Canada (PWGSC) helps the Government of Canada serve Canadians. With a strong focus on quality customer service, we provide innovative common services such as real estate and building management, purchasing, banking, pay and pensions, auditing and translation to other government departments, agencies and boards. By providing these centralized services to departments and agencies, we enable them to focus on what they do best: providing their programs and services to Canadians. Intent of the process A pool of qualified candidates may be established from this process which may be used to staff similar positions with various tenures. Positions to be filled: Number to be determined Information you must provide Your résumé.  You must meet all essential qualifications in order to be appointed to the position. Other qualifications may be a deciding factor in choosing the person to be appointed. Some essential and other qualifications will be assessed through your application. It is your responsibility to provide appropriate examples that illustrate how you meet each qualification. Failing to do so could result in your application being rejected.  In order to be considered, your application must clearly explain how you meet the following (essential qualifications) Education: Graduation with a degree from a recognized post-secondary institution in an engineering specialty relevant to the duties of the position OR Certification as a Professional Engineer in Canada Degree equivalency Experience: Major experience in managing architectural real property projects.Major is a combination of: single or multiple projects ranging up to $20M total project value variety of technically complex new construction and renovation projects managing multi-disciplinary project teamsA minimum of approximately five years in project delivery.Experience in managing real property projects including providing advice to clients.Experience in managing procurement process related to project delivery such as DBB, DB, CM.Experience in managing resources in project delivery. The following will be applied / assessed at a later date (essential for the job) English essential Information on language requirements Knowledge: Knowledge of project management practices.Knowledge of construction practices and techniques.Knowledge of management in organizing multi-disciplinary teams to deliver projects.Knowledge of contract and procurement management. Key Competencies: Values and Ethics.Thinking things through – innovating through analysis and ideas.Engagement – working effectively with people, organizations, partners.Excellence through results – delivering through own work, relationships and responsibilities.Client Service Level 1. The following may be applied / assessed at a later date (may be needed for the job) Asset Qualifications: Certification as a Project Management Institute (PMI) Project Management Professional (PMP)Knowledge of government construction and consultant procurement processes and administration.Knowledge of relevant federal, provincial and municipal acts, regulations, codes and standards.Knowledge of National Project Management System (NMPS). Operational Requirements: Willingness and ability to travel.Possession of a valid driver's license. Conditions of employment Reliability Status security clearance Other information All job applications must be submitted through jobs.gc.ca. Do not fax, email or mail hard copy documents as these will not be accepted. To submit an application online, please click on the button “apply now”.  Reference checks will be sought.  An interview will be administered.  A written examination may be administered.  Candidates must meet the essential qualifications to be appointed to a position.  Candidates may be required to meet the asset qualifications or the organizational needs, depending on the requirements of the specific position being staffed.  Depending on the requirements of the position(s) being staffed from this process, for current or future vacancies, any or all of the asset qualifications, operational requirements, and organizational needs may be applied at the time of screening.  PLEASE NOTE: Top-down consideration of scores at any stage of this process may be used to determine the number of qualified candidates who will be considered further in the process.  You must be prepared to provide the original or a certified true copy of your educational credentials.  Persons are entitled to participate in the appointment process in the official language of their choice. Applicants are asked to indicate their preferred official language in their application.  Key Competencies: http://www.tbs-sct.gc.ca/psm-fpfm/learning-apprentissage/pdps-ppfp/klc-ccl/eff-eng.asp#employee  Client Service Level 1: Delivers high-quality client service Behaviours required to effectively respond to diverse client needs and maintain positive relationships with clients. Listens actively to clients, demonstrates an understanding of diverse client needs and fosters effective two-way communication.Communicates with clients in a timely manner to provide necessary information and services and to identify potential issues.Gathers information and consults appropriate parties, when needed, to follow up on client requests.Resolves client service issues, including urgent ones, in a timely manner.Follows applicable government policies, regulations and procedures impacting client service.Demonstrates an understanding of own roles and responsibilities, and those of other parties involved in providing client services.Prioritizes own work to meet client needs within agreed and sometimes tight timelines. The Public Service of Canada is committed to building a skilled, diverse workforce reflective of Canadian society. As a result, it promotes employment equity and encourages candidates to indicate voluntarily on their application if they are a woman, an Aboriginal person, a person with a disability or a member of a visible minority group.  The Public Service of Canada is also committed to developing inclusive, barrier-free selection processes and work environments. If contacted in relation to a job opportunity or testing, you should advise the Public Service Commission or the departmental official in a timely fashion of the accommodation measures which must be taken to enable you to be assessed in a fair and equitable manner. Information received relating to accommodation measures will be addressed confidentially. Preference Preference will be given to veterans and to Canadian citizens, in that order.  Information on the preference to veterans"
1787,1787,project manager,Project Planner,"Calgary, AB",    HUSKY ENERGY INC,https://ca.indeed.com/viewjob?jk=d0ecaf71ba646a39,"Project Planner-00043414-20180406 Description One of Husky’s advantages is that we are an integrated oil and gas company. From exploration to development, production, refining and marketing, we’ve got it all! Combine this with a range of learning and development tools and an inclusive work environment, and you are well-positioned for a successful career at Husky.  We have training, mentoring and career development programs and resources to help you develop both personally and professionally – as an employee or a leader. We offer many internal leadership and business skills courses along with tuition reimbursement programs for qualified employees. Every year, a significant number of our employees are able to take on new roles within the company thanks to our strong focus on hands-on learning and development. Husky is currently looking for aProject Planner at their Calgary, Alberta location.  The Project Planner is responsible for the development, implementation and sustainment of small projects portfolios, in addition to assisting the Planning & Scheduling team in meeting its functional objectives. This includes: front end planning support to projects and initiatives within Business Units, developing and maintaining project schedules by coordinating with project stakeholders to ensure successful project execution. The Project Planner is also responsible for coordinating the development and production of project status reporting. Specific responsibilities will include: Support development, implementation and sustainment of small project portfolio planning and controls Assist in front end conceptual planning for projects Develop and baseline project schedules Provide planning/scheduling support to projects in execution Provide support to plan and manage resources for projects Provide support in developing progress measurement systems Support functional initiatives to improve project planning & scheduling practices Qualifications Our ideal candidate will have the following qualifications: Post-Secondary degree in Chemical or Mechanical Engineering P. Eng Minimum 4-6 years’ experience in project planning & scheduling Minimum 4-6 years’ experience in progress and productivity measurement Understanding of Cost Control, Change Management, Estimating and Risk Management, 4-6 years Proficient in Primavera, MS Project and MS Windows, 4-6 years Minimum 2-3 years’ experience in project reporting (Progress Reports, Dashboards) Experience in gathering and analyzing large amounts of project cost and progress data Experience in small projects (TIC < $5 Million) portfolio planning Minimum 3-5 years’ experience in oil and gas industry Exposure to construction site and front end engineering development Knowledge of computer programming (C++, VBA etc) Experience with Primavera EPPM (Enterprise Project Portfolio Management) At Husky, we respect diversity and embrace an inclusive culture. We value uniqueness and different perspectives as they play a critical role in our success. To achieve this, individuals are selected based on qualifications, merit, and abilities and we encourage applications from everyone including visible minorities, Aboriginal people, women, and persons with disabilities. Husky Energy is an integrated Canadian energy company. It is headquartered in Calgary, Alberta, and is publicly traded on the Toronto Stock Exchange under the symbol HSE. The Company operates Upstream and Downstream business segments, with operations in Canada, the United States, China and Indonesia.  Husky's balanced growth strategy focuses on consistent execution, disciplined financial management and safe and reliable operations. Interested candidates must apply online at: www.huskyenergy.com/careers. Only those candidates who apply via Husky's online application process can be considered. We thank all applicants for their interest in our organization; however, only short-listed applicants will be contacted. #LI-Post Job Technologist Primary Location CA-AB-Calgary"
1788,1788,project manager,Project Management Officer,"Calgary, AB",    Government of Canada,https://ca.indeed.com/viewjob?jk=170cc0dc04ce0446,"Public Services and Procurement Canada - Project Management  Calgary (Alberta), Edmonton (Alberta), Winnipeg (Manitoba), Regina (Saskatchewan)  EG-06  $67,565 to $82,200 For further information on the organization, please visit Public Services and Procurement Canada Closing date: N/A Who can apply: Persons residing in Canada and Canadian citizens residing abroad. Apply online Important messages When you apply to this selection process, you are not applying for a specific job, but to an inventory for future vacancies. As positions become available, applicants who meet the qualifications may be contacted for further assessment. **VERY IMPORTANT NOTE: In addition to a resume, you must answer all screening questions demonstrating how you meet the education and experience requirements as well as the asset qualifications. Please describe in detail using concrete examples, how you meet the experience and education required. It is not sufficient to only state that the requirement is met or to provide a listing of current responsibilities. FAILURE TO PROVIDE SUFFICIENT AND APPROPRIATE INFORMATION MAY RESULT IN ELIMINATION FROM THE PROCESS. Work environment As an organization, PWGSC strives to give all its employees opportunities to achieve organizational, professional and personal goals in a respectful and inclusive workplace, Mobilized and supported by leadership at all levels. For more information on PWGSC's People Management Philosophy and Our Commitments please see the following link: http://www.tpsgc-pwgsc.gc.ca/apropos-about/pe-pc-eng.html  Public Works and Government Services Canada (PWGSC) helps the Government of Canada serve Canadians. With a strong focus on quality customer service, we provide innovative common services such as real estate and building management, purchasing, banking, pay and pensions, auditing and translation to other government departments, agencies and boards. By providing these centralized services to departments and agencies, we enable them to focus on what they do best: providing their programs and services to Canadians. Intent of the process A pool of qualified candidates may be established from this process which may be used to staff similar positions with various tenures (indeterminate and/or term). Positions to be filled: Number to be determined Information you must provide Your résumé.  You must meet all essential qualifications in order to be appointed to the position. Other qualifications may be a deciding factor in choosing the person to be appointed. Some essential and other qualifications will be assessed through your application. It is your responsibility to provide appropriate examples that illustrate how you meet each qualification. Failing to do so could result in your application being rejected.  In order to be considered, your application must clearly explain how you meet the following (essential qualifications) Education: Post-secondary diploma in a field related to design and construction of real property works from a recognized technical institute. Degree equivalency Experience : Experience in managing minor <$15M value projects with minor to moderate complexity technical architectural and engineering projects. Experience in managing project budgets and teams in project delivery. Experience in project and contract document preparation for real property projects. Experience in providing advice to clients on technical architectural and engineering projects. **Experience is defined as a minimum of approximately 5 - 8 years The following will be applied / assessed at a later date (essential for the job) English essential Information on language requirements Knowledge: Knowledge of project management practices Knowledge of technical engineering practices and codes Knowledge of management in organizing multi-disciplinary teams to deliver projects Knowledge of contract and procurement management Key Behaviours: Values and Ethics Thinking things through – innovating through analysis and ideas Engagement – working effectively with people, organizations, partners Excellence through results– delivering through own work, relationships and responsibilities Client Service Level 1 The following may be applied / assessed at a later date (may be needed for the job) Asset Qualifications: Knowledge of relevant federal, provincial and municipal acts, regulations, codes and standards Knowledge of National Project Management System (NMPS) Operational Requirements: Willingness and ability to travel. Possession of a valid driver's license Conditions of employment Reliability Status security clearance Other information Do not fax, email or mail hard copy documents as these will not be accepted. To submit an application online, please click on the button “apply now”.  Reference checks will be sought.  An interview will be administered.  A written examination may be administered.  Candidates must meet the essential qualifications to be appointed to a position.  Candidates may be required to meet the asset qualifications or the organizational needs, depending on the requirements of the specific position being staffed.  Depending on the requirements of the position(s) being staffed from this process, for current or future vacancies, any or all of the asset qualifications, operational requirements, and organizational needs may be applied at the time of screening.  You must be prepared to provide the original or a certified true copy of your educational credentials.  Persons are entitled to participate in the appointment process in the official language of their choice. Applicants are asked to indicate their preferred official language in their application.  PLEASE NOTE: Top-down consideration of scores at any stage of this process may be used to determine the number of qualified candidates who will be considered further in the process.  Key Competencies: http://www.tbs-sct.gc.ca/psm-fpfm/learning-apprentissage/pdps-ppfp/klc-ccl/eff-eng.asp#employee  Client Service Level 1: Delivers high-quality client service Behaviours required to effectively respond to diverse client needs and maintain positive relationships with clients. Listens actively to clients, demonstrates an understanding of diverse client needs and fosters effective two-way communication.Communicates with clients in a timely manner to provide necessary information and services and to identify potential issues.Gathers information and consults appropriate parties, when needed, to follow up on client requests.Resolves client service issues, including urgent ones, in a timely manner.Follows applicable government policies, regulations and procedures impacting client service.Demonstrates an understanding of own roles and responsibilities, and those of other parties involved in providing client services.Prioritizes own work to meet client needs within agreed and sometimes tight timelines. The Public Service of Canada is committed to building a skilled, diverse workforce reflective of Canadian society. As a result, it promotes employment equity and encourages candidates to indicate voluntarily on their application if they are a woman, an Aboriginal person, a person with a disability or a member of a visible minority group.  The Public Service of Canada is also committed to developing inclusive, barrier-free selection processes and work environments. If contacted in relation to a job opportunity or testing, you should advise the Public Service Commission or the departmental official in a timely fashion of the accommodation measures which must be taken to enable you to be assessed in a fair and equitable manner. Information received relating to accommodation measures will be addressed confidentially. Preference Preference will be given to veterans and to Canadian citizens, in that order.  Information on the preference to veterans"
1789,1789,project manager,Executive Project Manager,"Calgary, AB",    Jacobs,https://ca.indeed.com/viewjob?jk=3b606743015e6bdb,"This position performs all project management responsibilities for large scale Refining and Chemicals projects, including originating, start-up and management of large scale projects in the Engineering Construction industry valued at $500 million plus. The individual is responsible for planning, directing, supervising and controlling all technical, fiscal and administrative functions of contractual activities. An Executive Project Manager at this level will supervise one or more lower level Project Managers or the entire project staff.  Develop execution strategy/plans and manage the strategic and tactical aspects of large EPC/CM complex projects/programs which are of company-wide interest and may involve traveling, relocation or operating from a satellite office Responsible for the total execution and management of medium size Engineering, Procurement and Construction process industry projects including administration of the project, schedule and budgetary performance, quality, safety and technical detail. Candidate will be placed in the position of presenting themselves and company to the client in a professional manner. Candidate will be responsible for presentations prior to contract award, contract negotiations and ongoing project meetings/problem resolution sessions. Will handle the full performance of every phase of a major project or a group of smaller projects. Be the Safety Leader for the project and promote Jacobs � Beyond Zero� culture Utilize your skills and expertise to properly establish the project foundation based on a comprehensive understanding of the client's scope of work, budget, schedule and contractual terms and conditions Schedule and manage resources to attain cost and schedule certainty and the major project/program objectives Make responsible, strategic decisions on matters in the implementation of major projects and/or programs subject to company objectives, policy and financial controls. Apply your leadership skills to manage client and internal change; accountable to client and Jacobs for successful control and project outcome As a Leader, clearly communicate project status in terms of cost, schedule, scope and quality, in a manner consistent with client requirements As the Jacobs focal point for the project, develop and maintain positive relationships with client personnel at all levels of management, including support and participation in presentations to client's executive management team Encourage and implement successful work share execution for all engineering work Drive operational excellence by utilizing Calgary work instruction and Jacobs' standard operating procedures In a collaborative manner develop and expand our client portfolio, including support for Business Development efforts Support continuous improvement for project management/execution systems, work processes and procedures Assist in the training of project management staff Proactively participate in project reviews and audits Qualifications Qualified candidates must have previous experience on well-known projects and/or with well-known organizations within engineering and construction, including Chemicals or Hydrocarbon Projects. Candidates must have the following: A minimum of 20 years of project management experience, with 5 years specific to field experience and EPC/CM execution required BS or MS degree, significant technical expertise, and demonstrated record of leading project teams to success as a Project Manager is required Possess an expert level of competency in project management and the ability to identify/avoid potential problems or mitigate as they occur is required Experience should include managing $500+ Million TIC Projects in the Oil and Gas industry preferred Strong communication and leadership skills with detailed familiarity with project management tools, work share and effective leadership skills is preferred  At Jacobs, we help prepare people for new opportunities and challenges. With positions at every level, openings in multiple disciplines, expertise in a range of markets and offices around the globe, we create an environment where you can learn, grow, and thrive. From our competitive benefits program to our Health and Safety initiative of Beyond Zero workplace injuries, we believe that you'll find a flourishing career here at Jacobs."
1790,1790,project manager,"Estimator/Project Manager, Rocky View, AB","Rocky View, AB",    Primary,https://ca.indeed.com/viewjob?jk=60ad97c7fa52382e,"Primary Engineering and Construction Corporation (Primary) is a growth-oriented industry leader providing professional electrical engineering and construction services and specializing in emerging marketplaces in Alberta, British Columbia and Saskatchewan.  We offer design and design/build services for all types of electric utility distribution infrastructure to a wide variety of clients including electric utility companies, developers, builders, commercial and industrial businesses, oil companies, government, and private contractors. We pride ourselves on the backbone of our organization as a team of dedicated veterans with a combined 175+ years of experience in utility distribution design, maintenance, and construction. Our devotion to excellence has attracted some of the best young professional minds to our company.  We are looking for an experienced Estimator / Project Manager – Construction, accountable for estimating and project management of Electrical Utility Supply and Build Construction Projects in the Calgary area.  Your duties and responsibilities:  Maintain estimates and accuracy of estimating data in the company estimating system; Prepare construction only estimates and material take-offs for projects that support all supply/install RFP & RFQ responses; Manage projects supply / install projects quoted over $1.0m and maintain accurate project scope control; Request cost quotations from internal design, material and construction resources; Liaise with customers to negotiate and define project scopes and schedules. Be single point of contact with clients for supply and build; Verify project production progress and completion to support customer invoicing; Verify receipt of project goods purchased, or services procured, to support payment of supplier invoices; Prepare and execute customer and vendor contracts, authorize production of customer invoices and payment of supplier expenses, for the projects you sell and manage within the company signing authority policy. Escalate documents to necessary authorization levels, with recommendation for management to approve, where appropriate; Define scope and costs and market value of change orders, as required by projects. Negotiate change order acceptance with customers and suppliers; Manage customer and vendor contracted cost and project scheduling commitments; Effectively communicate with all project stakeholders on an ongoing basis; Support and assist construction supervisors in their day to day activities and tasks such as billing, as built documentation and drawings, project and contract management as time permits; Create and maintain accurate project revenue and expense budgets and schedules, including change order values, on a timely basis in company systems; Verify accuracy of monthly Work in Progress (WIP) financial reporting of the projects you sell and manage; Summarize and evaluate project financial outcomes at completion. Produce variance reports for senior management when required; Maintain estimates and accuracy of estimating data in the company estimating system.  The eligible candidate must:  Minimum 2 years post-secondary education; Minimum 5 years’ experience in electrical utility project estimating and project management; Demonstrated experience with, or exposure to, join use utility design and construction projects; A few qualifications that will help you succeed: Estimating, design, strong computer skills and ability to learn new applications efficiently; Detail driven, adaptable, excellent time management skills, problem solving and planning skills; Strong skills in written and verbal communication – ability to multi-task.  Primary offers a highly competitive compensation package including, competitive salaries, bonuses, Health & Dental benefits, flexible work schedules, paid vacation, Company Matching RRSP, flex days, and a number of career and professional development opportunities  If you are ready for a new challenge and want to make a difference in the industry, please send your resume in confidence to careers@primaryeng.com  **Please Note, you must be a Canadian Citizen or have a valid work permit**  We thank all candidates for their application however, only those selected for an interview will be contacted.  *Please see www.primaryeng.com for this and other positions we are recruiting."
