,Unnamed: 0,Job Type,Title,Location,Company,Job_Url,Job_Description
1742,1742,qa engineer,Web Application Software Developer,"Calgary, AB",    Network Innovations Inc.,https://ca.indeed.com/viewjob?jk=9013d7cc1f7cfc68,"Job title: Web Application Software DeveloperDepartment: Product DevelopmentLocation: Calgary, CanadaJOB DESCRIPTIONAbout Network InnovationsNetwork Innovations is a leading provider of Satellite & Communications services including VSAT networks, Mobile broadband, Push-to-Talk and Satphone solutions. NI serves clients across the globe in the Government, Media, Energy, Maritime, and Aero markets. With headquarters in Calgary, Canada, we have regional offices across North America, Europe, and Asia Pacific, and we work with over 200 partners operating globally.Job purposeThis role is responsible for designing, developing, and testing web applications (front and back end) that are available 24/7 with thousands of active users and API sessions. Active participation in defining the services architecture and interfaces is expected, and you will have the opportunity to work with product management and customers to shape our products.These web applications will aid our customers and service partners to easily use, deploy, and manage network services provided by NI.Duties and responsibilitiesDesign, prototype, implement, test, and document full stack (front and back end) web applications, and RESTful APIs.Design for usability with responsive web user interfaces.Design for scalability and reliability (24/7 operations – minimal maintenance down time) with continuous integration.Work with DevOps to deploy and maintain system components into QA and Production environments, and to create tools to quantify performance and reliability.Assist QA in developing automated testsIncorporate security into web services, APIs, and user interfaces.Work with Product Management (and Sales Engineers) to define the product requirements and ensure customer needs are being met.Estimate timelines and provide risk assessments for planning and tracking work. Provide feedback for continuous improvement of processes.Provide Tier-3 support to customers and work with Technical Support to improve their knowledge and tools for troubleshooting.QualificationsRequired Experience & SkillsDegree in Computer Science, Software Engineering or equivalent discipline6+ years of full stack application development for always on web applications with global user base, large traffic volume, and multi-national operationsProficient in Java (JEE) technologies including Spring MVC, Struts, Hibernate, RESTful JSON/XML, WebSocketsProficient in responsive user interface development in HTML5, CSS, JavaScript using Angular or Vue.jsFamiliar with SQL (PostgreSQL, MySQL), and able to design/modify relational schemas, adapt Stored ProceduresComfortable in cross technology Enterprise Application environment – mostly Java (JEE) on Linux, but some C#/.NETNice to have3+ years with micro services architecture in a continuous integration environmentImplemented Single Sign On and OAUTH mechanismsFamiliar with Docker and Cloud Infrastructure (AWS, Microsoft Azure)Familiar with network management concepts: SNMP, Equipment and Link monitoring, Logical Network Mapping, GeolocationMindsetCustomer focusComplex problem solving: Systems-level approach to softwareCreative, collaborative, and open-mindedStrong communicatorPassion and pride in your workWorking conditionsThis is a full-time position in a professional office environment with flexible work hours. Occasional after-hours work will be necessary to provide tier-3 technical customer support or for a meeting with an overseas team member. Occasional travel is expected (including internationally) for projects or conferences.Job Type: Full-timeEducation:Bachelor'sLocation:Calgary, AB"
1743,1743,qa engineer,"Senior Process Engineer, Metallurgist","Calgary, AB",    EVRAZ North America,https://ca.indeed.com/viewjob?jk=cb036316c7391512,"At EVRAZ North America, we manufacture engineered steel products for rail, energy and industrial end markets at six production sites located in the USA (Portland, Oregon; Pueblo, Colorado) and Canada (Regina, Saskatchewan; Calgary, Camrose and Red Deer, Alberta). We are the largest North American producer by volume in the rail and large diameter pipe markets, and we hold leading positions in the Western Canada oil country tubular goods, small diameter pipe and West Coast plate markets.  Job Description and Responsibilities   EVRAZ is seeking a Senior Process Engineer, Metallurgist for our Calgary facility. The incumbent will provide technical support to the mill operations in areas involving process metallurgy (heat treating, welding, upsetting, steel chemistry development). This person is responsible for identifying opportunities for current process improvement and interfaces with Engineering, QA and operations personnel to define any new metallurgical process that is incorporated into plant operations. During process improvement activities, the Senior Process Engineer is responsible for leading root cause assessment, process mapping, fishboning, trial planning and the development of real-time process control solutions. Written summaries of the key findings and recommendations is also an important aspect of the work.  Responsibilities  Develop product capability studies of key metallurgical attributes (pipe mechanical properties, tempering time, ERW welding, etc.) to identify how the metallurgical processes are performing Analyze trending for quality KPI’s such as rejects, rework, downgrades by mill/product, and key process factors, correlate this data to process conditions, publish update reports and provides analysis of the data with necessary action items and works with operations/quality team to improve trends Supports Tubular Products Group product development activities concerning new or upgraded pipe products when required Promote the continual education of our Quality Assurance personnel by providing annual training programs in the areas of heat treating, ERW welding, root cause analysis, statistical analysis of data, etc. Lead brainstorming sessions (A3, and FMEA types) with operations and quality personnel during the initial stages of the process control effort or efforts to improve the process Conduct process optimization trials at EVRAZ tubular mills using statistical methods (Design of Experiments) as necessary If financial investment is required, provide support to the QA/Operations teams to define the potential savings of process improvements Work with the Quality Assurance and Operations teams to ensure that shop floor documents and training identify the features of process control of the primary process parameters At least quarterly, perform process capability studies of the key process parameters communicate the results to mill management and identify areas of improvement Attend six sigma, lean manufacturing and process control equipment conferences to stay abreast of process control techniques/advancements/ in the broader steel manufacturing industry     Job Requirements   Degree in Metallurgical Engineering or Materials Science Engineering 5 years’ experience working in a Quality Assurance or Engineering team Familiar with ISO Quality standards and Quality Management Systems including quality control planning for new products Demonstrated experience in applying root cause problem solving methods (Ford 8D, Ishikawa diagrams, Failure Mode Effects Analysis etc.) to manufacturing problems Demonstrated ability with MS Excel or Minitab to analyze numerical data and draw conclusions Excellent presentation skills, experience giving presentations to management regarding project results Experience writing technical reports summarizing key findings and identifying next steps Strong ability to establish effective working relationships at all levels, experience working with interdepartmental teams at all levels of management to accomplish tasks Knowledge of pipe and /or steel mill processes and operations a plus Knowledge of tubular industry standards including API, CSA, and ASTM a plus Six Sigma green belt qualification a plus Proficient in MS Office tools such as MS Word, and PowerPoint  All applicants must be legally able to work in Canada without sponsorship.  EVRAZ is an Equal Opportunity Employer of Minorities, Females, Individuals with Disabilities, and Veterans.  At EVRAZ North America, we manufacture steel. We also manufacture excellence, drive success and build careers for our employees. Our people come from diverse backgrounds, but share a common set of values and the same goal of creating the best possible solution for our customers.  With more than 4,500 team members in the U.S. and Canada, EVRAZ offers well-paying jobs and a comprehensive range of employee benefits. Our total compensation package includes benefits such as:  Competitive wages and bonus opportunities Family medical, dental, vision and prescription coverage at minimal employee cost Short and long term disability programs Competitive retirement plans Paid vacations Apprenticeship and career advancement within the company Tuition reimbursement Wellness program"
1744,1744,qa engineer,"Specialist, Integrity Mgmt & Risk","Calgary, AB",    Pembina,https://ca.indeed.com/viewjob?jk=13362159dba35eff,"Requisition Id: 14667 Department: Asset Integrity Group  Summary of Responsibilities This new position is to support and develop risk assessment related to the pipeline integrity maintenance and mitigation program. Support, development and maintenance of the Integrity Management Programs are key deliverables within the competencies of this role. Delivery in supporting processes, standards, procedures, and specifications of the pipeline Integrity Management Program; Complete pipeline risk assessments; Data collection, QA/QC, and associated analysis; Write system risk reports; Review with field operations and integrity staff; Complete and assist with risk assessments of various constructions projects as required; Assist with developing mitigation plans by running what if scenarios to determine effect of best mitigation option/s and linking to the integrity budget; Create pipeline risk registers for segments over risk threshold; present segments over threshold to integrity prior to budgeting; Track and report on status of action plans, Provide pipeline risk results into corporate risk matrix; Continue to develop the Risk Management Standard; Continuous improvement to risk assessment, development of semi-quantitative or quantitative risk assessments; Assist with Engineering assessments as required; Assist with audits of the pipeline Integrity Management Program; Development and continuous improvement of pipeline Integrity Management Programs / Operating Management Systems; and Participate industry peer groups. Qualifications Intermediate Engineer or Technologist (with APEGA P.Eng or ASET CET designation) with minimum 5-10 years of industry experience; Experience in development, maintenance and auditing of Integrity Management Programs, conducting pipeline risk assessments, and interfacing with regulatory agencies; Strong knowledge and expertise with Asset Integrity programs relating to facilities and pipelines; Excellent communication, presentation and relationship management; and Self-motivated, collaborative, and driven to succeed.  No agency calls please.  Pembina is an equal opportunity employer committed to diversity and inclusion. We are pleased to consider all qualified applicants for employment without regard to race, color, religion, sex, national origin, age, disability, protected veterans status or any other legally-protected factors. Accommodation for applicants with disabilities is available on request during the recruitment process.  Pembina Pipeline Corporation has been serving the transportation and midstream service needs of North America's energy industry for over 60 years. We process, terminal and transport our customers' products safely - all while protecting the environment and delivering on our commitments to our shareholders and community stakeholders. When we build something, we do it right.  Powering Pembina's growth are our smart, creative and energetic people who allow us to remain a disciplined and responsible energy transportation and service provider and a trusted member in our communities.  Our expectations are high, and so are our rewards. We treat our people well – whether it’s through our total compensation package, our community engagement and volunteer opportunities, or our numerous fun social activities.  Pembina is a proud recipient of the 2018 Canada’s Top 100 Employers and Alberta's Top 70 Employers (2014-2017). We are also a strong supporter of Skills Canada.  >"
1745,1745,qa engineer,Manual Tester,"Calgary, AB",    Vantix Systems Inc,https://ca.indeed.com/viewjob?jk=15713e5d1c6c7fd8,"Our Client is seeking a Manual QA Tester. In this role, you’ll be responsible for driving the manual QA and testing strategy forward, helping to improve the practices and continuously developing your expertise using various tools and techniques. Skills SAP, Jira, Agile/DevOps, Zehphyr Type Contract Project Description Experience Required/ Mandatory Skills  Experience with manual test planning and execution of Web and/or Mobile applications - 2+ years  Using Jira for issue (story, task, bug) management - 1+ year  Working QA Experience within an Agile and/or DevOps environment - 2+ years  Involved with QA sprint planning activities while considering scope, effort and complexity - 2+ years  Work with applicable team members to remedy defects uncovered during testing  Using Zephyr for test management  Experience of leveraging risk based testing techniques  Manually create test data in related systems and/or working with Test Data Analysts/Engineers to identify and automate the creation of the required test data  Work alongside API and UI automation testers (in the majority of cases) to ensure sufficient test coverage  Provide effective communication regarding issues, objectives, initiatives and performance to teams, peers and management  Confident, approachable, collaborative, adaptable and resourceful  Excellent verbal and written communication skills  Nice To Have Skills  Experience with manual testing in SAP-based business applications"
1746,1746,qa engineer,"Quality Assurance Manager - Calgary, AB or Kelowna, BC","Calgary, AB",    Flair Airlines Ltd.,https://ca.indeed.com/viewjob?jk=b4358bd24d5e3a25,"Flair Airlines is a Canadian airline headquartered in Kelowna, BC with bases in British Columbia, Alberta, Manitoba, and Ontario. Our company operates scheduled domestic passenger services and charters in Canada, USA, and internationally.  We are currently seeking a full-time Quality Assurance Manager to be based in Calgary, AB or Kelowna, BC.  Position Overview: As delegated by the Director of Maintenance (DOM) and the Director of Flight Operations (DFO), the Quality Assurance Manager (QAM) is responsible for the ongoing development and management of the Maintenance Evaluation and Audit Programs and the Flight Operations Quality Assurance Program. The QAM is appointed by the Vice President of Operations and reports to Director of Maintenance (DOM) for maintenance operations and the Director of Flight Operations (DFO) for flight operations. The incumbent will work at the head office in Kelowna, BC or our office in Calgary, AB in a fast-paced, ever-changing environment. The incumbent will be required to travel on occasion to meet operational needs. The position will require prolonged periods of sitting, and using office equipment and computers. Long periods of intense concentration may be required. Position may require moving from a sitting to standing position, bending, stooping, reaching, twisting, grasping, and lifting 5 to 50 lbs. Primary Responsibilities:  Manage, develop, implement and conduct flight operations, maintenance operations and SMS audits and audit calendars/schedules; Evaluate the effectiveness of the flight operations, maintenance, and SMS audit programs, and modify as appropriate; Manage Quality Assurance personnel and external QA contractors; Liaise with Transport Canada, Government Regulators and external client/customer representatives on QA matters; Review amendments to company documents as required; Provide interpretation on regulations, assessment of whether and how they apply to current processes and the degree to which internal operations are compliant with those regulations; Make recommendations for corrective action where required; Maintain Aircraft Maintenance Engineer (AME) training and qualification records; Review Airworthiness Directives in support of the Records & Planning department Special Projects: Conducting analysis of current operational programs, investigating problem areas, determining courses of action for improvement, coordinating and implementing various programs as identified by senior management in support of company operations; Review, Analyze and Advise: In coordination with the SMS Manager, review and analyze the company’s SMS program, identifying issues, trends and recommended actions; prepare and present briefing material to senior management and executive; and Such other duties as assigned by the company from time to time.  Knowledge, Skills & Abilities Required:  Post-secondary diploma in a related field or equivalent combination of education and experience; Possess certification in quality assurance (i.e. DTI, ISO, ASQ) or equivalent quality assurance experience; Must demonstrate thorough knowledge of Quality Assurance, and SMS; Previous experience in an aviation operational and/or aviation regulatory role; Demonstrated ability in the use of the Microsoft Office Suite (Word, Excel, Publisher, Outlook, and PowerPoint), and demonstrated ability to learn and implement new programs and software; Ability to obtain and maintain security clearance with federal aviation authorities and other relevant regulatory agencies; Clear criminal record check; Must have thorough knowledge of the Canadian Aviation Regulations and Standards (CARS); Ability to work in a high-stress, ever-changing work environment while managing multiple projects and prioritizing tasks and assignments; Demonstrated high degree of interpersonal skill and ability; Demonstrated effective verbal and written communication skills; Excellent organizational skills and a high level of attention to detail and accuracy; High degree of ability to maintain confidentiality and exercise discretion; Hold or have held a Transport Canada issued Commercial Pilot/ATPL and/or Aircraft Maintenance Engineer license(s) is considered an asset; and Project management certification or equivalent experience is considered an asset.   How to Apply:   Interested applicants should apply online directly to the posting no later than 23:59 EST on May 27, 2018. Applications should clearly demonstrate how your skills meet the requirements of the position. Further information about the Company can be found at www.flairair.ca  We wish to thank everyone who applies, however due to the number of applications received only those shortlisted will be contacted. No phone calls please.  Flair Airlines offers a competitive compensation package including medical and dental benefits, short and long term disability, life insurance, dependent life insurance, employee & family assistance program, a defined contribution pension plan (matched contributions), and a staff travel program. Salary Range: $80,000 - $90,000/year"
1747,1747,qa engineer,QA Test Engineer,"Calgary, AB",    Jill Mitchell HR Consulting,https://ca.indeed.com/viewjob?jk=a1380ecdeb5bf6ff,"On behalf of our client - QuirkLogic - we are seeking a talented QA Test Engineer to join the team in Quirk's Calgary based office.QA Test Engineer Calgary ABJob Description: The successful candidate will be accountable for working with Quality Assurance, Development, and business stakeholders to provide the best quality for our business. You will be relied on to take ownership in the QA process and use your expertise and knowledge to help move the development process forward in a fast-paced environment. You will be testing new technologies on both hardware and software which requires the ability to be motivated and self-driven.Responsibilities: Design and develop detailed test plansExecute tests, record test results and generate reportsEnsure that test environment is set up and workingWork closely with developers to identify and assist in the resolution of issues, defects and risksKeep up to date of the latest emerging trends in technology and introduce new approaches/best practicesAttend daily Scrum meetingsProvide technical leadership and guidanceTest different hardware and display technologies along with softwareWork with different integration environments and deploy codeDocument details about the system and/or applicationsSkills: Minimum of four years of relevant experienceDetail oriented with good problem solving skills and be able to work with limited supervisionStrong verbal and written communication skillsAbility to focus on deadlines and deliverablesknowledge of Software Quality Assurance and Quality Control processes and practicesExperience with test repository management toolsExperience with Jira or other bug tracking softwareExperience with GitStrong knowledge of Android OS and applicationsKnowledge of Unix/LinuxNetworking knowledgeWell versed in testing mobile, web based, black box, white box systems and applicationsNice To HaveKnowledge SQL and NoSQL based databases such as as PostgreSQL and CouchbaseWorking knowledge of Java, Web Services, XMLExperience working with RabbitMQUnderstanding of HTTP and REST APIsExperience in non-functional testing: performance, stress, load, and high-availability testingExperience in test automationJob Type: Full-timeExperience:Software Quality Assurance: 3 yearsLocation:Calgary, AB"
1748,1748,qa engineer,Automation Engineer,"Calgary, AB",    Chevron,https://ca.indeed.com/viewjob?jk=bec648b90487ce05,"Chevron is one of the world's leading energy companies, with approximately 60,000 employees working in countries around the world. We explore, produce and transport crude oil and natural gas; refine, market and distribute fuels and other energy products; manufacture and sell petrochemical products; generate power; and develop future energy resources, including biofuels and geothermal energy.  Chevron Canada Limited (Upstream) has been active in Canada for more than 75 years. Since our arrival in Alberta in 1938, our company has established a proud legacy of exploration success, innovation and growth. And throughout this time, we have continued to support the communities where we live and work. As a result, we look optimistically to the future, as we pursue our vision to grow our core assets profitably and position Chevron for new legacy assets in frontier regions and emerging unconventional resource plays.  Chevron Canada is targeting natural gas and natural gas liquids from the Duvernay shale formation in west-central Alberta, where the company holds approximately 330,000 net acres of exploration leases. In 2011, the company commenced a multi-well exploration program on these leases to assess reservoir performance and confirm proof of concept for production from this prospective wet shale gas play. Chevron Canada has been encouraged by the reservoir data and production performance achieved to date and is currently advancing an appraisal program to evaluate the potential for full-field commercial development.  Chevron Canada Resources is actively seeking an Automation Engineer to join the Canadian Business Unit (CBU). This position is based in Calgary, Alberta and will report to Automation, Electrical & Measurement Supervisor. The role will function as part of a broader collaborative multi-department Automation, Control and Operational Technology (ACOT) team made up of personnel in Engineering, Maintenance and IT. The primary role and responsibility for this position is to provide Automation discipline engineering expertise and support to CBU's unconventional developments and operations for Kaybob Duvernay and Kitimat Upstream LHR. This position will deliver engineering design, development and support for Instrumentation, Control System, SCADA, and OT solutions to improve and sustain Operational Safety, Reliability and Costs.  This position is a contract role for a period of 12 months with the potential to extend.  Chevron is accepting online applications for the position of Automation Engineer located in Calgary, Alberta through Sunday, June 3, 2018 at 11:59 p.m. (Eastern Standard Time).   Responsibilities for this position may include but are not limited to:  Design, develop and sustain Automation, Control and Operational Technology (ACOT) solutions to support Operations, Engineering and other business groups. Develop projects to improve safety, reliability and costs using Control System and/or OT solutions Direct and coordinate ACOT team resources. Support management of change processes Provide engineering support to Maintenance I&C technicians for RTU/PLC issues and 1 st level field changes Provide 2 nd level changes to RTU/PLCs, SCADA, OSI PI Historian, OSI PI AF and Visualization systems Support and/or coordinate well pad project design input, oversight, FAT and integration with existing infrastructure and applications Oversee, support and lead Capital Projects, MOCs, documentation, design, procedures and standards Provide technical and Project oversight of engineering and development by Integrators and Vendors Support Automation, Process Control and OT future state planning and development  Qualifications:  Bachelor’s degree in Engineering (Electrical, Process Control, Instrumentation) or relevant degree/diploma Registered Professional Engineer in Alberta or British Columbia preferred 5 - 10 years of relevant upstream oil & gas engineering experience supporting operational facilities 5 - 10 years’ experience with the design, development and support of automation solutions using RTUs, PLCs, Safety Systems, SCADA Telecommunications, SCADA, Data Historians and Real-time analytical and visualization systems Programming such as SQL, VB/VBA, C/C++, Control languages including Ladder Logic and Function Block Knowledge of Process Control System design, tuning and optimization; Alarm management programs per ISAS18.2; Safety Systems and Functional Safety programs per IEC61511 Prefer experience with SCADA Pack RTUs and Allen Bradley PLCs. SCADA such as Wonderware, Clear SCADA and SCADAVantage. OSI PI historian and AF Analytics. Real-time Visualization tools such as OSI Vision, Siemens XHQ, Honeywell Operational Insight Knowledge of I&C systems engineering design and development including Cause/Effect Matrix, Shutdown Keys, Narratives and System Function Design Basis as well as QA/QC and Factory Acceptance Testing Demonstrated commitment to behavioral based safety programs and ensuring incident and injury free working conditions. Ability to represent Chevron’s interests in a constructive and professional manner during interactions with internal and external stakeholders. Project management development including business cases, management presentations and project approvals. Project Engineering and Project Management including team leadership, scope, schedule and cost control. Strong written/verbal and presentation skills and team/inter-team work skills Objective and structured thinker with strong aptitude towards developing processes and support systems Must be legally entitled to work in Canada   Relocation Options:  Relocation will not be considered within Chevron parameters.  International Considerations:  Expatriate assignments will not be considered."
1749,1749,qa engineer,"Specialist, Integrity Mgmt & Risk","Calgary, AB",    Pembina,https://ca.indeed.com/viewjob?jk=13362159dba35eff,"Requisition Id: 14667 Department: Asset Integrity Group  Summary of Responsibilities This new position is to support and develop risk assessment related to the pipeline integrity maintenance and mitigation program. Support, development and maintenance of the Integrity Management Programs are key deliverables within the competencies of this role. Delivery in supporting processes, standards, procedures, and specifications of the pipeline Integrity Management Program; Complete pipeline risk assessments; Data collection, QA/QC, and associated analysis; Write system risk reports; Review with field operations and integrity staff; Complete and assist with risk assessments of various constructions projects as required; Assist with developing mitigation plans by running what if scenarios to determine effect of best mitigation option/s and linking to the integrity budget; Create pipeline risk registers for segments over risk threshold; present segments over threshold to integrity prior to budgeting; Track and report on status of action plans, Provide pipeline risk results into corporate risk matrix; Continue to develop the Risk Management Standard; Continuous improvement to risk assessment, development of semi-quantitative or quantitative risk assessments; Assist with Engineering assessments as required; Assist with audits of the pipeline Integrity Management Program; Development and continuous improvement of pipeline Integrity Management Programs / Operating Management Systems; and Participate industry peer groups. Qualifications Intermediate Engineer or Technologist (with APEGA P.Eng or ASET CET designation) with minimum 5-10 years of industry experience; Experience in development, maintenance and auditing of Integrity Management Programs, conducting pipeline risk assessments, and interfacing with regulatory agencies; Strong knowledge and expertise with Asset Integrity programs relating to facilities and pipelines; Excellent communication, presentation and relationship management; and Self-motivated, collaborative, and driven to succeed.  No agency calls please.  Pembina is an equal opportunity employer committed to diversity and inclusion. We are pleased to consider all qualified applicants for employment without regard to race, color, religion, sex, national origin, age, disability, protected veterans status or any other legally-protected factors. Accommodation for applicants with disabilities is available on request during the recruitment process.  Pembina Pipeline Corporation has been serving the transportation and midstream service needs of North America's energy industry for over 60 years. We process, terminal and transport our customers' products safely - all while protecting the environment and delivering on our commitments to our shareholders and community stakeholders. When we build something, we do it right.  Powering Pembina's growth are our smart, creative and energetic people who allow us to remain a disciplined and responsible energy transportation and service provider and a trusted member in our communities.  Our expectations are high, and so are our rewards. We treat our people well – whether it’s through our total compensation package, our community engagement and volunteer opportunities, or our numerous fun social activities.  Pembina is a proud recipient of the 2018 Canada’s Top 100 Employers and Alberta's Top 70 Employers (2014-2017). We are also a strong supporter of Skills Canada.  >"
1750,1750,qa engineer,Senior Quality Advisor/Engineer to review project quality pl...,"Calgary, AB",    SI Systems,https://ca.indeed.com/viewjob?jk=39d7ef26033d4b93,"Our client is seeking a Senior Quality Advisor/Engineer to review project quality plans, develop audit preparation processes, implement and complete audits as scheduled, and help to develop QA/QC procedures (office and field support).  This role with have both office and field based responsibilities. Specifically, at the onset of a project, the quality coordination will focus around office based activities such as Design, Front End Planning, Records Management, and Procurement. Work will then begin to shift into field based activities such as Construction, Quality Surveillance, Materials traceability, and Turnover. Office and field based activities will overlap and require coordination and hand off.  QUALIFICIATIONS: Overall 15 years of experience in engineering and construction with pipeline (along with associated facilities) quality assurance and control background; Engineering degree or equivalent diploma / certificate combined with relevant experience; A related industry direct experience in fabrication and inspection of pipeline construction; A minimum of 5 year’s supervisory and direct experience in fabrication and pipeline construction experience; A minimum CWB level 2 (Visual, UT, MP, etc.) or equivalent; Familiarity with quality management systems such as ISO 9000; Must be familiar with pipeline relevant ASME, ASTM, ABSA, ISO, OPR, CSA, API codes and standards; Experience in painting / coating inspection would be an asset; Comfortable with MS Office and Outlook; Have and maintain a valid driver’s license (Drivers abstract required);  Specialization and Skills:  Professional (Non-IT) HSE - Health and Safety Analyst > 10 years   Priority Requirements: Describe your experience as a Senior Quality Advisor/Engineer reviewing project quality plans, developing audit preparation processes, implementing and completing audits as scheduled, and helping to develop QA/QC procedures (office and field support). (Must-have)  Have and maintain a valid driver’s license (Drivers abstract required) (Must-have)   Work Environment:"
1751,1751,qa engineer,Web Application Software Developer,"Calgary, AB",    Network Innovations Inc.,https://ca.indeed.com/viewjob?jk=9013d7cc1f7cfc68,"Job title: Web Application Software DeveloperDepartment: Product DevelopmentLocation: Calgary, CanadaJOB DESCRIPTIONAbout Network InnovationsNetwork Innovations is a leading provider of Satellite & Communications services including VSAT networks, Mobile broadband, Push-to-Talk and Satphone solutions. NI serves clients across the globe in the Government, Media, Energy, Maritime, and Aero markets. With headquarters in Calgary, Canada, we have regional offices across North America, Europe, and Asia Pacific, and we work with over 200 partners operating globally.Job purposeThis role is responsible for designing, developing, and testing web applications (front and back end) that are available 24/7 with thousands of active users and API sessions. Active participation in defining the services architecture and interfaces is expected, and you will have the opportunity to work with product management and customers to shape our products.These web applications will aid our customers and service partners to easily use, deploy, and manage network services provided by NI.Duties and responsibilitiesDesign, prototype, implement, test, and document full stack (front and back end) web applications, and RESTful APIs.Design for usability with responsive web user interfaces.Design for scalability and reliability (24/7 operations – minimal maintenance down time) with continuous integration.Work with DevOps to deploy and maintain system components into QA and Production environments, and to create tools to quantify performance and reliability.Assist QA in developing automated testsIncorporate security into web services, APIs, and user interfaces.Work with Product Management (and Sales Engineers) to define the product requirements and ensure customer needs are being met.Estimate timelines and provide risk assessments for planning and tracking work. Provide feedback for continuous improvement of processes.Provide Tier-3 support to customers and work with Technical Support to improve their knowledge and tools for troubleshooting.QualificationsRequired Experience & SkillsDegree in Computer Science, Software Engineering or equivalent discipline6+ years of full stack application development for always on web applications with global user base, large traffic volume, and multi-national operationsProficient in Java (JEE) technologies including Spring MVC, Struts, Hibernate, RESTful JSON/XML, WebSocketsProficient in responsive user interface development in HTML5, CSS, JavaScript using Angular or Vue.jsFamiliar with SQL (PostgreSQL, MySQL), and able to design/modify relational schemas, adapt Stored ProceduresComfortable in cross technology Enterprise Application environment – mostly Java (JEE) on Linux, but some C#/.NETNice to have3+ years with micro services architecture in a continuous integration environmentImplemented Single Sign On and OAUTH mechanismsFamiliar with Docker and Cloud Infrastructure (AWS, Microsoft Azure)Familiar with network management concepts: SNMP, Equipment and Link monitoring, Logical Network Mapping, GeolocationMindsetCustomer focusComplex problem solving: Systems-level approach to softwareCreative, collaborative, and open-mindedStrong communicatorPassion and pride in your workWorking conditionsThis is a full-time position in a professional office environment with flexible work hours. Occasional after-hours work will be necessary to provide tier-3 technical customer support or for a meeting with an overseas team member. Occasional travel is expected (including internationally) for projects or conferences.Job Type: Full-timeEducation:Bachelor'sLocation:Calgary, AB"
