,Unnamed: 0,Job Type,Title,Location,Company,Job_Url,Job_Description
1346,1346,software engineer,Software Developer,"Calgary, AB",    Innova Power Solutions Inc.,https://ca.indeed.com/viewjob?jk=7883910393a61584,"Innova Power Solutions is a Calgary based company that designs and manufactures battery packs and tools for the down hole directional drilling industry. Innova is leading the down hole battery industry through innovation and application of innovative technology.Duties include :Confer with engineers and others to design and to obtain information on project limitations and capabilities, performance requirements and interfacesModify existing software to correct errors, allow it to adapt to new hardware, or to improve its performanceAnalyze user needs and software requirements to determine feasibility of design within time and cost constraintsCoordinate software system installation and monitor equipment functioning to ensure specifications are met.Design, develop and modify software systems, using scientific analysis and mathematical models to predict and measure outcome and consequences of design.Required Qualifications:Bachelor's degree in Computer Science or Software EngineeringProficiency in multiple programming languages, preferably - Java - Python - any SQL flavourGit/mercurial experienceSoftware engineering best practices: unit testing, TDD, continuous integration, etcDesired Skills and Experience:Master's degree in Computer ScienceGroovyJavascriptC/C++/C#Experience with OpenERP/Odoo- Postgre SQLLinux development experience- Jenkins CI, Redmine, Sonarqube experienceMath background (Linear algebra, calculus, statistics)Job Type: Full-time"
1347,1347,software engineer,Web Application Software Developer,"Calgary, AB",    Network Innovations Inc.,https://ca.indeed.com/viewjob?jk=9013d7cc1f7cfc68,"Job title: Web Application Software DeveloperDepartment: Product DevelopmentLocation: Calgary, CanadaJOB DESCRIPTIONAbout Network InnovationsNetwork Innovations is a leading provider of Satellite & Communications services including VSAT networks, Mobile broadband, Push-to-Talk and Satphone solutions. NI serves clients across the globe in the Government, Media, Energy, Maritime, and Aero markets. With headquarters in Calgary, Canada, we have regional offices across North America, Europe, and Asia Pacific, and we work with over 200 partners operating globally.Job purposeThis role is responsible for designing, developing, and testing web applications (front and back end) that are available 24/7 with thousands of active users and API sessions. Active participation in defining the services architecture and interfaces is expected, and you will have the opportunity to work with product management and customers to shape our products.These web applications will aid our customers and service partners to easily use, deploy, and manage network services provided by NI.Duties and responsibilitiesDesign, prototype, implement, test, and document full stack (front and back end) web applications, and RESTful APIs.Design for usability with responsive web user interfaces.Design for scalability and reliability (24/7 operations – minimal maintenance down time) with continuous integration.Work with DevOps to deploy and maintain system components into QA and Production environments, and to create tools to quantify performance and reliability.Assist QA in developing automated testsIncorporate security into web services, APIs, and user interfaces.Work with Product Management (and Sales Engineers) to define the product requirements and ensure customer needs are being met.Estimate timelines and provide risk assessments for planning and tracking work. Provide feedback for continuous improvement of processes.Provide Tier-3 support to customers and work with Technical Support to improve their knowledge and tools for troubleshooting.QualificationsRequired Experience & SkillsDegree in Computer Science, Software Engineering or equivalent discipline6+ years of full stack application development for always on web applications with global user base, large traffic volume, and multi-national operationsProficient in Java (JEE) technologies including Spring MVC, Struts, Hibernate, RESTful JSON/XML, WebSocketsProficient in responsive user interface development in HTML5, CSS, JavaScript using Angular or Vue.jsFamiliar with SQL (PostgreSQL, MySQL), and able to design/modify relational schemas, adapt Stored ProceduresComfortable in cross technology Enterprise Application environment – mostly Java (JEE) on Linux, but some C#/.NETNice to have3+ years with micro services architecture in a continuous integration environmentImplemented Single Sign On and OAUTH mechanismsFamiliar with Docker and Cloud Infrastructure (AWS, Microsoft Azure)Familiar with network management concepts: SNMP, Equipment and Link monitoring, Logical Network Mapping, GeolocationMindsetCustomer focusComplex problem solving: Systems-level approach to softwareCreative, collaborative, and open-mindedStrong communicatorPassion and pride in your workWorking conditionsThis is a full-time position in a professional office environment with flexible work hours. Occasional after-hours work will be necessary to provide tier-3 technical customer support or for a meeting with an overseas team member. Occasional travel is expected (including internationally) for projects or conferences.Job Type: Full-timeEducation:Bachelor'sLocation:Calgary, AB"
1348,1348,software engineer,Systems Engineer,Canada,    Tucows,https://ca.indeed.com/viewjob?jk=afebb350cf4e5450,"Tucows has been on the Internet since people unironically called it the Information Superhighway.  Today, we’re the second largest domain wholesaler in the world with Millions of domains under management (OpenSRS / Enom). We’re doing all kinds of interesting things including running an MVNO cell phone service (Ting) and building fiber to the premises networks in towns and cities across the US (Ting Internet). We offer individual and small business domains and integration with Shopify, Squarespace and many others (Hover).  We’re a team of over 600 serving tens of millions of customers around the world.  Our growth has been incredible (NASDAQ: TCX, TSX: TC). It has also been smart and measured. Our success is built on a solid technology foundation thanks to a culture of DevOps excellence.  That’s where you come in. As a Systems Engineer you’ll seed innovation and creativity in a dynamic, fast-paced successful and yet stable company.  Description  The Systems Engineer will be responsible for day to day operations including migrating production systems into a new architecture, taking advantage of the latest DevOps methodologies and tools. You will be working in a dynamic environment and proposing creative and effective solutions to operational challenges.  Key skills and experience  4+ years of experience with configuration management Preferably SaltStack; Chef or Puppet is acceptable. Able to create new pillars and state files. Handle issues that arise with running a configuration management platform. Extensive experience with Linux  We are using Debian, but at this level, it is expected that you can easily pick up other flavors. Package management (building, maintaining, etc.) 2+ years of Python  Ability to write code to automate routine Operations’ tasks Ability to integrate into various APIs to create a cohesive platform. Nice to have skills and experience  Leadership skills Standard internet services like DNS/HTTP Managing containerized systems Experience with continuous deployment best practices You might remember Tucows as the place to download software before software download sites got gross... not to mention almost entirely irrelevant. That was indeed us. That was also a long time ago on a server far, far away."
1349,1349,software engineer,Software Engineer,"Calgary, AB",    Cisco,https://ca.indeed.com/viewjob?jk=0bcd975f05b3e1e5,"Cisco people are not happy merely moving the security innovation needle a few millimeters – we want to blow it off the dial. Every day we look for new ways to merge innovative security technology with Cisco’s 25+ years of networking expertise to redefine network security. We need like-minded colleagues who dream big about transforming security and networks, and who expect to reap the rewards for their high-visibility creations.  Who You’ll Work With This is an opportunity to work within the Cisco AMP team on our AMP Private Cloud product. The Cisco AMP team has a dynamic work environment that inspires employees to create opportunities by daily honing their talents and skills. Employees are self-motivated, results driven and engaged. We recognize and reward quality results and commitment to our company’s purposes and principles. You will be working within a team of exceptional software engineers, who are always ready to share their knowledge and skills.  What You’ll Do The Cisco AMP team is responsible for shipping client software for all flavours of Windows, Mac, Linux, and Android, supported by a Linux backend containing MongoDB, Cassandra, ElasticSearch, MySQL, Hadoop, Hive, RabbitMQ, Ruby, and custom C code, all Chef managed We deploy across a cloud infrastructure including Amazon’s EC2 and our own hardware running Joyent’s SDC, and have condensed these services down into a single instance with our Private Cloud Active participation in design and code reviews Implementing product features and fixing existing bugs logged in the bug database Developing and maintaining internal tools for automated functional, integration and performance testing Supporting Tier 3 Technical support by debugging and bug fixing production issues Who You Are Have high personal integrity and ethical standards Strong team oriented Passionate about designing and building high-quality software Excellent communication skills An unquenchable desire to learn 2+ years of experience in software development Experience with Unix shell scripting: sh and Bash Experience with any of the following scripting programming languages: Ruby, Python, Perl Experience with source control management systems: i.e., git, subversion, CVS Practical experience with SQL Good understanding of administrating Linux systems Experience with system and application debugging and performance optimization Good understanding of computer networking protocols   Desired Skills: Experience with compiled languages such as: C, C++, Go, Rust Understanding of secure coding practices Contributions to open source projects Experience with system configuration management systems: Chef, CFengine, Puppet, Ansible, SaltStack Working knowledge with common compile, build, and packaging tools, i.e., gcc, make, rpmbuild Working knowledge of some of the following technologies: memcache, NGINX HAproxy, MongoDB, Cassandra, RabbitMQ, MySQL, ElasticSearch Understanding of modern PC hardware  About Cisco The Internet of Everything is a phenomenon driving new opportunities for Cisco and it's transforming our customers' businesses worldwide. We are pioneers and have been since the early days of connectivity. Today, we are building teams that are expanding our technology solutions in the mobile, cloud, security, IT, and big data spaces, including software and consulting services. As Cisco delivers the network that powers the Internet, we are connecting the unconnected. Imagine creating unprecedented disruption. Your revolutionary ideas will impact everything from retail, healthcare, and entertainment, to public and private sectors, and far beyond. Collaborate with like-minded innovators in a fun and flexible culture that has earned Cisco global recognition as a Great Place To Work. With roughly 10 billion connected things in the world now and over 50 billion estimated in the future, your career has exponential possibilities at Cisco."
1350,1350,software engineer,Entry Level Security Engineer,"Calgary, AB",    Check Point Software Technologies Ltd.,https://ca.indeed.com/viewjob?jk=d78f48eec5bd11b0,"Entry level position providing pre sales technical support in the designated geography of responsibility Provide support to Check Point Channel/Account Managers and strategic Check Point Customers, developing POC's & architecting revenue generating services in order to influence sales Conduct technical meetings with customers and partners to highlight our products and solutions. Perform design work for partners and resellers Conduct technical pilots and competitive reviews Hold on-going education sessions with our partners Perform limited post-sales support   Desired Background BS/MS Degree in Business Administration/Computer Science or equivalent technical certifications 1-2 Experience in ISP Support, Help Desk Support or related networking position Knowledge of UNIX operating system Solaris, Linux or Windows 2000 Administration Knowledge of TCP/IP networking. DNS, DHCP and security protocols – a plus Strong verbal, written, and interpersonal communication skills Ability to troubleshoot and resolve problems in a technical environment Ability to demonstrate good customer diplomacy skills and problem ownership Must be willing to travel to Dallas, TX for interviews. Interviews will be held at the end of August 2018 Must be willing to travel to Israel for a 9 week sales and technical training to commence in October 2018 Must be willing to relocate to major cities within the US  EOE M/F/Veterans/Disabled"
1351,1351,software engineer,Software Engineer,"Calgary, AB",    General Dynamics Mission Systems Canada,https://ca.indeed.com/viewjob?jk=6d0920a6daae3b49,"Company Overview At General Dynamics Mission Systems–Canada, Canada’s premiere defence company, innovation happens on a daily basis. We develop and deliver highly-complex leading edge technology, products and systems that make important contributions to our customer’s success in land, airborne, maritime and public safety applications. The challenges and opportunities are endless.The results – incredible.  Our employees are exceptional. We are proud to employ more than 1,100 talented individuals across Canada. Working in a collaborative environment, our employees are encouraged daily to contribute their technical knowledge and expertise. Our employees are passionate, dedicated, and conscientious about the work they do which results in our ability to deliver the highest value, customized solutions in order to meet the most demanding requirements. Project/Program Overview An excellent opportunity for a junior Software Developer in Calgary to join a team of engineers working on a Military Communications System. The purpose of this position is to work with the development team to develop capabilities in the areas of networking, system management, radio voice and data services, or test automation. Responsibilities Typical Duties:  The responsibilities and range of activities will vary, but in general include: Design, code, test, integrate and document software/firmware solutions. Apply principles and techniques of computer science, engineering, and mathematical analysis for the development of complex systems and architectures. Analyze code to determine behavior of legacy systems. Implement new functionality in deployed systems. Participate in technical reviews as a reviewer or author. Work with hardware, firmware, system and test engineers to identify defects, resolve issues, and perform verification activities. Work with system engineers to determine behavior and plan for new functionality in the deployed system. Maintain the code base for a legacy deployed system. Qualifications  Required Skills & Experience Strong communication skills, both written and verbal. Strong problem solving and analysis skills. Strong knowledge of development using C++. Ability to work effectively both independently and in a team environment, with minimum supervision. Education Bachelor’s degree or equivalent in Computer Science, Engineering, or applicable scientific discipline is required. Candidates with diplomas will be considered with adequate additional experience.  Assets Experience working in both Linux and Windows development environments. Experience in scripting languages such as Python. Other  Minimum 10 year consecutive residence in Canada – for Canadian Secret Security Clearance Applicants will be required to obtain/hold a valid and current Canadian security clearance to gain access to the classified spaces, information and equipment in order to perform the work associated with this position.  General Dynamics Mission Systems – Canada is committed to employment equity and diversity in the workplace. Workplace accommodations are available."
1352,1352,software engineer,Software Engineer,"Calgary, AB",    Getty Images,https://ca.indeed.com/viewjob?jk=4dd925a516f8db02,"Who You Are:  You love developing elegant solutions to complex problems. You are a developer who enjoys coding and find yourself exploring the latest code development practices, platforms and design patterns because it's fun. You regularly read code blogs to stay in touch with the development community and are passionate about finding ways to improve quality, performance and delivery times. You are well established as an excellent individual contributor, but do your best work as a member of an effective team. You have a great mix of technical and soft skills which allows you to excel in a highly collaborative, agile work environment. Software craftsmanship means something to you.  Your Next Challenge:  Be a part of development and maintenance of project code including: Take an active role in all aspects of the development life cycle Utilize TDD and BDD Work within a continuous integration release cycle Create and maintain project documentation, in accordance with established standards Participate in implementation of a high volume, high traffic web based application including: Develop proprietary and open-sourced technologies Have impact on the direction of projects and features Work in an agile environment utilizing the LEAN/KANBAN process Work on a development team that is within a larger technology organization What You’ll Need: Strong understanding of object oriented programming (OO) with real world enterprise web development experience Ruby with RoR experience is a must Must have experience with Javascript, jQuery, AJAX and ideally Angular.js Must have experience with HTML5, CSS3 and other front end tools (Sass, Less, etc) Experience using Git or a similar version control system Strong creative problem-solving ability Ability to contribute to cross functional team discussions BSc. in Computer Science or equivalent education/experience Excellent communication, organizational, and interpersonal skills Experience with C#, Visual Studio, PHP or Java is a definite asset Who We Are:  Getty Images is the most trusted and esteemed source of visual content in the world, with over 200 million assets available through its industry-leading sites www.gettyimages.com and www.istock.com. The Getty Images website serves creative, business and media customers in almost 200 countries and is the first place people turn to discover, purchase and share powerful content from the world's best photographers and videographers. Getty Images works with over 200,000 contributors and hundreds of image partners to provide comprehensive coverage of more than 130,000 news, sport and entertainment events, impactful creative imagery to communicate any commercial concept and the world's deepest digital archive of historic photography.  Visit Getty Images at www.gettyimages.com to learn more about how the company is advancing the unique role of still and moving imagery in communication and business, and enabling creative ideas to come to life. For company news and announcements, visit our Press Room, and for the stories and inspiration behind our content, visit Stories & Trends. Find Getty Images on Facebook, Twitter, Instagram, LinkedIn, Pinterest and Tumblr, or download the Getty Images app where you can explore, save and share the world's best imagery.  Getty Images is an equal opportunity employer and strongly supports diversity in the workplace."
1353,1353,software engineer,Software Engineer,"Calgary, AB",    Intaver,https://ca.indeed.com/viewjob?jk=309bdb42e97464e3,"We are currently looking for a qualified Software Engineer to join our team in our Calgary, Canada, office. Intaver Institute Inc. is a Calgary based vendor of project risk analysis and management software RiskyProject. We are currently looking to fill a short term software development position. Candidates will design, implement and test data integration between Clarity Project and Portfolio Management and windows and web based business software applications. Applicants must have experience in working with Clarity Project and Portfolio Management in the areas of configuration, implementation, XOG interface, and deployment. Working knowledge of Open Workbench project management and scheduling is preferred. This is a short term contract with an opportunity to extend."
1354,1354,software engineer,Software Engineer,"Calgary, AB",    Synopsys,https://ca.indeed.com/viewjob?jk=80bdb3be559bee96,"Sr. Software Developer  The Position  Do you love to code? Do you love solving hard problems and making software easier for people to use? Then this is the job for you!  The Synopsys Desktop team is looking for Java/C#/Go developers to help take our desktop GUI’s to the next level. This includes IDE plugins (like Eclipse, Visual Studio and IntelliJ IDEA) and a stand-alone Java/RCP GUI application.  Our Desktop UI applications are the front end to Synopsys’ state-of-the-art analysis products, including Static Analysis and Software Composition Analysis. We are changing the way secure and quality software is delivered. You will be responsible for improving and extending the user interface experience that thousands of developers will use.  The ideal candidate is someone who: is experienced with IDE plugin development and design has strong architecture skills is passionate about building great developer tools strives to produce quality code…code isn't finished until it is tested! enjoys delivering a great user experience that solves real world problems thrives in a fast paced team environment  The Qualifications  Required: BSc or MSc in Computer Science or related field/degree 5+ years of development experience A desire to create an exceptional user experience Go, Java and/or C# development experience Strong object-oriented development and design skills Experience in architecture/design and in writing technical specifications Experience with Mac/Windows and/or Linux platforms Comfortable using command line  Bonus Experience: Background in user interface technologies and design Visual Studio, Eclipse and/or IntelliJ plugin development Experience using Web-Services, SWT, Swing, RCP technologies  Personal Qualities: Strong English communicator (written and verbal) Willing to pitch in wherever necessary Strong interest in learning and growing You care (about others, about doing a good job, about details) Motivated by quality, excellence and results Synopsys Canada ULC values the diversity of our workforce. We are committed to provide access & opportunity to individuals with disabilities and will provide reasonable accommodation to individuals throughout the recruitment and employment process. Should you require an accommodation, please contact hr-help-canada@synopsys.com."
1355,1355,software engineer,"Software Engineer, Windows","Calgary, AB",    Cisco,https://ca.indeed.com/viewjob?jk=cfd04ab108a9f705,"What You'll Do  This is an opportunity to work within a group of exceptional software engineers on one of the fastest growing products.  The AMP (Advanced Malware Protection) team has shipped endpoint software for a number of platforms including Windows, Mac, Linux, and Android. The endpoint clients communicate with a Linux backend running Mongo, ElasticSearch, MySQL, Hive, RabbitMQ, Ruby, and custom C code, all managed by Chef. We're deployed across a cloud infrastructure including Amazon's EC2 and our own hardware running Joyent's SDC, and have condensed these services down into a single instance deployable on VMWare.  We know how to ship software, and shipping software feels good.  Who You'll Work With  We have a dynamic environment that inspires employees to create, honing their talents and skills every day. Employees are self-motivated, results driven and engaged. We recognize and reward quality results and commitment to our company's purposes and principles.  We are looking for an experienced windows software developer to join us. We are willing to train those excited to learn.  Who You Are  Required Skills: 6-10 years of relevant professional experience Strong debugging skills 3 + years of C/C++ development under Windows Experience with writing test tools/frameworks Strong understanding of secure computing practices  Nice to have: Kernel driver/embedded development experience Security experience Why Cisco  We connect everything: people, processes, data, and things. We innovate everywhere, taking bold risks to shape the technologies that give us smart cities, connected cars, and handheld hospitals. And we do it in style with unique personalities who aren't afraid to change the way the world works, lives, plays and learns.  We are thought leaders, tech geeks, pop culture aficionados, and we even have a few purple haired rock stars. We celebrate the creativity and diversity that fuels our innovation. We are dreamers and we are doers.  We Are Cisco."
