,Unnamed: 0,Job Type,Title,Location,Company,Job_Url,Job_Description
2769,2769,ux ui designer,UI/UX Designer,"Calgary, AB",    CyberCoders,https://ca.indeed.com/viewjob?jk=8b4ee933c78ca563,"UI/UX Designer If you are a UI/UX Designer with experience, please read on! What You Will Be Doing Rapidly produce multiple concepts and prototypes; knowing when to apply pixel-perfect attention to detail, and when to make low-fi sketches and prototypes  Focus on open standards and open source before seeking a proprietary solution to a problem  Bring latest thinking, trends & developments to inform our standards & design principles  Look forward: work with team to explore new ideas through experiment, prototypes and fast feedback  Work regularly in the Cloud  Utilize SCRUM and Agile methodologies to accomplish tasks and complete workflows What You Need for this Position Bachelors or Master's degree in Graphic or Industrial Design, HCI, Fine Arts, or related fields, or equivalent experience with an emphasis in UI design  4+ years of professional experience in Visual Design  Proficiency in Adobe Creative Suite (Illustrator, Photoshop, InDesign, etc.), Sketch and/or other prototyping tools such as Marvel, InVision, and XD  Intimate knowledge of JavaScript/Node.js, React, webpack, ES6, Babel, React Native, HTML5, and CSS3  Working experience creating UX wireframes and user flows  Customer centric approach - insight through user research, feedback, & web analytic data So, if you are a UI/UX Designer with experience, please apply today! CyberCoders, Inc is proud to be an Equal Opportunity Employer   All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.   Your Right to Work – In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire."
2770,2770,ux ui designer,Full Stack Web Developer,"Calgary, AB",    Oplii Inc,https://ca.indeed.com/viewjob?jk=bc2869c58eb1c71d,"The position:  Full Stack Web DeveloperType:  Full-time, salary and benefits!Starting:  ImmediatelyWe’re looking for a full-stack developer web developer who is motivated to help bring full features from concept to reality. You will be working as part of a development team to assess, plan, implement and support new feature development within our innovative Operations Management software platform. You will work alongside UI/UX designers, front-end & backend developers, and Project Managers in the definition and development of high-value features for both web and mobile platforms.We imagine you have at least 2-3 years of experience in full-stack development, with a demonstrated history of successfully delivering completed projects.This position requires someone who:works well in a team,is self-motivated, trustworthy and independent,is motivated for career advancement,can see the big picture,has strong communication skills, excellent problem-solving skills and a very high attention to detail .Your technical skillset contains:Strong C#, Microsoft .NET MVC & MS SQL Server skillsExperiencing in data modelingCross-browser development skillsAbility to troubleshoot problems in code from other developersStrong testing experience (automated or otherwise)Knowledge of XML, JSON, DOM, and other W3C standardsStrong HTML, CSS (LESS, SASS) backgroundResponsive design implementation experienceStrong JavaScript background (AJAX, JSON, MVVM, jQuery)Layout framework experience (Bootstrap, Foundation)Experience with consuming RESTful web servicesVersion control system experienceMicrosoft Azure experienceBonus points if you have exposure to mobile development (Native or Otherwise)No Oil and Gas experience is required but it’s nice to have.Nice to meet you. We’re Oplii.Oplii is a Calgary-based software development company. Our focus is on connecting the office with the field through our innovative Web and Mobile software specifically developed for the energy industry. Founded in 2014, we are a young and quickly growing company, working with some of the most innovate upstream and midstream companies in the Western Canadian Market.Our office is located in the Atlantic Avenue Art Block in historic Inglewood. Bonus.We offer a casual, team-oriented, open work environment that promotes learning, collaboration and skill improvement. We work hard, but we also like to have fun at work and, unless we’re meeting clients, every day is Casual Friday.While all applications are reviewed, only chosen applicants will be contacted. Shortlisted candidates will likely have to take a test to prove their skills. Only local candidates need apply.Job Type: Full-time"
2771,2771,ux ui designer,Application Development Manager,"Calgary, AB",    Vog App Developers,https://ca.indeed.com/viewjob?jk=b67768e5ead714c7,"POSITION: Software Development ManagerHOW TO APPLY:**Please apply through company online job postings only, candidates who do not follow this may be disqualified**No phone calls or emails please**Only qualified applicants will be contactedCOMPANY BACKGROUND:With more than 20 people, having managed over 50+ software projects, Vog App Developers is an all Canadian app development team. Recognized as one of Canada's top 10 mobile app developers, we focus on building custom mobile applications for local businesses, entrepreneurs or anybody looking to innovate. Our entrepreneurial team works with a variety of Canadian clients, and continues to grow in size and reputation. ""We build more than just apps, we build businesses."" Please view our webpage for more information!WHY WORK AT VOG?:At Vog App Developers, teamwork is essential for the company to continue efficiently and effectively. We consider every individual to be unique and different from one another, which is why we drive and challenge staff members to innovate and share new ideas. Our team members enjoy the ability apply their skills in a supportive environment with knowledgeable software developers and designers.BENEFITS:Flexible work environment (work from home)Local team, so you don’t have to wait around for supportCompetitive payMonthly team eventsComplimentary office food and beverageTraining and mentorshipOpportunity for growth within companyROLE SUMMARY:He/she will be responsible for working closely with sales to translate client needs into technical project requirements. Also, he/she will organize and maintain the efficient development of custom native mobile app (Android and iOS), Web App, and Website development. He/she will coordinate and manage a projects development starting from design to completion. He/she will balance their abilities in people and technical management in order to build innovate applications for our customers.REPORTS TO: CEO/OwnerESSENTIAL RESPONSIBILITIES:Manage the development of more than one project at a time while under time constraints.Analyze and define project deliverables based on client needs.Research and implement competitive technologies.Develop a detailed project plan and track progressCreate and maintain comprehensive project documentation.Manage changes and updates to scope of work.Consult with client regarding technical inquiriesDefine, prioritize, categorize, and monitor feature progress and backlogs.Forecast time required to complete tasks.Identify talent required to complete project while working with HR.Implement agile software management methodologies.Manage frontend and backend mobile/web developer progress and performance.Provide programming support and training when needed.Work closely with QA.Work closely with account managers to define costs and timelines.Build and provide detailed project reports.Provide coaching to supervised team members.Audit developer time tracking and code.Perform risk management to minimize project risksEXPERIENCE/SKILL REQUIREMENTS:Previous experience leading a team, or working with a team that released an app to market considered an asset.2+ years developing for Android considered an asset.2+ years of back end development experience considered an asset.2+ years developing for iOS considered an asset.2+ years developing web applications or website considered an asset.2+ years of UI/UX design considered an asset.2+ years using relevant software development project management software considered an asset.1+ years using agile project management related to software development considered an asset.1+ years of software development team supervision considered an asset.Solid organizational skills including attention to detail and multi-tasking skillsExcellent written and verbal English communication skills.Excellent client-facing and internal communication skillsConfident and reliable leadership skills.EDUCATIONAL REQUIREMENTS:Bachelor’s or associate degree related to project management and/or computer science.OTHER REQUIREMENTS:Must be able to pass a criminal reference check if needed.Must have a valid SIN.Must be legally allowed to work in Canada.Ability to work in Calgary Office is an asset.Job Type: Full-timeExperience:Software Development Management: 2 yearsEducation:AssociateLocation:Calgary, ABLanguage:English"
2772,2772,ux ui designer,UI / UX Designer Programmer,"Calgary, AB",    DIRTT Environmental Solutions,https://ca.indeed.com/viewjob?jk=0c10b05993af8fa3,"Responsibilities: Contribute innovative ideas....sounds easy...it’s not..... Front end web development, could be as much as 80% of your time Create wireframes and sketches showing the user experience flow Collaborate with other designers and product and project managers Conduct user interviews and fly on the wall research Skills & Requirements 1 or more years of experience with everything... looking for ambition and personality! Proficient in Javascript, CSS3, HTML5 and Adobe Creative Suite (Illustrator) Familiar with Invision, Figma, Axure, OutSystems Experience and understanding of user interface and visual design patterns Strong written and verbal skills, unlike me Exceptional design and production skills with strong attention to detail A passion for technology!  To apply for this position, please apply on-line or email us at: careers@ice-edge.com. Please quote the position title in your subject line.No direct phone calls or in person visits please. DIRTT is an equal opportunity employer. We thank all applicants however only those selected for an interview will be contacted. Site Menu DIRTT Environmental Solutions Solutions Our Solutions Our Partners ICE Software Industry Sectors: Commercial Healthcare Education Residential Information For: Facility Owners Architects & Designers General Contractors Projects Case Studies FreshDIRTT Innovations Applications Environments Blogs: Hygge Arab Health Sustainability Our Sustainability Our Philosophy Sustainability at DIRTT Credentials Company About Us News Philosophy Our Story Culture Community Accolades Leadership Careers Contact Investors Overview Financials Shareholders Governance FAQ Connect: Partner Locator Contact Galleries: Photo Gallery Video Gallery Finishes Collection Software: ICE Software Experience: Green Learning Centers Connext Resources: Government Contracts Top Designers Press Room myDIRTT more..."
2773,2773,ux ui designer,Senior Web Designer,"Calgary, AB",    Helcim Inc,https://ca.indeed.com/viewjob?jk=0050d6a8dbf5006a,"Position SummaryHelcim is searching for a full-time Senior Web Design and Front-End Developer. We’re looking for a talented designer that has a strong design sense, an eye for user experience and the ability to transfer those designs to web-based applications.Helcim is a young, socially-responsible, positive, fast-paced company and team members must work well under pressure and want to grow with us. This position is part of our re-imagined outreach strategy with the launch of our new platform.Typical DutiesSupervise and manage web designers and front-end developers.Participate in company manager meetings as well as leadership sessions.Oversee design and front-end development projects through JIRA.Publishing code commits through the company’s version control system.Design mock-ups, web pages, corporate branding, print designs, marketing materials and other design work that compliments existing brand identities.Implement designs into web applications, including HTML, PHP site structures, CSS and JavaScript.Design user interfaces for complex systems, while maintaining fluid user experiences.Design print material for marketing campaigns, including coordination with print services.Develop HTML with latest search engine optimization standards.Building smart and responsive web pages that work across all devices and browsers.Qualifications3+ years of experience in web design.3+ years of experience in front-end web development.3+ years of experience in UX/UI design.Must have experience managing team members, distribution of work and the product lifecycles from design mock-ups to final production implementation.Experience designing mobile applications, including iOS and Android, for both tablets and phone interfaces.Must be able to develop from scratch (without stacks or CMS systems).Most be able to design interfaces from scratch (without bootstrap or existing design libraries).Must be proficient with the Adobe Photoshop.Must be proficient with the Adobe Illustrator and InDesign.Must be proficient with CSS and SASS (including GULP compiling).Must be proficient with PHP for front-end development.Must be proficient with JavaScript development, including jQuery.Experience with Ajax within a PHP environment.Experience with GIT distributed version control system, including SourceTree.Experience with JIRA project management tools.In-depth understanding of proper SEO HTML structure.In-depth understanding of cutting-edge web development (including CSS grids).High personal standard for quality of design and execution of work.Must hold diploma or certificate in Web Design or have equivalent experience.Education in art and design is an asset.Must provide a portfolio of professional design work. Portfolio must include web design, corporate branding, print design, user interfaces as well as mobile app (tablet and phone) interfaces.Compensation, Benefits & HoursLanguage of work is English. Salary of $67,000 - $70,000 per year including bonuses. Helcim offers group insurance benefits, great vacation time and lots of perks. Permanent and full-time position in Calgary at Suite 320, 5720 4th Street SE, Calgary, AB T2H 1K7; 9am to 5pm Monday to Friday.To apply, please submit your application via email to careers AT helcim.com or via mail to: 5720 4th street SE, Calgary, AB, T2H 1K7Must include cover letter, resume and detailed portfolio of prior design work as stated in qualifications.Job Type: Full-time"
2774,2774,ux ui designer,Front End Developer,"Calgary, AB",    Showpass,https://ca.indeed.com/viewjob?jk=d851351e51fa8f21,"Showpass is a ticketing and event management software company. We empower venue and event organizers to create a rich, connected experience for their customers through next-generation technology. We combine cutting-edge software and hardware for seamless on- and offline sales, while delivering event management tools on the same integrated platform.  But what makes us different?  Showpass offers a unique platform for collaboration between the key groups that power events. From venues, to organizers, to street teams, to event attendees, we are focused on bringing people together through the magic of live events. We also happen to be powered by a very talented team fostering innovation, creativity and disruption. These pillars support the Showpass culture which is built on a love for events, and all things food. That’s what makes us the fastest growing Canadian ticketing company.  THE ROLE: Front End Developer (full-time permanent role)  THE LOCATION: Calgary, Alberta  THE PERKS: A unique and fun place to work – flexible hours and vacation policy, in-house chef, fully stocked snack and fresh pressed juice bar, gym membership, dog-friendly office Competitive compensation and benefits package  THE RESPONSIBILITIES: Work closely with the UX/UI designers and development team to effectively convey product vision and release new features Create, improve and use wireframes, prototypes, style guides, user flows, and efficiently develop UI components for new features Create and improve strategic design and user experience for new and existing features Work closely with clients to create and improve client websites through integrating the Showpass SDK and Wordpress plugin Identify and resolve design/ui/ux problems or inconsistencies Keep up to date with the latest changes in the industry’s standards Take a user-centered design approach and promptly test and iterate your designs Collaborate with other team members and stakeholders  THE QUALIFICATIONS: Post-secondary education in a Computer/Engineering/Media/Design related field Minimum 5 years work experience with front end development Must have experience working with the following technologies: AngularJS, Angular Material, Javascript, jQuery, SCSS, Bootstrap, Ionic Experience working with the following technologies would be an asset: Python, Django, Swift or similar (Flask, Rails, Node.js, Go) Experience creating prototypes, storyboards, user flows, etc. Strong problem solving, testing and debugging skills Analytical thinker with the ability to problem solve in a fast-paced work environment Must have a clear understanding of the importance of user-centered design Be passionate about all things UI/UX and other areas of development and innovation Research and showcase knowledge in the industry’s latest trends and technologies Exude confidence when collaborating and communicating closely with teams and other stakeholders to regularly deliver design solutions for approval Be willing to learn from and share knowledge/experience with the rest of the team Ability to champion new ideas and develop creative approaches Must have the hustle and drive to take initiative and make things happen!  NOTE: We will only contact qualified candidates of interest"
2775,2775,ux ui designer,Front-End Web Developer,"Calgary, AB",    Autodata Solutions,https://ca.indeed.com/viewjob?jk=35e2e7401f78b2ef,"Autodata Solutions is looking for a Senior Front-End Web Developer in our Calgary, AB office! We are looking for a Front-End Web Developer who is motivated to combine the art of design with the art of programming. This is an opportunity for a Senior Leader manage both sides and define not only how the application looks, but how it works. You will translate the UI/UX design wireframes to actual code that will produce visual elements of the application while integrating SEO principals into your design. Through collaboration with our backend developers, you will integrate REST service endpoints to the UI through AJAX calls and design the expected output from the services. MUST have solid previous experience with ReactJS to join this project. Responsibilities: Develop new user-facing features while buiding reusable code and libraries for future use Ensure the technical feasibility of UI/UX designs Optimize application for maximum speed and scalability Integrate user interfaces with backend REST services Execute effectively in a high-volume, fast-changing work environment while managing multiple time-critical issues Act as technical advisor to business owners, project management, UX Designers Troubleshoot issues with code, integrations, and other related website properties  Qualifications: 2+ years of hands-on experience designing and building React.js applications 5+ years professional experience with web markup, including HTML5, CSS3, and Javascript up to and including ECMAScript 6 Demonstrable experience implementing SEO principles and ensuring that the application will adhere to them Good understanding of build tools, including Gulp, Bower, Webpack, and Yeoman Proficient understanding of client-side scripting and JavaScript frameworks, including jQuery Good understanding of other advanced JavaScript libraries and frameworks, such as AngularJS (vs 1 and 2), KnockoutJS, BackboneJS, Meteor, DurandalJS etc. Good understanding of asynchronous request handling, partial page updates, and AJAX Basic knowledge of image authoring tools, to be able to crop, resize, or perform small adjustments on an image. Familiarity with tools such as Gimp or Photoshop is a plus Working knowledge of NodeJS, including Express, Meteor, and other modules Proficient understanding of code versioning tools, such as Git / Mercurial / SVN  For more information about Autodata, please visit our company website: www.autodata.net. We thank all applicants for their interest however only those selected for an interview will be notified. Autodata Solutions is an equal opportunity employer. We are compliant with AODA legislation; if you require work related accommodations, please specify."
2776,2776,ux ui designer,Project Manager/Business Analyst /Accounting System Speciali...,"Calgary, AB",    DIRTT Environmental Solutions,https://ca.indeed.com/viewjob?jk=ad5bbb9062d91a69,"ICE®is a dynamic software company based in Calgary, offering one of the most unique and exciting work atmospheres to be found between Barlow Trail, 52 St, Glenmore and 60 St! We are currently looking for a Project Manager/Business Analyst /Accounting System Specialist......or a P.M.B.A.A.S.S...ha...jeez that might not work.....OK.....actually....... we are just looking for smart motivated people in Calgary that don’t mind being called an ICEcube or DIRTTbag! We don’t use job titles, no one gets an office and we work together as a team towards a common goal so skies the limit on how you can contribute! With your resume please tell us about your favorite project, job or maybe hobby that you love. It can be as elaborate or simple as you like, as short or long and in any format you choose.  As part of the Ice Edge Project Team, you will drive internal projects including stake holder interrogation, system evaluation, asking why...why... why..... to the testing, implementation and support of our financial ecosystem.  Job Description: Project Manager/Business Analyst /Accounting System Specialist The successful candidate will be responsible for simultaneously managing multiple projects from engagement to implementation. This would include:  Evaluation of client (internal and external) requirements and related processes Creation of Requirements documentation Schedule estimation, adherence, and adaptation in order to achieve defined goals Liaise with developers, UI/UX designers and ""random"" team members Break down complex objectives into achievable and understandable goals Work with other project managers to allocate shared resources to achieve goals Weekly reporting of real time progress on sprint iterations to various stake holders Requirements:  Ability to work with DIRTTbags and ICEcubes to understand their needs, set expectations and manage relationships Experience with Sage, EZCM and Ultipro an asset Skilled in defining and managing projects – including scope, budget, schedule, resources, change and risk etc. etc. Able to effectively communicate with both technical and non-technical personnel Ability to adapt development processes to maximize efficiency Excellent organization and communication skills Demonstrated ability to multi task and manage multiple projects at one time Strong computer skills Able to turn on a dime as priorities change  To apply for this position, please apply on-line or email us at: careers@ice-edge.com. Please quote the position title in your subject line.No direct phone calls or in person visits please. DIRTT is an equal opportunity employer. We thank all applicants however only those selected for an interview will be contacted. Site Menu DIRTT Environmental Solutions Solutions Our Solutions Our Partners ICE Software Industry Sectors: Commercial Healthcare Education Residential Information For: Facility Owners Architects & Designers General Contractors Projects Case Studies FreshDIRTT Innovations Applications Environments Blogs: Hygge Arab Health Sustainability Our Sustainability Our Philosophy Sustainability at DIRTT Credentials Company About Us News Philosophy Our Story Culture Community Accolades Leadership Careers Contact Investors Overview Financials Shareholders Governance FAQ Connect: Partner Locator Contact Galleries: Photo Gallery Video Gallery Finishes Collection Software: ICE Software Experience: Green Learning Centers Connext Resources: Government Contracts Top Designers Press Room myDIRTT more..."
2777,2777,ux ui designer,Application Development Manager,"Calgary, AB",    Vog App Developers,https://ca.indeed.com/viewjob?jk=b67768e5ead714c7,"POSITION: Software Development ManagerHOW TO APPLY:**Please apply through company online job postings only, candidates who do not follow this may be disqualified**No phone calls or emails please**Only qualified applicants will be contactedCOMPANY BACKGROUND:With more than 20 people, having managed over 50+ software projects, Vog App Developers is an all Canadian app development team. Recognized as one of Canada's top 10 mobile app developers, we focus on building custom mobile applications for local businesses, entrepreneurs or anybody looking to innovate. Our entrepreneurial team works with a variety of Canadian clients, and continues to grow in size and reputation. ""We build more than just apps, we build businesses."" Please view our webpage for more information!WHY WORK AT VOG?:At Vog App Developers, teamwork is essential for the company to continue efficiently and effectively. We consider every individual to be unique and different from one another, which is why we drive and challenge staff members to innovate and share new ideas. Our team members enjoy the ability apply their skills in a supportive environment with knowledgeable software developers and designers.BENEFITS:Flexible work environment (work from home)Local team, so you don’t have to wait around for supportCompetitive payMonthly team eventsComplimentary office food and beverageTraining and mentorshipOpportunity for growth within companyROLE SUMMARY:He/she will be responsible for working closely with sales to translate client needs into technical project requirements. Also, he/she will organize and maintain the efficient development of custom native mobile app (Android and iOS), Web App, and Website development. He/she will coordinate and manage a projects development starting from design to completion. He/she will balance their abilities in people and technical management in order to build innovate applications for our customers.REPORTS TO: CEO/OwnerESSENTIAL RESPONSIBILITIES:Manage the development of more than one project at a time while under time constraints.Analyze and define project deliverables based on client needs.Research and implement competitive technologies.Develop a detailed project plan and track progressCreate and maintain comprehensive project documentation.Manage changes and updates to scope of work.Consult with client regarding technical inquiriesDefine, prioritize, categorize, and monitor feature progress and backlogs.Forecast time required to complete tasks.Identify talent required to complete project while working with HR.Implement agile software management methodologies.Manage frontend and backend mobile/web developer progress and performance.Provide programming support and training when needed.Work closely with QA.Work closely with account managers to define costs and timelines.Build and provide detailed project reports.Provide coaching to supervised team members.Audit developer time tracking and code.Perform risk management to minimize project risksEXPERIENCE/SKILL REQUIREMENTS:Previous experience leading a team, or working with a team that released an app to market considered an asset.2+ years developing for Android considered an asset.2+ years of back end development experience considered an asset.2+ years developing for iOS considered an asset.2+ years developing web applications or website considered an asset.2+ years of UI/UX design considered an asset.2+ years using relevant software development project management software considered an asset.1+ years using agile project management related to software development considered an asset.1+ years of software development team supervision considered an asset.Solid organizational skills including attention to detail and multi-tasking skillsExcellent written and verbal English communication skills.Excellent client-facing and internal communication skillsConfident and reliable leadership skills.EDUCATIONAL REQUIREMENTS:Bachelor’s or associate degree related to project management and/or computer science.OTHER REQUIREMENTS:Must be able to pass a criminal reference check if needed.Must have a valid SIN.Must be legally allowed to work in Canada.Ability to work in Calgary Office is an asset.Job Type: Full-timeExperience:Software Development Management: 2 yearsEducation:AssociateLocation:Calgary, ABLanguage:English"
2778,2778,ux ui designer,Senior Android Developer,"Calgary, AB",    Robots and Pencils,https://ca.indeed.com/viewjob?jk=a47f8b1d80022009,"At Robots and Pencils, we’re expanding and looking for a Senior Android Developer to join our talented and world class robot team.  Who you are: You are someone who prefers to communicate through code. You love to create and have a strong desire to learn. You have strong opinions but that are weakly held; you are humble yet confident. In fact, you’re the first to pass along the latest headache busting library from Square to your colleagues just minutes after sending a link to a mind clarifying blog post from Romain Guy.  You can speak to language best practices and are not afraid of anonymous inner-classes. You never overlook the saved instance state and have contemplated the tradeoffs between activities, fragments, and views. You have knowledge of how a RESTful web service works, what makes it RESTful, and how it can be accessed from Android. You are also diligent about meeting allocated budgets and can work within time constraints, but you will never sacrifice quality.  What you’ll do: Design, program and test software. Author and maintain relevant documentation for developers, Clients and users. Develop and refine prototypes to confirm requirements. Program according to project plans (versions, sprints). Test according to pre-determined test plans. Support release and post-release activities, such as support, versioning and maintenance. Collaborate with our pencils (designers) to create interfaces that conform to the Google design guidelines. Peer review other team members’ code, and learn and adapt from peer review of your own code. Support sales and project managers with technical insights, leading to the creation of budgets and schedules for projects.  About Robots and Pencils: Robots and Pencils is a digital innovation agency companies engage to create what's next. Trusted by some of the world's best brands, we help our Clients use mobile, web, and frontier technologies to transform their businesses.  In 2009, we created Robots and Pencils with the then-contrarian view that mobile would be more transformative than the internet. Today, our thinking is rooted in the belief that, in the age of unprecedented technology acceleration, maintaining a competitive advantage requires new strategies and a focus on innovation.  Our approach has been to create a company designed to follow the talent, allowing us to amass an unfair share of hyper-skilled people who call Robots and Pencils home. A team of people who not only develop innovative solutions to transform businesses, but also create products that have been previously inconceivable.  At R&P;, we believe that our products and workplace are better with a diverse team makeup. Our Talent offers a variety of backgrounds, skillsets, and expertise from across the globe. Thank you Recruiters, but we’re not looking for help with this.  Requirements: 10+ years of delivering software with preference given to those who have a degree in Computer Science, Computer Engineering or equivalent Solid understanding and practical knowledge of the full mobile development and application life cycle Solid understanding of Android UX/UI guidelines and best practices Experience with Android using Android Studio and JAVA Experience with a distributed Version Control System Experience with mobile development issues related to performance optimization, caching and security Familiar with Architecture patterns (MVP/ MVVM etc.)  Excellent communications skills with the ability to share insights and expectations with Clients, stakeholders and colleagues, both locally and remotely"
