,Job Type,Title,Location,Company,Job_Url,Job_Description
0,business+analyst,Software Developer / Programmer (Exciting and great variety),Calgary,Pleasant Solutions,https://stackoverflow.com//jobs/160556/software-developer-programmer-exciting-and-pleasant-solutions,"About this job Compensation: C$48k - 69k | EquityJob type: Full-timeExperience level: Junior, Mid-Level, LeadIndustry: Enterprise Software, Security Software, Software Development / EngineeringCompany size: 51-200 peopleCompany type: PrivateTechnologies .net, c#, database, enterprise, objective-c Job description Not your everyday software developer position. Challenging and fast moving, yet friendly and supportive: a career you will look forward to every day. Work with intelligent people in an exciting environment where every month is different.   Positions Available:  Multiple positions ranging from intermediate up to team lead level (based on skill, regardless of the amount of experience or education), opening up immediately and throughout the year. Additional positions for specialists (for example, Android programming, user interface programming, etc). Tell us your strengths and we’ll go from there. Other Positions: We are also hiring for other positions (software tester, business analyst, project manager, graphic designer, and front-end GUI designer). You may apply for multiple positions separately. If you know someone in any of these areas, please do them a quick and friendly favour by letting them know about this posting.  Position Overview:  Full time and permanent. Fast moving in terms of variety of work and expectations. Flexible hours (for example: choose to start your day between 6am and 10am, work late some days and shorter on others). Gain valuable career experience in the newest highlevel technologies (C#, .NET 5, Java, MVC7, WCF, web services, SOA, Swift/Objective-C, Xamarin, F#). Gain experience with many advanced software engineering tools and techniques (code generation, object relational mappers, advanced .NET reflection, etc). Gain experience with both small and large projects, with involvement throughout the product life-cycle. Opportunities to be involved with higher level architecture and design. Mentoring from experienced software architects and some of the smartest peers in the country, on exciting projects that you can really sink your teeth into. A blend of programming methodologies (deliberately part way between agile, Kanban, and waterfall plus occasional extreme and pair programming methodologies). Does not involve a lot of boring technical support or fixing broken legacy applications. Most of the learning is through hands-on trying and doing and collaborating. Meetings and formal training are minimized. Rarely requires meeting with a client for those who prefer not to. Environment allows for some privacy at your workstation as well as time to concentrate without distractions when you need it.  Requirements:  Highly intelligent. Fast learner and enjoys learning. Passionate about making software and very good at it. Gets deeply involved with challenges and will persevere at length to achieve victory. Takes pride in work. A deep appreciation for reusable code and the benefits of object oriented design. No specific requirements for formal education or industry experience. We evaluate each applicant based on merit rather than formalities.  Nice To Have:  Ability to see opportunities for improvement everywhere. Experience with .NET or mobile development. Pragmatic approach to balancing perfectionism with getting the job done.  About The Work Environment:  Friendly, non-threatening, and non-political environment. Mid-sized company but retaining the speed and flexibility of a smaller company. We are a great environment for both outgoing people and those who are very shy and introverted (applicable to non-client facing positions). We strive to have every employee sitting near a window for natural light and to have plenty of plants throughout the office; we care about employee health. Free onsite massage therapy. Private nap rooms for isolated thinking time or for taking a nap if you didn’t sleep well last night. Atrium to enjoy the sun during lunch. Social events worth remembering (fencing competitions, curling, video game or board game parties, coding competitions, commando combat training, robotics club coming soon, etc). An example of our culture: Lunch together is in a very comfy sofa room, and even the quiet types are comfortable there. Unlimited access to pillage our kitchens for caffeine, sugar, healthy snacks, soups, and more :) Additional perks that are cost-shared like motorized sit-stand desks. Task focused: everyone in the company heavily uses centralized to-do lists to stay organized, prioritize, and coordinate. Fast paced  Applying:  What do you have to lose by exploring the possibility? Applying does not take long and we keep your application confidential (never disclosed to existing employer). Apply online today at https://careers.pleasantsolutions.com Even if you don't have your resume updated or ready to go, apply anyways, we want to hear from you! Please do not apply via email, use only the https://careers.pleasantsolutions.com link to apply.  "
1,business+analyst,QA Manager,Calgary,3ES Innovation Inc.,https://stackoverflow.com//jobs/162491/qa-manager-3es-innovation-inc,"About this job Job type: Full-timeExperience level: Mid-Level, ManagerRole: QA/Test DeveloperIndustry: Computer Software, Oil & GasCompany size: 51-200 peopleCompany type: PrivateTechnologies javascript, reactjs, sass, c# Job description Company Background: 3esi-Enersight is the leading global provider of solutions for integrated planning in upstream oil and gas. Our software connects all E&P data and workflows from strategy to execution through innovative technology, expert consulting and first-rate customer service. 3esi-Enersight is a dynamic and innovative place to work. With both staff and customers located all over the world, every day is filled with new and exciting challenges. 3esi-Enersight promotes and encourages its staff to think outside of the box and places a high value on innovation and creative problem solving. Position Summary: The QA Manager is accountable for maintaining a high standard of quality across our products by working with the Development Team Leads to ensure that efficient and effective quality assurance practices are applied. The QA Manager is also responsible for supporting, mentoring and the professional development of the Quality Assurance Analysts and is required to manage the allocation of QA resources across seven development teams. The successful candidate also contributes to testing efforts on an as-needed basis.  Key Responsibilities:  Support, mentor and ensure quality professional development of the Quality Assurance Analysts Provide technical expertise and best practices to the QA team Continually seek to improve the effectiveness and efficiency of the quality assurance processes Ensure consistency of quality assurance practices across the development teams Identify test automation opportunities Incorporate on-premise and outsourcing/crowdsourcing resourcing to increase efficiency and reduce cost without sacrificing quality and creating development impediments Contribute to testing efforts when needed   Key Competencies:  Excellent written and verbal communication and interpersonal skills. Ability to build and lead a team of quality assurance experts Deep understanding of testing methodologies, technology, tools and practices Good understanding of CI/CD pipelines Experience delivering high quality software products using different delivery models: desktop, on-premise, hosted, and SaaS  Qualifications:  Bachelor’s degree in a related field and/or equivalent combination of education and experience. Minimum of 5 years of experience in a QA role Minimum of 3 years of experience managing a team Upstream Oil and Gas experience is an asset. Experience managing a QA process that incorporated outsourced/crowdsourced QA is an asset   Position Details:  Full time opportunity Location: Calgary Start: Immediately  "
2,software+engineer,Senior Software Developer (Full Stack Developer),Calgary,Pason Systems,https://stackoverflow.com//jobs/171006/senior-software-developer-full-stack-developer-pason-systems,"About this job Job type: Full-timeExperience level: SeniorRole: Full Stack DeveloperIndustry: Agile Software Development, DevOps, Oil & GasCompany size: 501-1k peopleCompany type: PublicTechnologies nosql, cloud, amazon-web-services, reactjs, linux Job description The Role The Pason Power team focuses on the monitoring and intelligent control of distributed energy storage systems. There will be a number of potential applications ranging from installation of energy storage with solar/PV systems to utility companies looking to build a responsive and adaptable electrical grid.  You will have the opportunity to combine your experience with Pason’s in data acquisition and embedded control systems combined with cutting edge Internet of Things (IoT) and cloud technologies to provide a best in class solution. Essential Duties and Responsibilities  Work as a part of an agile scrum team, contributing to the development of the Pason Power product line Provide mentorship and guidance to other software developers Develop Pason Power web applications Participate in Code Reviews Integrate web applications with backend services, including AWS hosted web-services, Lambdas, databases (relational and NoSQL), as well as IoT transport mechanisms Interface with the UX team to deliver visually appealing and easily approachable web applications Troubleshoot and provide timely solutions to production issues Participate in team technical discussions, challenge ideas and present solutions and approaches to be considered by the team Participate and contribute in weekly Agile meetings, discuss and present work accomplished and provide constructive feedback to help improve the team Contribute to our evolving development environment through research, experiment with new technologies and attend conferences or courses. Educate your peers on what you have learned. Maintain and expand our suite of automated tests Implement security best practices and protections in our web applications and with our customer data Understand and contribute to the development of system architecture Travel to Houston 1-2 weeks per year to work in person with our technical team there  Knowledge, Skills, and Abilities  Proficient with JavaScript Proficient in Python, Java, C/C++/C#, or other back-end languages Understanding of React.js or similar web frameworks Experience with databases (relational and NoSQL) Experience with RESTful APIs Familiarity with code versioning tools such as Git Proficient in Linux Experience in integration and unit testing Ability to work in a team or as an individual Experience with common front-end development tools such as Babel, Webpack, NPM, etc. Experience working with hardware / Internet of Things (IoT) device control systems Familiar with container technologies (Docker) Familiar with messaging protocols such as MQTT or AMQP Build automation / continuous integration / continuous delivery experience Experience Working in cloud environments (AWS, Google Cloud, Azure, etc)  Work Experience  6+ years or more of software development experience on commercial development teams  Education  A bachelor's degree in Computer Science, Electrical Engineering, Computer Engineering or in a related field  "
3,software+engineer,Front End Developer for Canada's fastest growing ticketing company,Calgary,Showpass,https://stackoverflow.com//jobs/164767/front-end-developer-for-canadas-fastest-growing-showpass,"About this job Compensation: EquityJob type: Full-timeExperience level: Mid-Level, SeniorRole: Frontend DeveloperIndustry: Entertainment, Software Development, TicketingCompany size: 11-50 peopleCompany type: VC FundedTechnologies angularjs, angular-material, sass, angular-ui-bootstrap, ionic-framework Job description THE ROLE: Front End Developer (full-time permanent role) THE LOCATION: Calgary, Alberta THE PERKS:  A unique and fun place to work – flexible hours and vacation policy, in-house chef, fully stocked snack and fresh pressed juice bar, gym membership, dog-friendly office Competitive compensation and benefits package  THE RESPONSIBILITIES:  Work closely with the UX/UI designers and development team to effectively convey product vision and release new features Create, improve and use wireframes, prototypes, style guides, user flows, and efficiently develop UI components for new features Create and improve strategic design and user experience for new and existing features Work closely with clients to create and improve client websites through integrating the Showpass SDK and Wordpress plugin Identify and resolve design/ui/ux problems or inconsistencies Keep up to date with the latest changes in the industry’s standards Take a user-centered design approach and promptly test and iterate your designs Collaborate with other team members and stakeholders  THE QUALIFICATIONS:  Post-secondary education in a Computer/Engineering/Media/Design related field Minimum 5 years work experience with front end development Must have experience working with the following technologies:  AngularJS, Angular Material, Javascript, jQuery, SCSS, Bootstrap, Ionic  Experience working with the following technologies would be an asset:  Python, Django, Swift or similar (Flask, Rails, Node.js, Go)  Experience creating prototypes, storyboards, user flows, etc. Strong problem solving, testing and debugging skills Analytical thinker with the ability to problem solve in a fast-paced work environment Must have a clear understanding of the importance of user-centered design Be passionate about all things UI/UX and other areas of development and innovation Research and showcase knowledge in the industry’s latest trends and technologies Exude confidence when collaborating and communicating closely with teams and other stakeholders to regularly deliver design solutions for approval Be willing to learn from and share knowledge/experience with the rest of the team Ability to champion new ideas and develop creative approaches Must have the hustle and drive to take initiative and make things happen!  NOTE: We will only contact qualified candidates of interest "
4,software+engineer,QA Manager,Calgary,3ES Innovation Inc.,https://stackoverflow.com//jobs/162491/qa-manager-3es-innovation-inc,"About this job Job type: Full-timeExperience level: Mid-Level, ManagerRole: QA/Test DeveloperIndustry: Computer Software, Oil & GasCompany size: 51-200 peopleCompany type: PrivateTechnologies javascript, reactjs, sass, c# Job description Company Background: 3esi-Enersight is the leading global provider of solutions for integrated planning in upstream oil and gas. Our software connects all E&P data and workflows from strategy to execution through innovative technology, expert consulting and first-rate customer service. 3esi-Enersight is a dynamic and innovative place to work. With both staff and customers located all over the world, every day is filled with new and exciting challenges. 3esi-Enersight promotes and encourages its staff to think outside of the box and places a high value on innovation and creative problem solving. Position Summary: The QA Manager is accountable for maintaining a high standard of quality across our products by working with the Development Team Leads to ensure that efficient and effective quality assurance practices are applied. The QA Manager is also responsible for supporting, mentoring and the professional development of the Quality Assurance Analysts and is required to manage the allocation of QA resources across seven development teams. The successful candidate also contributes to testing efforts on an as-needed basis.  Key Responsibilities:  Support, mentor and ensure quality professional development of the Quality Assurance Analysts Provide technical expertise and best practices to the QA team Continually seek to improve the effectiveness and efficiency of the quality assurance processes Ensure consistency of quality assurance practices across the development teams Identify test automation opportunities Incorporate on-premise and outsourcing/crowdsourcing resourcing to increase efficiency and reduce cost without sacrificing quality and creating development impediments Contribute to testing efforts when needed   Key Competencies:  Excellent written and verbal communication and interpersonal skills. Ability to build and lead a team of quality assurance experts Deep understanding of testing methodologies, technology, tools and practices Good understanding of CI/CD pipelines Experience delivering high quality software products using different delivery models: desktop, on-premise, hosted, and SaaS  Qualifications:  Bachelor’s degree in a related field and/or equivalent combination of education and experience. Minimum of 5 years of experience in a QA role Minimum of 3 years of experience managing a team Upstream Oil and Gas experience is an asset. Experience managing a QA process that incorporated outsourced/crowdsourced QA is an asset   Position Details:  Full time opportunity Location: Calgary Start: Immediately  "
5,software+engineer,Intermediate and Senior-level Full Stack Developers,Calgary,Solium,https://stackoverflow.com//jobs/170441/intermediate-and-senior-level-full-stack-solium,"About this job Location options: Paid relocationJob type: Full-timeExperience level: Mid-Level, SeniorRole: Full Stack DeveloperIndustry: Financial Services, FinTech, SaaSCompany size: 501-1k peopleCompany type: PublicTechnologies java, spring, rest Job description ob description Solium needs Intermediate and Senior-level Full Stack Developers who want to write great programs. Do you want to work with a system that gets a half million logins from one hundred thousand users per month? How about write code for an industry-leading financial services platform that transacts more than ten billion dollars a year? Do you think it would be cool to be a part of the team that expands this platform to transact one trillion dollars for ten million users?  Have you ever wanted to be in a Guild?  Have you yearned to hear ""that sounds great go ahead and try it out""?You aren't dogmatic; you're pragmatic. You know that ""agile"" means adapting to deliver value to customers, not necessarily any of the individual practices surrounding it. You care about automated tests and code reviews, and when the build breaks, you don't run git blame. You find the root cause and fix it. You embrace the hard problems like localization, security, and timezones. You want to move our code, style and performance in the right direction and be an influencer.It doesn't matter if it's Ant or Gradle, Struts or Spring, jQuery or GWT - you know it or you can pick it up. You aim to build commercial products that people use - technology is just a means to an end. We are looking for developers of all experience levels to help us build a fast, reliable, secure, and resilient enterprise platform on a global scale.Things we believe:  Results matter, not the clock.     Code and technology are what we use to solve problems, not the whole of our job. Continuously Improving, learning everyday through pairing, Lunch and Learns and mentorship.      You are passionate about about what you do and you take pride in your craft. Great programmers are great programmers whether they work in Java, .Net, React Native or C++ Free tools are great unless they aren't the best. We use high-end Linux workstations with big monitors and tools like IDEA, JRebel and the Atlassian suite to keep us in the zone.  Skills & Requirements Things we like:    Prior experience with production large-scale distributed systems Familiarity with technologies we use (Java, Spring, GWT, Struts, JPA, EJB, REST)      A hunger for tracking down root causes - no matter how deep the rabbit hole       A BS in CS is appreciated but not necessary with the right background  What you'll do:  Be customer focused - learn about the business to help bring value to our customers Act technology driven - design, implement, and test new functionality    Work closely with QA - we fix our own bugs       Work with Product Management to deliver material value to our clients      Do full stack dev from the DB to the UI       Use your experience to help the whole team get better  What you'll get:           Market rate salary based on experience          An amazing on-boarding experience on Shareworks, Dev Culture, How we do things and even ""reforming"" you from .Net to Java           Participation in annual bonus plan and stock incentives   Share Purchase Plan with company contributions (we are public and profitable!)            Casual Environment - we aren’t a bank, they just happen to be clients 20 Paid Days off + 11 stat holidays (and 5 week sabbatical after 5 years) The occasional spontaneous Nerf War Relocation Assistance available for the right candidates  If you've read this far and you're thinking ""I want to be a part of this"", we agree! Just send an email to dev-careers@solium.com with Intermediate OR Senior Dev Applicant in the subject and we'll talk about how your career is about to get better. These jobs are full time positions in Calgary, Alberta, Canada.  In addition to being a Canadian citizen or having permanent resident status, you must live in Calgary or be willing to move. "
6,software+engineer,Senior iOS Developer,Calgary,Robots & Pencils ,https://stackoverflow.com//jobs/164653/senior-ios-developer-robots-pencils,"About this job Job type: Full-timeExperience level: SeniorRole: Mobile DeveloperIndustry: frontier technology, Innovation, Mobile DevelopmentCompany size: 51-200 peopleCompany type: PrivateTechnologies ios, swift, objective-c Job description At Robots and Pencils, we’re expanding and looking for an iOS Developer to join our talented and world class robot team. What do we mean by world class? You’ll get to work with one of the developers who built udacity, and with former lead engineers from major tech companies like Yahoo, Apple, and Google. Who you are: You are someone who prefers to communicate through code. You love to create and have a strong desire to learn. In fact, you’re the first to rattle off which WWDC video would help your coworker. You can speak to language best practices, understand when it’s reasonable to swizzle methods, have a strong understanding of generics and protocol oriented programming, and know the advantages and tradeoffs between closure/blocks and delegates. You’re also diligent about meeting allocated budgets and can work within time constraints, but you will never sacrifice quality. On top of this, you are comfortable working in cross-functional teams and can share insights and expectations with stakeholders, Clients, team members, and various levels of management. What you’ll do:  Design, program and test software. Author and maintain relevant documentation for developers, Clients, and users. Develop and refine prototypes to confirm requirements. Program according to project plans (versions, sprints). Lead release and post-release activities, such as support, versioning, and maintenance. Collaborate with our pencils (designers) to create interfaces that conform to Apple’s Human Interface Guidelines. Peer review other team members’ code, and learn and adapt from peer review of your own code. Support sales and project managers with technical insights, leading to the creation of budgets and schedules for projects.  "
7,software+engineer,Senior Android Developer,Calgary,Robots & Pencils ,https://stackoverflow.com//jobs/164655/senior-android-developer-robots-pencils,"About this job Job type: Full-timeExperience level: Mid-Level, SeniorRole: Mobile DeveloperIndustry: frontier technology, Innovation, Mobile DevelopmentCompany size: 51-200 peopleCompany type: PrivateTechnologies android, version-control, java, android-studio, mvp Job description At Robots and Pencils, we’re expanding and looking for a Senior Android Developer to join our talented and world-class robot team.  Who you are: You are someone who prefers to communicate through code.  You love to create and have a strong desire to learn. You have strong opinions but that are weakly held; you are humble yet confident. In fact, you’re the first to pass along the latest headache-busting library from Square to your colleagues just minutes after sending a link to a mind clarifying blog post from Romain Guy. You can speak to language best practices and are not afraid of anonymous inner classes. You never overlook the saved instance state and have contemplated the tradeoffs between activities, fragments, and views. You have knowledge of how a RESTful web service works, what makes it RESTful and how it can be accessed from Android. You are also diligent about meeting allocated budgets and can work within time constraints, but you will never sacrifice quality. What you’ll do:  Design, program and test software. Author and maintain relevant documentation for developers, clients and users. Develop and refine prototypes to confirm requirements. Program according to project plans (versions, sprints). Test according to pre-determined test plans. Support release and post-release activities, such as support, versioning and maintenance. Collaborate with our pencils (designers) to create interfaces that conform to the Google design guidelines. Peer review other team members’ code, and learn and adapt from peer review of your own code. Support sales and project managers with technical insights, leading to the creation of budgets and schedules for projects.  REQUIREMENTS  10+ years of delivering software with preference given to those who have a degree in Computer Science, Computer Engineering or equivalent Solid understanding and practical knowledge of the full mobile development and application lifecycle Solid understanding of Android UX/UI guidelines and best practices Experience with Android using Android Studio and JAVA Experience with a distributed Version Control System Experience with mobile development issues related to performance optimization, caching and security Familiar with Architecture patterns (MVP/ MVVM etc.) Excellent communications skills with the ability to share insights and expectations with clients, stakeholders, and colleagues, both locally and remotely.  "
8,software+engineer,Software Development Manager,Calgary,Solium,https://stackoverflow.com//jobs/174795/software-development-manager-solium,"About this job Location options: Paid relocationJob type: Full-timeExperience level: ManagerIndustry: Financial Services, FinTech, SaaSCompany size: 501-1k peopleCompany type: PublicTechnologies java Job description About SoliumSolium is fulfilling a vision of becoming the global leader in equity-based (stock) incentive and share purchase savings plan management. We specialize in the delivery of complete web-based services for the full lifecycle of equity-based incentive and savings plans. Through our technically advanced Solium Shareworks™ platform, Solium is setting the industry’s service standard for the administration and execution of all types of equity-based incentives and savings plans.Why work at SoliumSolium is a fast growing company where every member of our team is important to our success. If you have an unfailing commitment to excellence, alignment to customer interests, and strong problem-solving skills, Solium would welcome your contribution to our enthusiastic team. We reward our people with a competitive compensation and benefits package. We currently have a full-time, permanent opportunity for:Software Development ManagerSolium is looking for a helms-person to help pilot their financial services Death Star through more than $10,000,000,000 of transactions per year.         If you:  Are a leader who believes in leader-leader self-organizing teams and is willing to work on that evolution Are a coach who supports broad growth because you know that developers have careers and not just jobs   Are a pragmatic problem solver who can identify process inefficiencies and find creative ways to eliminate them Are excited by the challenge of helping us evolve from a midsize SaaS application to a global enterprise platform  Then we are looking for you!We are big fans of Turn the Ship Around! by L. David Marquet, and are working to build and reinforce a culture of action and ownership. You will help foster leadership through all levels of the organization. You are not a master developer, but have a strong technical background and familiarity with patterns and practices. You know that agile is a description, not a dogma, and that continuous improvement is achievable.Requirements:  Foster a team culture that encourages ownership, continual learning, and customer delight Provide hands-on coaching and mentoring to Software  Developers for technical and soft skill growth Work with product owners and clients to contribute to strategic growth of the platform Remove barriers to keep product teams close to the client and product to find value in what we build   Champion product ownership and spread leadership throughout the team Ruthlessly identify process weakness and build and use metrics to drive improvement Take a lead role in recruiting and hiring Software Developers Familiarity with the enterprise Java technology stack. While we are not dogmatic about what technologies we use, this is the one we are using right now. Help lead the team to balance commercial viability, scalability, security, and technical innovation to evolve the Shareworks platform  Qualifications:  Bachelors of Science in Computer Science, or Equivalent experience Familiarity with development and deployment of enterprise applications Working knowledge of management techniques and strategies 8+ years’ experience as a developer or engineer      5+ years’ experience as a development or engineering team lead (or other technical management)  If you've read this far and you're thinking ""I want to be a part of this"", we agree! Just send an email to dev-careers@solium.com with Software Development Manager in thesubject and we'll talk about how your career is about to get better.​​ "
9,software+engineer,Mobile Application Developer for Canada's fastest growing ticketing company,Calgary,Showpass,https://stackoverflow.com//jobs/150066/mobile-application-developer-for-canadas-fastest-showpass,"About this job Compensation: EquityJob type: Full-timeExperience level: Junior, Mid-Level, SeniorRole: Mobile DeveloperIndustry: Entertainment, Software Development, TicketingCompany size: 11-50 peopleCompany type: VC FundedTechnologies swift, kotlin, objective-c, java, javascript Job description THE ROLE: Mobile Application Developer (full-time permanent role) THE LOCATION: Calgary, Alberta THE PERKS:  A unique and fun place to work – flexible hours and vacation policy, in-house chef, fully stocked snack and fresh pressed juice bar, gym membership, dog-friendly office. Competitive compensation and benefits package  THE RESPONSIBILITIES:  Build new apps using Swift and Kotlin with AR features Deliver the best user experience to meet the needs of current users and gain new users Integrate peripheral hardwares to mobile application Work closely with backend developers and UX designers to effectively build app features Manage app releases on App Store and Google Play Troubleshoot and debug apps Participate in routine standups, code reviews and testing parties Write clean code in a testable, reliable and sustainable way  THE QUALIFICATIONS:  Post secondary education in engineering or computer science would be an asset  Experience with published apps is required Experience with the following technologies is required: Objective C or Java, Javascript, HTML and CSS, REST API, Git and Github, Unit testing Experience with the following technologies would be an asset: Swift, Kotkin, continuous integration, ARKit/ARCore Experience working in a technology or software company would be an asset Excellent verbal and written communication skills Strong testing and debugging skills Must work great in a team and also as an individual contributor Ability to champion new ideas and develop creative approaches Analytical thinker with the ability to problem solve in a fast-paced work environment Must have the hustle and drive to take initiative and make things happen!  NOTE: We will only contact qualified candidates of interest "
